variant	current_module	matched_module	overlap_jaccard	eigengene_corr_aligned	matched_mean_abs_technical	delta_mean_abs_technical
current_taxon_centered_log	black	black	1	1	0.164348849592076	0
current_taxon_centered_log	blue	blue	1	1	0.371023710288069	0
current_taxon_centered_log	brown	brown	1	1	0.257737898878884	0
current_taxon_centered_log	green	green	1	1	0.223831051337474	0
current_taxon_centered_log	pink	pink	1	1	0.293699131389821	0
current_taxon_centered_log	red	red	1	1	0.351455150107721	0
current_taxon_centered_log	turquoise	turquoise	1	1	0.442350025522136	0
current_taxon_centered_log	yellow	yellow	1	1	0.36959275680589	0
deseq_length_log	black	black	0.821428571428571	0.980857120437886	0.147999521603669	-0.0163493279884068
deseq_length_log	blue	brown	0.538116591928251	0.975644744022028	0.363679591454199	-0.00734411883386932
deseq_length_log	brown	blue	0.642857142857143	0.990975701053061	0.290165336934611	0.0324274380557275
deseq_length_log	green	yellow	0.829268292682927	0.989926863368038	0.217535364799619	-0.00629568653785537
deseq_length_log	pink	purple	0.615384615384615	0.986826562954391	0.274394187219746	-0.0193049441700747
deseq_length_log	red	red	0.528455284552846	0.725617705891323	0.460574801930949	0.109119651823228
deseq_length_log	turquoise	turquoise	0.559183673469388	0.8281383976649	0.377477983110707	-0.0648720424114289
deseq_length_log	yellow	pink	0.52755905511811	0.700303349451805	0.290570054144748	-0.0790227026611414
sample_clr_raw	black	salmon	0.493506493506494	0.453753749245945	0.219171849299779	0.0548229997077032
sample_clr_raw	blue	black	0.173728813559322	0.585642189123252	0.243302392784521	-0.127721317503548
sample_clr_raw	brown	blue	0.408450704225352	0.396403321835376	0.169475997022842	-0.0882619018560419
sample_clr_raw	green	brown	0.657342657342657	0.544582093441881	0.158245575781483	-0.0655854755559913
sample_clr_raw	pink	tan	0.457627118644068	0.561700905408003	0.152077449274397	-0.141621682115423
sample_clr_raw	red	pink	0.356060606060606	0.879920238296678	0.277895349546433	-0.0735598005612876
sample_clr_raw	turquoise	turquoise	0.374741200828157	0.786460741823813	0.413674786622113	-0.0286752389000221
sample_clr_raw	yellow	magenta	0.480314960629921	0.64816476798816	0.16674225955371	-0.20285049725218
log_depth_residualized	black	green	0.775	0.723421831154418	0.0175944719235732	-0.146754377668503
log_depth_residualized	blue	brown	0.269565217391304	0.510950534125915	0.0718893291035962	-0.299134381184472
log_depth_residualized	brown	turquoise	0.579185520361991	0.635955673063853	0.0470494249344449	-0.210688473944439
log_depth_residualized	green	blue	0.836065573770492	0.692513070175164	0.0566252533825831	-0.167205797954891
log_depth_residualized	pink	cyan	0.627450980392157	0.720255975404158	0.0877218157691231	-0.205977315620698
log_depth_residualized	red	greenyellow	0.330357142857143	0.758079949926985	0.0949451372294262	-0.256510012878295
log_depth_residualized	turquoise	tan	0.0888429752066116	0.0722460054528021	0.0694566582694094	-0.372893367252726
log_depth_residualized	yellow	pink	0.395161290322581	0.587899203227177	0.0647305301968812	-0.304862226609009
