variant	setting_id	power	deepSplit	mergeCutHeight	minModuleSize	non_grey_modules	grey_pct	mean_ref_best_jaccard	median_ref_best_jaccard	min_ref_best_jaccard	grey_delta_pct	same_grey_fraction	bio_pres_strong	bio_pres_moderate	mean_concordance_pearson	mean_concordance_spearman	mean_concordance_rmse	cor_PC1_log_total	cor_PC2_log_total	cor_PC3_log_total	drastic_change	mean_aligned_eigengene_corr	min_aligned_eigengene_corr	mean_abs_delta_d18O	mean_abs_delta_sst	mean_abs_delta_state_eta2	mean_matched_state_eta2	mean_matched_abs_technical	max_matched_abs_technical	bio_pres_strong_check	bio_pres_moderate_check	mean_zsummary	mean_zdensity	mean_zconnectivity	mean_pearson_check	mean_spearman_check	mean_rmse_check	score_overlap	score_preservation	score_technical	score_biology	score_balance	decision_score	candidate_class	recommendation	variant_label	rank
current_taxon_centered_log	exp3	12	3	0.25	20	8	28.6588759042849	1	1	1	0	1	6	2	0.910140685987339	0.725710927800821	0.0782906331610261	-0.893685515232153	0.195092395158464	-0.127819060132685	FALSE	1	1	0	0	0	0.356438571666792	0.309254821740259	0.442350025522136	6	2	12.854300280781	16.178516185762	9.53008437580005	0.910140685987339	0.725710927800821	0.0782906331610261	1	0.709805083946768	0.0166149687951709	1	0.879928315412186	0.684107590529365	current anchor	Keep as the operational anchor for now, but the depth signal is still strong; treat `deseq_length_log` as the first fallback if downstream biology looks depth-driven.	Current exp3	1
deseq_length_log	exp3	12	3	0.25	20	10	37.6182526432944	0.632781653427731	0.587284144427002	0.52755905511811	8.95937673900946	0.891485809682805	6	4	0.893482377289901	0.715375434042631	0.0871572746810076	-0.876510878328898	0.197634506322943	0.118345268543665	FALSE	0.897286305605429	0.700303349451805	0.0325524103951632	0.00924362120008719	0.0875939566896679	0.356179516202174	0.302799605149781	0.460574801930949	6	4	13.1504507681576	18.523006243421	7.77789529289434	0.893482377289901	0.715375434042631	0.0871572746810076	0.361113209908174	0.616284121528353	0.0151705257795931	0.809371565485394	0.500488758553274	0.45166386495888	candidate alternative	Closest non-current alternative; review if technical cleanup is needed.	DESeq + length log	2
log_depth_residualized	exp3	12	3	0.25	20	17	40.4563160823595	0.487703587537785	0.487173405342286	0.0888429752066116	11.7974401780746	0.699499165275459	3	14	0.787267995236257	0.778083558355836	0.13768278406898	-1.13363098481356e-13	1.14997098931665e-13	1.04422727532694e-13	TRUE	0.587665280316309	0.0722460054528021	0.0858421320115469	0.188795371103745	0.18850119041505	0.167937381251741	0.0637515776011297	0.0949451372294262	3	14	8.65600882231688	12.9221864057409	4.3898312388929	0.787267995236258	0.778083558355836	0.13768278406898	0.108706268113623	0.135330735973988	1	0.100310447949075	0.0909090909090909	0.3329759218957	technical-control only	Use only as a technical-control sensitivity.	Depth residualized	3
sample_clr_raw	exp3	12	3	0.25	20	19	24.9304396215915	0.425221569349572	0.43303891143471	0.173728813559322	-3.72843628269338	0.617696160267112	7	11	0.867091136874284	0.831217788445511	0.136943319632245	0.769016800544585	0.393876847764629	-0.0550941219429433	TRUE	0.607078500895388	0.396403321835376	0.172218914109867	0.166069185544789	0.130928051717385	0.229914707484113	0.22507320748566	0.413674786622113	7	11	9.64359595677798	13.194256119296	6.09293579425998	0.867091136874284	0.831217788445511	0.136943319632245	0	0.665522893390949	0.203555182289196	0.160334376426135	0.5	0.274076968357023	robustness comparator	Important compositional stress test; not the default unless biology is preferred over continuity.	Sample CLR raw	4
