variant	current_module	matched_module	overlap_jaccard	eigengene_corr_raw	eigengene_corr_aligned	sign_flip	current_cor_d18O	matched_cor_d18O	current_cor_sst	matched_cor_sst	current_state_eta2	matched_state_eta2	current_mean_abs_technical	matched_mean_abs_technical	delta_d18O	delta_sst	delta_state_eta2	delta_mean_abs_technical
current_taxon_centered_log	black	black	1	1	1	1	0.385829015294316	0.385829015294316	-0.00687431060133718	-0.00687431060133718	0.241125130507252	0.241125130507252	0.164348849592076	0.164348849592076	0	0	0	0
current_taxon_centered_log	blue	blue	1	1	1	1	0.395017336092145	0.395017336092145	-0.180528382626867	-0.180528382626867	0.295151539354331	0.295151539354331	0.371023710288069	0.371023710288069	0	0	0	0
current_taxon_centered_log	brown	brown	1	1	1	1	0.220694514866654	0.220694514866654	-0.183968360810572	-0.183968360810572	0.301831052690702	0.301831052690702	0.257737898878884	0.257737898878884	0	0	0	0
current_taxon_centered_log	green	green	1	1	1	1	0.0682246640166563	0.0682246640166563	-0.248983611121101	-0.248983611121101	0.416610263838227	0.416610263838227	0.223831051337474	0.223831051337474	0	0	0	0
current_taxon_centered_log	pink	pink	1	1	1	1	-0.285137923698443	-0.285137923698443	-0.161907084550154	-0.161907084550154	0.316682543706825	0.316682543706825	0.293699131389821	0.293699131389821	0	0	0	0
current_taxon_centered_log	red	red	1	1	1	1	0.103569562351165	0.103569562351165	-0.237720789195653	-0.237720789195653	0.198525919605756	0.198525919605756	0.351455150107721	0.351455150107721	0	0	0	0
current_taxon_centered_log	turquoise	turquoise	1	1	1	1	0.34997229457732	0.34997229457732	-0.355573469143668	-0.355573469143668	0.360627455593383	0.360627455593383	0.442350025522136	0.442350025522136	0	0	0	0
current_taxon_centered_log	yellow	yellow	1	1	1	1	-0.23488689316227	-0.23488689316227	-0.175553146169229	-0.175553146169229	0.720954668037857	0.720954668037857	0.36959275680589	0.36959275680589	0	0	0	0
deseq_length_log	black	black	0.821428571428571	0.980857120437886	0.980857120437886	1	0.385829015294316	0.398280599062298	-0.00687431060133718	-0.00519040047484624	0.241125130507252	0.297521169454541	0.164348849592076	0.147999521603669	0.0124515837679822	0.00168391012649094	0.0563960389472894	-0.0163493279884068
deseq_length_log	blue	brown	0.538116591928251	0.975644744022028	0.975644744022028	1	0.395017336092145	0.45233174897752	-0.180528382626867	-0.165490559255197	0.295151539354331	0.324549161868671	0.371023710288069	0.363679591454199	0.0573144128853747	0.0150378233716701	0.0293976225143402	-0.00734411883386932
deseq_length_log	brown	blue	0.642857142857143	0.990975701053061	0.990975701053061	1	0.220694514866654	0.242649743146016	-0.183968360810572	-0.186965754410168	0.301831052690702	0.299447321610924	0.257737898878884	0.290165336934611	0.0219552282793618	-0.00299739359959555	-0.00238373107977774	0.0324274380557275
deseq_length_log	green	yellow	0.829268292682927	0.989926863368038	0.989926863368038	1	0.0682246640166563	0.0418518849697171	-0.248983611121101	-0.249225897575465	0.416610263838227	0.390284790422794	0.223831051337474	0.217535364799619	-0.0263727790469392	-0.00024228645436386	-0.026325473415433	-0.00629568653785537
deseq_length_log	pink	purple	0.615384615384615	0.986826562954391	0.986826562954391	1	-0.285137923698443	-0.287525036818348	-0.161907084550154	-0.1401764993052	0.316682543706825	0.33616485667152	0.293699131389821	0.274394187219746	-0.0023871131199053	0.021730585244954	0.019482312964695	-0.0193049441700747
deseq_length_log	red	red	0.528455284552846	0.725617705891323	0.725617705891323	1	0.103569562351165	0.0651801497923298	-0.237720789195653	-0.25196393394554	0.198525919605756	0.415913056680849	0.351455150107721	0.460574801930949	-0.0383894125588349	-0.0142431447498863	0.217387137075092	0.109119651823228
deseq_length_log	turquoise	turquoise	0.559183673469388	0.8281383976649	0.8281383976649	1	0.34997229457732	0.404625891228117	-0.355573469143668	-0.36285219106141	0.360627455593383	0.387303948992168	0.442350025522136	0.377477983110707	0.0546535966507971	-0.00727872191774237	0.0266764933987847	-0.0648720424114289
deseq_length_log	yellow	pink	0.52755905511811	0.700303349451805	0.700303349451805	1	-0.23488689316227	-0.187991736310159	-0.175553146169229	-0.186288250305223	0.720954668037857	0.398251823915927	0.36959275680589	0.290570054144748	0.0468951568521104	-0.0107351041359945	-0.322702844121931	-0.0790227026611414
sample_clr_raw	black	salmon	0.493506493506494	0.453753749245945	0.453753749245945	1	0.385829015294316	0.0820546576030622	-0.00687431060133718	0.215459800220317	0.241125130507252	0.200089782036585	0.164348849592076	0.219171849299779	-0.303774357691254	0.222334110821654	-0.0410353484706664	0.0548229997077032
sample_clr_raw	blue	black	0.173728813559322	0.585642189123252	0.585642189123252	1	0.395017336092145	0.462193543826637	-0.180528382626867	-0.110444290178911	0.295151539354331	0.202252196107262	0.371023710288069	0.243302392784521	0.0671762077344922	0.0700840924479559	-0.0928993432470691	-0.127721317503548
sample_clr_raw	brown	blue	0.408450704225352	0.396403321835376	0.396403321835376	1	0.220694514866654	-0.0192364524679248	-0.183968360810572	0.110932490251827	0.301831052690702	0.208941546877644	0.257737898878884	0.169475997022842	-0.239930967334579	0.2949008510624	-0.0928895058130576	-0.0882619018560419
sample_clr_raw	green	brown	0.657342657342657	0.544582093441881	0.544582093441881	1	0.0682246640166563	-0.199879918317566	-0.248983611121101	-0.0403901609755722	0.416610263838227	0.184987398306218	0.223831051337474	0.158245575781483	-0.268104582334222	0.208593450145529	-0.231622865532009	-0.0655854755559913
