variant	current_module	matched_module	overlap_jaccard	eigengene_corr_aligned	matched_cor_d18O	matched_cor_sst	matched_state_eta2	delta_d18O	delta_sst	delta_state_eta2	sign_flip
current_taxon_centered_log	black	black	1	1	0.385829015294316	-0.00687431060133718	0.241125130507252	0	0	0	1
current_taxon_centered_log	blue	blue	1	1	0.395017336092145	-0.180528382626867	0.295151539354331	0	0	0	1
current_taxon_centered_log	brown	brown	1	1	0.220694514866654	-0.183968360810572	0.301831052690702	0	0	0	1
current_taxon_centered_log	green	green	1	1	0.0682246640166563	-0.248983611121101	0.416610263838227	0	0	0	1
current_taxon_centered_log	pink	pink	1	1	-0.285137923698443	-0.161907084550154	0.316682543706825	0	0	0	1
current_taxon_centered_log	red	red	1	1	0.103569562351165	-0.237720789195653	0.198525919605756	0	0	0	1
current_taxon_centered_log	turquoise	turquoise	1	1	0.34997229457732	-0.355573469143668	0.360627455593383	0	0	0	1
current_taxon_centered_log	yellow	yellow	1	1	-0.23488689316227	-0.175553146169229	0.720954668037857	0	0	0	1
deseq_length_log	black	black	0.821428571428571	0.980857120437886	0.398280599062298	-0.00519040047484624	0.297521169454541	0.0124515837679822	0.00168391012649094	0.0563960389472894	1
deseq_length_log	blue	brown	0.538116591928251	0.975644744022028	0.45233174897752	-0.165490559255197	0.324549161868671	0.0573144128853747	0.0150378233716701	0.0293976225143402	1
deseq_length_log	brown	blue	0.642857142857143	0.990975701053061	0.242649743146016	-0.186965754410168	0.299447321610924	0.0219552282793618	-0.00299739359959555	-0.00238373107977774	1
deseq_length_log	green	yellow	0.829268292682927	0.989926863368038	0.0418518849697171	-0.249225897575465	0.390284790422794	-0.0263727790469392	-0.00024228645436386	-0.026325473415433	1
deseq_length_log	pink	purple	0.615384615384615	0.986826562954391	-0.287525036818348	-0.1401764993052	0.33616485667152	-0.0023871131199053	0.021730585244954	0.019482312964695	1
deseq_length_log	red	red	0.528455284552846	0.725617705891323	0.0651801497923298	-0.25196393394554	0.415913056680849	-0.0383894125588349	-0.0142431447498863	0.217387137075092	1
deseq_length_log	turquoise	turquoise	0.559183673469388	0.8281383976649	0.404625891228117	-0.36285219106141	0.387303948992168	0.0546535966507971	-0.00727872191774237	0.0266764933987847	1
deseq_length_log	yellow	pink	0.52755905511811	0.700303349451805	-0.187991736310159	-0.186288250305223	0.398251823915927	0.0468951568521104	-0.0107351041359945	-0.322702844121931	1
sample_clr_raw	black	salmon	0.493506493506494	0.453753749245945	0.0820546576030622	0.215459800220317	0.200089782036585	-0.303774357691254	0.222334110821654	-0.0410353484706664	1
sample_clr_raw	blue	black	0.173728813559322	0.585642189123252	0.462193543826637	-0.110444290178911	0.202252196107262	0.0671762077344922	0.0700840924479559	-0.0928993432470691	1
sample_clr_raw	brown	blue	0.408450704225352	0.396403321835376	-0.0192364524679248	0.110932490251827	0.208941546877644	-0.239930967334579	0.2949008510624	-0.0928895058130576	1
sample_clr_raw	green	brown	0.657342657342657	0.544582093441881	-0.199879918317566	-0.0403901609755722	0.184987398306218	-0.268104582334222	0.208593450145529	-0.231622865532009	1
sample_clr_raw	pink	tan	0.457627118644068	0.561700905408003	-0.422849653261901	0.174012472217116	0.164669744025457	-0.137711729563458	0.33591955676727	-0.152012799681368	1
sample_clr_raw	red	pink	0.356060606060606	0.879920238296678	-0.0666130618800018	-0.159826456247807	0.132000331668858	-0.170182624231166	0.0778943329478467	-0.0665255879368986	1
sample_clr_raw	turquoise	turquoise	0.374741200828157	0.786460741823813	0.285213836098107	-0.377530408418368	0.378244205732208	-0.0647584584792126	-0.0219569392747004	0.0176167501388249	1
sample_clr_raw	yellow	magenta	0.480314960629921	0.64816476798816	-0.360999278672822	-0.0786829952782714	0.368132455118671	-0.126112385510552	0.0968701508909576	-0.352822212919186	1
log_depth_residualized	black	green	0.775	0.723421831154418	0.339409106893752	0.0350413198046939	0.120702344192908	-0.0464199084005643	0.0419156304060311	-0.120422786314343	1
log_depth_residualized	blue	brown	0.269565217391304	0.510950534125915	0.465381227664919	0.0118635234505356	0.111608826114465	0.0703638915727745	0.192391906077402	-0.183542713239867	1
log_depth_residualized	brown	turquoise	0.579185520361991	0.635955673063853	0.209491630767645	-0.0423624376716594	0.137951066752718	-0.0112028840990097	0.141605923138913	-0.163879985937984	1
log_depth_residualized	green	blue	0.836065573770492	0.692513070175164	-0.0814871287938112	-0.18794023001249	0.198994272520747	-0.149711792810467	0.0610433811086113	-0.217615991317481	1
log_depth_residualized	pink	cyan	0.627450980392157	0.720255975404158	-0.251206983340239	0.0222243903937565	0.136534530551345	0.0339309403582039	0.184131474943911	-0.180148013155479	1
log_depth_residualized	red	greenyellow	0.330357142857143	0.758079949926985	-0.0500905010576419	-0.0534233571427715	0.110870767443959	-0.153660063408807	0.184297432052882	-0.0876551521617969	1
log_depth_residualized	turquoise	tan	0.0888429752066116	0.0722460054528021	0.475591430712411	0.191318125326067	0.1771057850779	0.125619136135092	0.546891594469735	-0.183521670515483	1
log_depth_residualized	yellow	pink	0.395161290322581	0.587899203227177	-0.330715332469727	-0.0174675195367546	0.349731457359889	-0.0958284393074572	0.158085626632474	-0.371223210677969	1
