sample	MEgreen	MEmagenta	MEpink	MEred	MEblue	MEturquoise	MEblack	MEbrown	MEyellow	MEgrey
LV3003046953	0.108654439870156	0.0751930969438596	-0.0389825907299601	-0.0259695552698952	-0.00041660531988201	0.0580109965903183	0.0498617706283744	-0.0105541062287438	-0.00800129954230244	-0.0311414430799652
LV3003046939	0.139906952717404	0.173184538962807	-0.0277490737964915	-0.0318438291087181	-0.00482098352841468	0.055713174906746	0.0554463859564878	-0.0280231962856407	-0.0100558756598534	-0.0325986308617326
LV3003047045	0.133648618133988	0.157379196699841	-0.025680111552952	-0.0312312674270255	-0.0121837419374322	0.0394124719126343	0.0528195675079932	-0.0340521775354515	-0.0190124694873625	-0.0346309693278022
LV3003047028	-0.0497594870080388	-0.0298954588238713	-0.0466096198164224	-0.033329110812266	-0.138030709368827	-0.160484490111139	-0.0589574165188726	-0.0635546177287285	-0.0325307865357179	-0.030800058227118
LV3003047013	0.125063477961949	0.21918878448224	-0.0358470840675864	-0.0320712076030603	-0.043762780558747	0.0227653444284911	0.0230563262192016	-0.0542776179483903	-0.0107948566571441	-0.0366655650888055
LV3003046995	0.114800315629403	0.140103195432816	-0.0377330052503621	-0.0313325858415213	-0.0233872517401955	0.0247242399790946	0.053099826482681	-0.0375511748455359	-0.0217486099508183	-0.0325071609559284
LV3003046980	0.149731751069099	0.273347946802297	-0.0466096198164225	-0.0310943703648693	-0.0258802131492324	0.0220875127842607	0.0569172485724178	-0.0446360755312462	-0.0157338531834065	-0.0387157786797843
LV3003046952	0.193124513784116	0.302984916338605	-0.0234817259083846	-0.033329110812266	-0.0105234117261602	0.0161060523113557	0.0646452874101463	-0.0285045050053656	-0.00996520405871766	-0.0401333498901505
LV3003046938	0.211626515725697	0.306593259149046	0.0161544482501538	-0.033329110812266	0.0231271119004471	0.0238578231952404	0.0859238529783561	-0.0205492783728708	-0.00392937588309228	-0.0444595471529945
LV3003047044	-0.0418926071993634	-0.0157217035176054	0.0774296709764667	-0.0265649395790228	0.0305718295185893	0.00389152485303356	-0.0108035590602847	0.030325493525395	-0.0286589273589485	-0.0339999662636944
LV3003047027	0.182751465421172	0.255214162177538	0.0121350041150176	-0.0275808452023824	0.0449641673358081	0.0380132060131674	0.097377804680219	0.0203736766622096	-0.00806028073783135	-0.0388396367176383
LV3003047010	0.173704675554125	0.303695254284001	-0.0344442375728653	-0.0301908666868333	-0.00858649918438275	0.0241171865037974	0.0720441863746947	-0.0234483127436382	-0.00308550232269344	-0.0413850115045817
