core	mg	al	si	p	s	cl	ar	k	ca	ti	v	cr	mn	fe	ni	cu	zn	ge	as	se	br	rb	sr	y	zr	nb	mo	sn	sb	ba	la	ce	nd	sm	eu	tm	yb	hg	pb	at	u	depth_in_core_cm	ga	ru	bi	ag	cd	te	y_bp
GeoB25202	107	1101	11562	206	1232	26313	NA	5785	31355	13295	NA	208	2112	89528	2468	314	552	NA	NA	NA	1316	647	6054	NA	4632	962	255	1133	NA	973	NA	NA	NA	NA	NA	NA	NA	NA	38	NA	NA	42	119	17060	50	151625	187	755	8671
GeoB25202	85	1154	11592	153	1341	26099	NA	5475	37934	14275	NA	124	2133	92652	2367	272	519	NA	NA	NA	1480	665	6007	NA	4455	813	293	1058	NA	1022	NA	NA	NA	NA	NA	NA	NA	NA	32	NA	NA	43	103	18631	59	151111	138	660	9072
GeoB25202	89	1270	12544	207	1331	25389	NA	5819	38217	14212	NA	118	2003	93066	2281	332	499	NA	NA	NA	735	562	7042	NA	4856	681	315	1117	NA	1356	NA	NA	NA	NA	NA	NA	NA	NA	34	NA	NA	44	138	13220	53	152743	75	863	9501
GeoB25202	84	1226	12955	200	1175	25173	NA	4590	47870	16346	NA	161	2094	99065	2427	264	533	NA	NA	NA	1493	1206	8312	NA	4128	777	141	1269	NA	1684	NA	NA	NA	NA	NA	NA	NA	NA	34	NA	NA	45	134	18563	46	155696	71	667	9907
GeoB25202	64	1200	11598	191	1207	25596	NA	5258	38518	14078	NA	204	2066	92187	2444	323	532	NA	NA	NA	1390	1077	7792	NA	3971	697	339	968	NA	1499	NA	NA	NA	NA	NA	NA	NA	NA	38	NA	NA	46	106	18600	35	153706	80	825	10351
GeoB25202	81	925	10573	158	1301	26463	NA	5315	36711	14112	NA	106	2335	92661	2475	283	516	NA	NA	NA	1091	796	6922	NA	4446	1014	330	1144	NA	1311	NA	NA	NA	NA	NA	NA	NA	NA	61	NA	NA	47	112	15361	34	152525	92	836	10805
GeoB25202	85	997	10028	150	1211	25393	NA	4852	42839	13872	NA	270	1835	87063	2454	287	578	NA	NA	NA	1174	957	6574	NA	4490	815	358	1029	NA	1419	NA	NA	NA	NA	NA	NA	NA	NA	66	NA	NA	48	126	17051	36	152219	81	829	11281
GeoB25202	63	1169	12140	193	1146	24344	NA	7269	42531	12770	NA	253	1632	81913	2325	270	536	NA	NA	NA	1142	906	6262	NA	4514	752	240	1027	NA	1261	NA	NA	NA	NA	NA	NA	NA	NA	41	NA	NA	49	68	17070	32	152670	54	748	11739
GeoB25202	75	1221	12183	143	1140	23854	NA	7429	42935	12554	NA	150	1527	82420	2429	287	546	NA	NA	NA	1291	765	5921	NA	4493	649	154	1016	NA	1067	NA	NA	NA	NA	NA	NA	NA	NA	39	NA	NA	50	116	17129	55	151510	60	800	12194
GeoB25202	74	990	9695	86	1163	23137	NA	5807	37123	11642	NA	251	1219	78596	2316	303	560	NA	NA	NA	1377	740	6518	NA	4514	762	275	1072	NA	972	NA	NA	NA	NA	NA	NA	NA	NA	57	NA	NA	51	112	17433	30	151017	156	729	12568
