state	module	index	analysis_set	n	median_centered	mean_centered	p_value	status	q_value	direction
3	leiden1	OAP	include_grey	32	60.9800793959379	41.8884280459734	0.0171202595759901	ok	0.0277185155039839	enriched
3	leiden2	OAP	include_grey	32	98.3604949533529	122.242489666049	8.34288912027683e-07	ok	2.57871118263102e-06	enriched
3	leiden3	OAP	include_grey	32	92.0663864961283	75.6764337828919	0.000152762397228616	ok	0.000288551194765163	enriched
3	leiden4	OAP	include_grey	32	-47.258791145564	-28.9447785350775	0.0293742997448304	ok	0.0434228778836623	depleted
3	grey	OAP	include_grey	31	46.3062995353047	-9.108991672763	0.746435497338403	ok	0.769054754833506	no_call
3	leiden5	OAP	include_grey	32	-233.456127980535	-224.847099185446	8.34288912027683e-07	ok	2.57871118263102e-06	depleted
3	leiden6	OAP	include_grey	24	16.0647334924365	30.4118158781306	0.247213999419846	ok	0.300188427866956	no_call
1	leiden3	OAP	include_grey	60	29.8967240042376	30.1612962926513	0.0318803772790539	ok	0.0451638678119931	enriched
1	leiden4	OAP	include_grey	60	-102.724661104607	-99.4786590076588	5.17540092611361e-09	ok	6.64592126118016e-08	depleted
1	leiden1	OAP	include_grey	60	60.0568252480401	82.3890750219412	4.41602127148369e-08	ok	3.00289446460891e-07	enriched
1	leiden2	OAP	include_grey	60	93.9687449450547	104.935339949568	2.26770415822908e-10	ok	7.71019413797887e-09	enriched
1	leiden6	OAP	include_grey	48	120.342921659344	79.6216972661277	0.0118029410480155	ok	0.0200649997816263	enriched
1	grey	OAP	include_grey	59	58.3964624666138	27.7576075060137	0.0257191153541983	ok	0.0397477237292155	enriched
1	leiden5	OAP	include_grey	59	-192.381940670947	-212.541753339306	9.45448531916812e-09	ok	8.03631252129291e-08	depleted
2	leiden4	OAP	include_grey	39	-40.3968598683437	-33.4638727632441	0.104001304285487	ok	0.141441773828263	no_call
2	leiden3	OAP	include_grey	39	-35.7374177745647	-36.928239878001	0.129996098212404	ok	0.169994897662374	no_call
2	leiden2	OAP	include_grey	38	302.394606618435	289.704661499626	9.45817607908727e-08	ok	4.59397123841382e-07	enriched
5	leiden1	OAP	include_grey	35	96.2802913383193	97.274916478386	3.66226511425751e-07	ok	1.38352237649728e-06	enriched
5	leiden4	OAP	include_grey	35	-69.4116060746806	-74.0338105088888	1.84269263293643e-05	ok	4.19631230669982e-05	depleted
5	leiden2	OAP	include_grey	35	107.255132271311	111.245257067562	2.58769141670957e-07	ok	1.09976885210157e-06	enriched
5	leiden6	OAP	include_grey	35	-49.0363551320206	-40.8051192457705	0.00856735253037497	ok	0.0153310518964605	depleted
5	leiden3	OAP	include_grey	35	25.6062570645308	16.0417597599676	0.363327726597275	ok	0.411771423476912	no_call
5	grey	OAP	include_grey	33	33.6359287111035	-30.3161936154791	0.381289059671392	ok	0.418188000929914	no_call
5	leiden5	OAP	include_grey	35	-101.566401661551	-81.1391638566616	1.98326328291524e-05	ok	4.21443447619488e-05	depleted
2	leiden1	OAP	include_grey	34	167.967083240469	65.7924386657804	0.160940857588514	ok	0.202666265111462	no_call
2	leiden5	OAP	include_grey	36	-343.474585680588	-276.291897226483	2.53471548093479e-06	ok	7.18169386264856e-06	depleted
