sample	module	module_abundance	n_taxa_in_module_sample	n_taxa_with_comp	n_taxa_with_ko	n_taxa_with_oap	frac_taxa_with_comp	frac_taxa_with_ko	frac_taxa_with_oap	weight_supported_comp	weight_supported_ko	weight_supported_oap	tea_mode	state	state_label	core	age_kyr
LV3003047082	leiden2	0.140367717640109	104	98	94	78	0.942307692307692	0.903846153846154	0.75	0.959635279677363	0.938804138172891	0.826722777485534	ko	4	IG-B	ST8	41.9168333333333
LV3003047082	leiden3	0.02979152821876	18	18	16	11	1	0.888888888888889	0.611111111111111	1	0.948612029081296	0.840879048248513	ko	4	IG-B	ST8	41.9168333333333
LV3003047082	leiden1	0.0132811538556204	11	11	11	9	1	1	0.818181818181818	1	1	0.876575240919199	ko	4	IG-B	ST8	41.9168333333333
LV3003047082	leiden5	0.00761032759851338	6	6	5	6	1	0.833333333333333	1	1	0.901681759379043	1	ko	4	IG-B	ST8	41.9168333333333
LV3003047082	grey	0.000925447340569544	1	1	1	1	1	1	1	1	1	1	ko	4	IG-B	ST8	41.9168333333333
LV3003047083	leiden1	0.0151838688941267	22	17	15	14	0.772727272727273	0.681818181818182	0.636363636363636	0.767396593673966	0.704379562043796	0.67712895377129	ko	4	IG-B	ST8	37.30319
LV3003047083	leiden4	0.747999497565409	245	244	232	204	0.995918367346939	0.946938775510204	0.83265306122449	0.998844273225663	0.955173605966316	0.853523978861066	ko	4	IG-B	ST8	37.30319
LV3003047083	leiden6	0.00895515771274041	13	13	13	13	1	1	1	1	1	1	ko	4	IG-B	ST8	37.30319
LV3003047083	leiden2	0.193610953074087	141	136	132	110	0.964539007092199	0.936170212765957	0.780141843971631	0.9612647165455	0.947449768160742	0.757914019119583	ko	4	IG-B	ST8	37.30319
LV3003047083	leiden3	0.0281732808239927	16	15	13	10	0.9375	0.8125	0.625	0.98688696564385	0.90296354576449	0.838185156045109	ko	4	IG-B	ST8	37.30319
LV3003047083	leiden5	0.00567086101033685	5	5	4	5	1	0.8	1	1	0.904885993485342	1	ko	4	IG-B	ST8	37.30319
LV3003047083	grey	0.000406380919307527	1	1	1	1	1	1	1	1	1	1	ko	4	IG-B	ST8	37.30319
LV3003047084	leiden1	0.0240780443961764	57	50	49	42	0.87719298245614	0.859649122807018	0.736842105263158	0.895015164476243	0.877439925344117	0.766155999688934	ko	5	G-A	ST8	33.276
LV3003047084	leiden3	0.082725561973954	109	95	85	70	0.871559633027523	0.779816513761468	0.642201834862385	0.923743775464011	0.849977365323676	0.75871435038479	ko	5	G-A	ST8	33.276
LV3003047084	leiden4	0.679709018734026	261	257	243	213	0.984674329501916	0.931034482758621	0.816091954022989	0.993079927934281	0.955355617875384	0.844959531903406	ko	5	G-A	ST8	33.276
