sample	module	module_abundance	core	age_kyr	state	state_label	index	value	sample_mean	centered	analysis_set
LV3003046936	leiden1	0.0675888164049875	ST8	22.905	3	IG-A	OAP	585.744176974282	515.168661743269	70.5755152310131	include_grey
LV3003046936	leiden2	0.226342027148859	ST8	22.905	3	IG-A	OAP	569.148991591895	515.168661743269	53.9803298486262	include_grey
LV3003046936	leiden3	0.0310325837344991	ST8	22.905	3	IG-A	OAP	591.509814338315	515.168661743269	76.3411525950459	include_grey
LV3003046936	leiden4	0.652404017895113	ST8	22.905	3	IG-A	OAP	445.915997694111	515.168661743269	-69.2526640491577	include_grey
LV3003046936	grey	0.00475604725534557	ST8	22.905	3	IG-A	OAP	612.576030852464	515.168661743269	97.4073691091952	include_grey
LV3003046936	leiden5	0.0156151657679419	ST8	22.905	3	IG-A	OAP	239.905461718608	515.168661743269	-275.263200024661	include_grey
LV3003046936	leiden6	0.00226134179325361	ST8	22.905	3	IG-A	OAP	561.380159033207	515.168661743269	46.2114972899381	include_grey
LV3003046937	leiden1	0.0275715531018451	ST8	18.598	3	IG-A	OAP	488.906342386443	468.907960737376	19.9983816490671	include_grey
LV3003046937	leiden4	0.729887040534651	ST8	18.598	3	IG-A	OAP	387.676602885905	468.907960737376	-81.2313578514709	include_grey
LV3003046937	leiden2	0.203187200348685	ST8	18.598	3	IG-A	OAP	563.899829905064	468.907960737376	94.991869167688	include_grey
LV3003046937	leiden3	0.0212952201075113	ST8	18.598	3	IG-A	OAP	586.780395368073	468.907960737376	117.872434630697	include_grey
LV3003046937	leiden5	0.0143959755920384	ST8	18.598	3	IG-A	OAP	234.10695098858	468.907960737376	-234.801009748797	include_grey
LV3003046937	leiden6	0.00240447479296818	ST8	18.598	3	IG-A	OAP	486.535387177352	468.907960737376	17.6274264399759	include_grey
LV3003046937	grey	0.00125853552230132	ST8	18.598	3	IG-A	OAP	534.450216450216	468.907960737376	65.5422557128401	include_grey
LV3003046938	leiden3	0.303806676365772	ST8	11.169	1	IG-D	OAP	698.787628123051	602.746490623959	96.0411374990917	include_grey
LV3003046938	leiden4	0.531410418974653	ST8	11.169	1	IG-D	OAP	565.209091697505	602.746490623959	-37.5373989264546	include_grey
LV3003046938	leiden1	0.0339063813883958	ST8	11.169	1	IG-D	OAP	631.775889709045	602.746490623959	29.029399085086	include_grey
LV3003046938	leiden2	0.0849094379412982	ST8	11.169	1	IG-D	OAP	576.311746309027	602.746490623959	-26.434744314932	include_grey
LV3003046938	leiden6	0.0190600766140334	ST8	11.169	1	IG-D	OAP	512.079364771525	602.746490623959	-90.6671258524341	include_grey
LV3003046938	grey	0.0269070087158474	ST8	11.169	1	IG-D	OAP	632.315223133602	602.746490623959	29.5687325096427	include_grey
LV3003046939	leiden3	0.136189321809062	ST8	2.42	1	IG-D	OAP	610.970766523644	497.443392916282	113.527373607363	include_grey
LV3003046939	leiden4	0.802420386438417	ST8	2.42	1	IG-D	OAP	349.530669872674	497.443392916282	-147.912723043608	include_grey
LV3003046939	leiden1	0.00662742083037104	ST8	2.42	1	IG-D	OAP	571.736332386694	497.443392916282	74.2929394704126	include_grey
LV3003046939	leiden2	0.0446195037030558	ST8	2.42	1	IG-D	OAP	569.788615616675	497.443392916282	72.3452227003929	include_grey
LV3003046939	leiden6	0.00229200770009359	ST8	2.42	1	IG-D	OAP	305.106817399365	497.443392916282	-192.336575516916	include_grey
LV3003046939	grey	0.00352318084631316	ST8	2.42	1	IG-D	OAP	479.59347826087	497.443392916282	-17.849914655412	include_grey
LV3003046939	leiden5	0.00432817867268749	ST8	2.42	1	IG-D	OAP	595.37707035405	497.443392916282	97.9336774377678	include_grey
LV3003046949	leiden1	0.064534801475789	ST8	22.3686666666667	3	IG-A	OAP	547.662684955354	487.560566489877	60.1021184654768	include_grey
LV3003046949	leiden2	0.194733038940185	ST8	22.3686666666667	3	IG-A	OAP	601.172499513802	487.560566489877	113.611933023925	include_grey
LV3003046949	leiden3	0.0313815449905374	ST8	22.3686666666667	3	IG-A	OAP	572.466758482338	487.560566489877	84.9061919924602	include_grey
LV3003046949	leiden4	0.688840205692875	ST8	22.3686666666667	3	IG-A	OAP	353.090805937874	487.560566489877	-134.469760552003	include_grey
LV3003046949	grey	0.00224809313528703	ST8	22.3686666666667	3	IG-A	OAP	626.691757853865	487.560566489877	139.131191363988	include_grey
LV3003046949	leiden5	0.0164454894764008	ST8	22.3686666666667	3	IG-A	OAP	255.449320277603	487.560566489877	-232.111246212274	include_grey
LV3003046949	leiden6	0.00181682628892585	ST8	22.3686666666667	3	IG-A	OAP	456.390138408305	487.560566489877	-31.1704280815728	include_grey
LV3003046950	leiden1	0.057981312567371	ST8	18.099	3	IG-A	OAP	577.136855697143	557.97271228957	19.1641434075725	include_grey
LV3003046950	leiden2	0.244606698666357	ST8	18.099	3	IG-A	OAP	594.345058168757	557.97271228957	36.3723458791866	include_grey
LV3003046950	leiden4	0.631955219768268	ST8	18.099	3	IG-A	OAP	497.360700428235	557.97271228957	-60.6120118613355	include_grey
LV3003046950	leiden6	0.0102875138367242	ST8	18.099	3	IG-A	OAP	572.474752834467	557.97271228957	14.5020405448971	include_grey
LV3003046950	leiden3	0.0302897373801824	ST8	18.099	3	IG-A	OAP	598.267124134487	557.97271228957	40.294411844917	include_grey
LV3003046950	leiden5	0.0211224544052746	ST8	18.099	3	IG-A	OAP	433.516063670171	557.97271228957	-124.4566486194	include_grey
LV3003046950	grey	0.00375706337582235	ST8	18.099	3	IG-A	OAP	632.708431093731	557.97271228957	74.7357188041614	include_grey
LV3003046952	leiden3	0.303315248057641	ST8	10.26	1	IG-D	OAP	659.652135626963	550.849987364321	108.802148262643	include_grey
LV3003046952	leiden4	0.563267502929815	ST8	10.26	1	IG-D	OAP	496.889824954128	550.849987364321	-53.960162410193	include_grey
LV3003046952	leiden2	0.0705169495203785	ST8	10.26	1	IG-D	OAP	588.850336905602	550.849987364321	38.0003495412818	include_grey
LV3003046952	leiden6	0.00727114892139416	ST8	10.26	1	IG-D	OAP	487.646377605484	550.849987364321	-63.2036097588371	include_grey
LV3003046952	leiden1	0.0275897391379834	ST8	10.26	1	IG-D	OAP	622.484326233073	550.849987364321	71.634338868752	include_grey
LV3003046952	grey	0.0278084986327532	ST8	10.26	1	IG-D	OAP	595.226910224994	550.849987364321	44.3769228606739	include_grey
LV3003046952	leiden5	0.000230912800034724	ST8	10.26	1	IG-D	OAP	405.2	550.849987364321	-145.649987364321	include_grey
LV3003046953	leiden1	0.0064390028429954	ST8	1.5215	1	IG-D	OAP	556.515251178181	409.670278171401	146.84497300678	include_grey
LV3003046953	leiden3	0.0649280889399481	ST8	1.5215	1	IG-D	OAP	659.677527850865	409.670278171401	250.007249679464	include_grey
LV3003046953	leiden4	0.874965462332129	ST8	1.5215	1	IG-D	OAP	406.427523947503	409.670278171401	-3.24275422389803	include_grey
LV3003046953	leiden2	0.0373811177116432	ST8	1.5215	1	IG-D	OAP	526.943182433352	409.670278171401	117.272904261951	include_grey
LV3003046953	leiden5	0.0145203626818681	ST8	1.5215	1	IG-D	OAP	560.072906234352	409.670278171401	150.40262806295	include_grey
LV3003046953	grey	0.000730289898277479	ST8	1.5215	1	IG-D	OAP	66.5	409.670278171401	-343.170278171401	include_grey
LV3003046953	leiden6	0.001035675593139	ST8	1.5215	1	IG-D	OAP	91.5555555555556	409.670278171401	-318.114722615846	include_grey
LV3003046965	leiden1	0.0665505382532902	ST8	21.8323333333333	3	IG-A	OAP	574.414218771567	473.686428907424	100.727789864144	include_grey
LV3003046965	leiden2	0.214692880686631	ST8	21.8323333333333	3	IG-A	OAP	564.239106980961	473.686428907424	90.5526780735374	include_grey
LV3003046965	leiden3	0.0362607476751289	ST8	21.8323333333333	3	IG-A	OAP	569.378714645728	473.686428907424	95.6922857383045	include_grey
LV3003046965	leiden4	0.652748727145557	ST8	21.8323333333333	3	IG-A	OAP	440.597744223447	473.686428907424	-33.0886846839769	include_grey
LV3003046965	leiden5	0.0232858750558646	ST8	21.8323333333333	3	IG-A	OAP	86.3472890710836	473.686428907424	-387.33913983634	include_grey
