module	index	analysis_set	n	median_centered	mean_centered	p_value	status	q_value	direction
leiden2	MFI	exclude_grey	213	0	0.0536047796225655	0.134586384739494	ok	0.176023523472146	no_call
leiden3	MFI	exclude_grey	214	0	0.0695223812058559	0.090662988251757	ok	0.176023523472146	no_call
leiden4	MFI	exclude_grey	214	0	0.0695223812058559	0.090662988251757	ok	0.176023523472146	no_call
leiden5	MFI	exclude_grey	208	0	0.286100800705383	0.514752205333089	ok	0.514752205333089	no_call
leiden6	MFI	exclude_grey	160	0	0.0477577565350877	0.146686269560122	ok	0.176023523472146	no_call
leiden1	DCI	exclude_grey	209	0.959427681764327	0.158011037725807	0.00777647553526778	ok	0.00933177064232133	enriched
leiden2	DCI	exclude_grey	213	2.59962073889828	2.07915697774658	3.71616330171732e-18	ok	2.22969798103039e-17	enriched
leiden3	DCI	exclude_grey	214	1.30910783574633	0.772043627557923	0.00239045742174887	ok	0.00358568613262331	enriched
leiden4	DCI	exclude_grey	214	1.11219506446938	0.661024345482344	1.10125146819478e-06	ok	2.20250293638957e-06	enriched
leiden5	DCI	exclude_grey	208	-2.03969425224026	-2.97442135548464	1.26012227674123e-09	ok	3.78036683022368e-09	depleted
leiden6	DCI	exclude_grey	160	0.476491371552222	-1.02426029646579	0.54928445658584	ok	0.54928445658584	no_call
leiden1	MII	exclude_grey	209	0.299140110267556	0.184266525702091	3.79828799078226e-06	ok	1.13948639723468e-05	enriched
leiden2	MII	exclude_grey	213	-0.216162464081938	0.240299629847955	0.862471744609855	ok	0.862471744609855	no_call
leiden3	MII	exclude_grey	214	0.160762934222136	0.357150090896969	0.0164202066007216	ok	0.0328404132014432	enriched
leiden4	MII	exclude_grey	214	-0.456791445439798	-0.0216992726514782	0.145214442400229	ok	0.174257330880274	no_call
leiden5	MII	exclude_grey	208	0.13739086568252	-0.501348452456735	0.0443558381065532	ok	0.0665337571598298	no_call
leiden6	MII	exclude_grey	160	1.11059262620918	-0.357509512643035	1.33746236437865e-06	ok	8.02477418627192e-06	enriched
leiden1	SRPI	exclude_grey	209	0.0717718610801081	0.102840768680643	0.00028535710802927	ok	0.000342428529635124	enriched
leiden2	SRPI	exclude_grey	213	-0.0174892201430514	0.135334205708752	0.0501343745322988	ok	0.0501343745322988	no_call
leiden3	SRPI	exclude_grey	214	0.670421156717924	0.829418991970205	2.61598076716799e-31	ok	1.5695884603008e-30	enriched
leiden4	SRPI	exclude_grey	214	0.134619460018647	0.449695476276368	3.34707270832959e-08	ok	5.02060906249438e-08	enriched
leiden5	SRPI	exclude_grey	208	0.827793498720621	0.671157100521571	3.5242617936238e-17	ok	7.0485235872476e-17	enriched
leiden6	SRPI	exclude_grey	160	-1.04229693577674	-2.8978192473967	3.01322992302475e-27	ok	9.03968976907425e-27	depleted
