state	state_label	index	n_samples	mean	median	sd	q25	q75
1	IG-D	OAP	60	389.71928540631	383.842302492554	69.3459776085163	339.598554643656	420.379890655043
2	IG-E	OAP	39	248.293724117484	253.289484959074	128.43633843987	189.597028139487	331.323768572896
3	IG-A	OAP	32	415.947082181831	427.793468797749	77.5939782404326	354.602602721809	473.540230172522
4	IG-B	OAP	48	425.403114717074	436.110426081094	64.0229146003083	399.233188868463	468.169214024262
5	G-A	OAP	35	443.746891062632	445.240571595969	55.3080372924116	414.588687989338	480.729149013704
1	IG-D	MGI	60	-13.6665277011826	-13.8155105579643	1.15401624637142	-13.8155105579643	-13.8155105579643
2	IG-E	MGI	39	-13.8155105579643	-13.8155105579643	0	-13.8155105579643	-13.8155105579643
3	IG-A	MGI	32	-6.64294543903836	-5.23282246281576	3.57815519739173	-6.15586004294281	-4.67059805689191
4	IG-B	MGI	48	-13.8155105579643	-13.8155105579643	0	-13.8155105579643	-13.8155105579643
5	G-A	MGI	35	-12.3562056580874	-13.8155105579643	3.26132428014413	-13.8155105579643	-13.8155105579643
1	IG-D	MFI	60	0.286611658328824	0	1.89614155598976	0	0
2	IG-E	MFI	39	0.226362824595766	0	1.41363538651237	0	0
3	IG-A	MFI	32	-2.43224847560692	-2.7557970451318	4.23155069483883	-3.59334254629994	-1.84059694679124
4	IG-B	MFI	48	0.561392636485026	0	1.88594265174084	0	0
5	G-A	MFI	35	-0.949712856957074	0	3.50575698325257	0	0
1	IG-D	DCI	60	-1.73421263949501	-1.57840238509817	0.509447209947202	-1.91826811864745	-1.4583435329788
2	IG-E	DCI	39	-4.01757777094246	-1.89950456188119	4.55646477846951	-8.43071515177693	-0.939798668268025
3	IG-A	DCI	32	-1.89975394989611	-1.67291244291459	0.581165380139769	-2.28469977119022	-1.46921273667438
4	IG-B	DCI	48	-1.75274876302781	-1.71736242403113	0.374706380853413	-1.98103278527203	-1.53452781110263
5	G-A	DCI	35	-1.90273255329393	-1.80741536630061	0.360848197389524	-2.07794308193056	-1.6193668401341
1	IG-D	MII	60	-2.67546162759169	-2.64518944951202	0.431723620220792	-2.92612467456706	-2.41846939386678
2	IG-E	MII	39	-2.38124195114628	-2.39503884194253	0.554374375501691	-2.6335296024656	-2.15280610079993
3	IG-A	MII	32	-2.29944086024232	-2.47135989152957	0.521787013549236	-2.62878976173374	-2.14741734708139
4	IG-B	MII	48	-2.63420245179767	-2.64421060270536	0.285453222305676	-2.81099375716024	-2.48548248242018
5	G-A	MII	35	-2.42990475607207	-2.4098622818825	0.216849665463492	-2.5768122164076	-2.30244466693379
1	IG-D	SRPI	60	-0.655110057573669	-0.631950774960546	0.203929945987967	-0.789011459465688	-0.500646621851043
2	IG-E	SRPI	39	-0.521874204290968	-0.512010135646267	0.173652043955083	-0.639952112090897	-0.410004189864482
3	IG-A	SRPI	32	-0.726987448461552	-0.758516108555186	0.218531183138462	-0.894442733544289	-0.586674680240436
4	IG-B	SRPI	48	-0.786429050172339	-0.804193503078277	0.137686431470026	-0.857904435531831	-0.721628713806527
5	G-A	SRPI	35	-0.803905890388987	-0.806165445907951	0.111848495207389	-0.891567673939982	-0.73176105788616
