module	n_sample_rows	n_samples	mean_module_abundance	median_module_abundance	frac_ko_mode	mean_weight_supported_comp	mean_weight_supported_ko	mean_weight_supported_oap	mean_OAP	median_OAP	mean_MGI	median_MGI	mean_MFI	median_MFI	mean_DCI	median_DCI	mean_MII	median_MII	mean_SRPI	median_SRPI
grey	193	193	0.0265137018666135	0.00568150496141125	0.984455958549223	0.906019233087311	0.856431516915203	0.836247623644167	420.475916773158	529.846146888567	-13.7390104787812	-13.8155105579643	-0.0728710410767498	0	-3.32408069991947	0	-3.7542391148772	-1.67336435817985	-1.47337651564505	-0.64069565767749
leiden1	209	209	0.0266797024154566	0.0181585728479747	1	0.924443374289264	0.892575070836972	0.826702240398658	513.404959588324	555.234673470536	-13.2260302020499	-13.8155105579643	-0.589480355914352	0	-3.12802196552811	-1.56040578350969	-2.80766999046528	-2.1097623098302	-1.09728272448906	-0.877896885714492
leiden2	213	213	0.134639865310695	0.130387621831437	1	0.968596005757242	0.940254010541266	0.81805538939737	580.909767589484	582.436413038394	-13.8155105579643	-13.8155105579643	0	0	-1.22583637771972	-0.42793353008796	-2.81039195300618	-2.61160967312465	-1.07164050886385	-0.941898244655725
leiden3	214	214	0.0753178364626221	0.0514243882422263	1	0.977351548808996	0.925840424146897	0.793927760097546	448.987589687755	452.864786388547	-13.8155105579643	-13.8155105579643	0	0	-2.51750583372395	-0.790323611040127	-2.69802693470008	-2.32422457649114	-0.378148963862475	-0.26171420231762
leiden4	214	214	0.692125848403694	0.699180349199496	1	0.997469761805826	0.950197958289598	0.86563134095846	367.811994300406	375.569776139916	-13.8155105579643	-13.8155105579643	0	0	-2.62852511579953	-2.00195824737243	-3.07687629824853	-2.85216675393359	-0.757872479556312	-0.768798448231301
leiden5	208	208	0.0423337035139985	0.0171311551694564	0.995192307692308	0.990546656072268	0.783714121544678	0.977170016332331	236.872659881771	277.782460158155	-12.2379955974426	-13.8155105579643	0.214572966195512	0	-6.28998848583715	-4.03710434340021	-3.52480308910756	-2.12893711547423	-0.510490158305404	-0.270179264344812
leiden6	165	165	0.00963725776625328	0.00322507723607867	0.96969696969697	0.942361903385635	0.942361903385635	0.839285628052116	532.361224945089	524.280579926786	-13.8155105579643	-13.8155105579643	0	0	-4.41380471480455	-2.30728995622757	-3.11691946884396	-1.0259379012682	-4.19155051331214	-1.91387263065342
