sample	module	module_abundance	OAP	MGI	MFI	DCI	MII	SRPI	tea_mode	n_taxa_input	n_taxa_with_comp	n_taxa_with_ko	n_taxa_with_oap	weight_supported_comp	weight_supported_ko	weight_supported_oap	n_taxa_in_module_sample	module_total_reads	core	age_kyr	state	state_label
LV3003046936	leiden1	0.0675888164049875	585.744176974282	-3.02791668143305	-10.7875938765312	-1.17414013666293	-2.32883569441845	-0.948116286936365	ko	311	270	251	225	0.892274296680221	0.838816488002076	0.726568460128827	311	127147	ST8	22.905	3	IG-A
LV3003046936	leiden2	0.226342027148859	569.148991591895	-13.8155105579643	0	0.373838205964115	-2.3217126237259	-0.811584224337001	ko	238	224	216	183	0.968850915120329	0.947258161868147	0.81079214919996	238	425791	ST8	22.905	3	IG-A
LV3003046936	leiden3	0.0310325837344991	591.509814338315	-13.8155105579643	0	-1.65924405887216	-3.08828332957048	-0.638608998000989	ko	118	113	107	87	0.978245229367227	0.931087053342013	0.794425982390627	118	58378	ST8	22.905	3	IG-A
LV3003046936	leiden4	0.652404017895113	445.915997694111	-13.8155105579643	0	-1.49568975241408	-2.71566328830079	-0.913542481709342	ko	279	275	261	226	0.998534985969109	0.950800624464268	0.813596927218624	279	1227292	ST8	22.905	3	IG-A
LV3003046936	grey	0.00475604725534557	612.576030852464	-13.8155105579643	0	-13.4367342858094	-1.63668102819057	-1.08150220812336	ko	31	24	24	23	0.885995305689058	0.885995305689058	0.873588912484632	31	8947	ST8	22.905	3	IG-A
LV3003046936	leiden5	0.0156151657679419	239.905461718608	-1.95079012188399	-1.85859948735391	-3.2150590263415	-1.57077864513637	0.121912146362709	ko	54	52	41	47	0.97828085106383	0.820970212765958	0.928374468085106	54	29375	ST8	22.905	3	IG-A
LV3003046936	leiden6	0.00226134179325361	561.380159033207	-13.8155105579643	0	-1.66390991007096	-1.53087100898453	-2.02478920522946	ko	13	13	13	12	1	1	0.688058298072403	13	4254	ST8	22.905	3	IG-A
LV3003046937	leiden1	0.0275715531018451	488.906342386443	-13.8155105579643	0	-2.12648995891223	-2.43307538964704	-0.526705208756359	ko	66	62	59	48	0.908905282571466	0.872744038993545	0.714991437228297	66	15182	ST8	18.598	3	IG-A
LV3003046937	leiden4	0.729887040534651	387.676602885905	-13.8155105579643	0	-1.62789659688404	-2.95343324104913	-0.831083537908866	ko	244	241	232	198	0.998793247160399	0.952526094475063	0.857302098754681	244	401905	ST8	18.598	3	IG-A
LV3003046937	leiden2	0.203187200348685	563.899829905064	-13.8155105579643	0	-0.0634168160283711	-2.78831754479614	-0.835683306648183	ko	198	186	181	155	0.960905588874092	0.943941438824486	0.769133827301735	198	111883	ST8	18.598	3	IG-A
LV3003046937	leiden3	0.0212952201075113	586.780395368073	-13.8155105579643	0	-2.62697988812549	-3.08111700748986	-0.520486044354888	ko	49	49	46	41	1	0.957786116322702	0.85920177383592	49	11726	ST8	18.598	3	IG-A
LV3003046937	leiden5	0.0143959755920384	234.10695098858	-13.8155105579643	0	-2.16882138534931	-2.35099904858901	-0.0341492781132225	ko	24	24	19	24	1	0.780497035448467	1	24	7927	ST8	18.598	3	IG-A
LV3003046937	leiden6	0.00240447479296818	486.535387177352	-13.8155105579643	0	-14.5413501002098	-0.796041603722578	-2.21246534336986	ko	6	6	6	5	1	1	0.907099697885196	6	1324	ST8	18.598	3	IG-A
LV3003046937	grey	0.00125853552230132	534.450216450216	-13.8155105579643	0	-14.8803705598275	-0.771506257316149	-1.1633043154151	ko	5	5	5	5	1	1	1	5	693	ST8	18.598	3	IG-A
LV3003046938	leiden3	0.303806676365772	698.787628123051	-13.8155105579643	0	-1.56741615772194	-4.96043911401659	-1.41055571304224	ko	207	182	169	131	0.934490257671946	0.869134283768645	0.712062034575929	207	227615	ST8	11.169	1	IG-D
LV3003046938	leiden4	0.531410418974653	565.209091697505	-13.8155105579643	0	-1.0384851800982	-4.10524241390057	-1.14939545014681	ko	218	214	204	175	0.990520874671596	0.959102120370324	0.734006801661735	218	398138	ST8	11.169	1	IG-D
LV3003046938	leiden1	0.0339063813883958	631.775889709045	-13.8155105579643	0	-2.90931104116691	-2.24885691546524	-1.46653751856027	ko	56	52	50	43	0.974136912963036	0.962091091603354	0.834310908160454	56	25403	ST8	11.169	1	IG-D
LV3003046938	leiden2	0.0849094379412982	576.311746309027	-13.8155105579643	0	-0.343645028886956	-2.8198844139621	-0.960354580528979	ko	138	133	129	106	0.978432759569284	0.957792973355341	0.836878094788965	138	63615	ST8	11.169	1	IG-D
LV3003046938	leiden6	0.0190600766140334	512.079364771525	-13.8155105579643	0	-5.00631223764846	-0.826575167102949	-1.67992557741389	ko	19	19	19	19	1	1	1	19	14280	ST8	11.169	1	IG-D
LV3003046938	grey	0.0269070087158474	632.315223133602	-13.8155105579643	0	-11.6772781206664	-3.10550111843535	-1.64544696894199	ko	20	15	15	11	0.888734560246044	0.888734560246044	0.356813333994742	20	20159	ST8	11.169	1	IG-D
LV3003046939	leiden3	0.136189321809062	610.970766523644	-13.8155105579643	0	-2.72556657252454	-4.86512805939506	-1.08791837348108	ko	149	140	131	99	0.957725665939076	0.90113291738299	0.67192238598389	149	207076	ST8	2.42	1	IG-D
