sample	MEblack	MEmagenta	MEred	MEgreen	MEblue	MEbrown	MEyellow	MEpurple	MEpink	MEturquoise	MEgrey
LV3003046953	-0.0457560349697191	0.0562480156151959	0.0931856746672752	-0.0305487212940014	-0.0401271255985495	-0.0116593354770407	-0.0158553761517505	0.138926418065929	0.110321642981049	0.0725276990242331	-0.0364352880801072
LV3003046939	-0.0390926829636824	0.162334238760909	0.126023338777455	-0.0365424796508158	-0.0414533154653216	-0.0196917242876449	-0.033335999351934	0.105847710304183	0.105252093759967	0.071624785997059	-0.0414715195599933
LV3003047045	-0.0366064161341108	0.142539241100093	0.129901115443488	-0.0357295099130916	-0.0640605827755459	-0.0251741551408361	-0.0418738385651902	0.0599734274091712	0.111903978204787	0.0669677976073572	-0.0462714140102202
LV3003047013	-0.0419448473092695	0.198189259864581	0.1235527400211	-0.0367667867243076	-0.0991065224125257	-0.0205229591203833	-0.0644338867463066	0.0356714120185397	0.0975701143962032	0.0216824688809344	-0.0476175437786979
LV3003046995	-0.0441890699119565	0.124760914984278	0.113162485627959	-0.036977543473531	-0.0712519127016323	-0.0278679154820353	-0.0469714403516978	-0.0141241449263988	0.103714532105162	0.04699275024898	-0.0423573554675082
LV3003046980	-0.0548393337854217	0.258626592954579	0.15132335027601	-0.0369422593207797	-0.0791579406381643	-0.0199649788155422	-0.0653109394647393	0.0221166395960696	0.0932109082699566	0.0442702866824141	-0.0504947606699048
LV3003046952	-0.0326621874260488	0.284084522372889	0.203422413779937	-0.0380076982203977	-0.0520697344299038	-0.0124755694043115	-0.0463189867744447	-0.0795829198370342	0.109776925392929	0.047635758560001	-0.0520560967971366
LV3003046938	0.00959027417125595	0.299427725193432	0.209669963275476	-0.0380076982203977	-0.0110682676419393	-0.00629357946843261	-0.0354229868754077	-0.139508955532927	0.11791076784838	0.0690840416068485	-0.0561467997797851
LV3003047044	0.041255753711898	-0.0174659141419104	-0.043164617398961	-0.030992202941807	0.016767338387084	-0.0340232838745502	0.0206385446319637	-0.0784230248075437	-0.0589197360123693	-0.0142114579489688	-0.045227272360012
LV3003047027	0.00230527525066104	0.256583451929335	0.184160433455469	-0.0335154352532623	0.0190035681537991	-0.0122241715274501	0.00877979164319505	-0.0531895418410107	0.11193946108757	0.0781866344616573	-0.0504574014521577
LV3003047010	-0.0403152043815356	0.289579909766972	0.170363465678575	-0.0362486684144755	-0.0556225224870291	-0.00409011649393848	-0.0343542253166743	-0.0471701354162334	0.110122922826407	0.0567421793107136	-0.053459434454122
