module	n	jaccard_median	jaccard_p05	jaccard_p95
black	30	0.408738260514496	0	0.72640625
blue	30	0.414078343473156	0.275373134328358	0.556490577385726
brown	30	0.371896059741364	0.0458883200188316	0.601967397951384
green	30	0.504948914431673	0.256615161757605	0.750333850931677
magenta	30	0.270950933564915	0	0.606977209116353
pink	30	0.327972207925888	0.138253968253968	0.592125292740047
purple	30	0.469600725952813	0.0971573755155845	0.722779922779923
red	30	0.427949709864603	0.260821248423707	0.665282131661442
turquoise	30	0.275795258721066	0.17756669820246	0.417523895544461
yellow	30	0.293127487146716	0.190520734729475	0.435740546218487
