sample	total_reads_from_counts	observed_taxa	singleton_taxa	doubleton_taxa	shannon_vegan	phyloseq_observed	phyloseq_shannon	phyloseq_chao1	vegan_observed	vegan_chao1	vegan_chao1_se	iNEXT_sample_coverage	richness_at_80pct_depth	rarefaction_slope_per_10k	chao1_gap	singleton_fraction	doubleton_fraction	core	flowcell	depth_in_core_cm	log_total_reads	total_reads	library_concentration	log_initial	log_derep	avg_leng_initial	avg_len_derep	detected_taxa	shannon_raw	age_kyr	mis	sst	low_reads_50k	low_reads_100k	low_taxa_150	low_taxa_250	low_reads_or_taxa	low_reads_and_taxa	PC1	PC2	PC3	site_group	focus_age_band	qc_depth_class	chao1_caution
LV3003046980	576373	540	0	0	5.30688669104138	540	5.30688669104138	540	540	540	0	1	540	0	0	0	0	ST8		40	5.76070438173389	576373	95.39	7.9276000728071	7.84703720930062	80.9	82.7	540	5.30688669104138	8.056	3.41776	6.25245183951933	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-5.87788690216889	61.0925786308524	37.2861642566281	ST8	other	adequate_depth	TRUE
LV3003046993	1224870	966	0	0	5.91446715650096	966	5.91446715650096	966	966	966	0	1	966	0	0	0	0	ST8		119.5	6.08809035242446	1224870	108.7	8.3619331483457	8.00165773923495	68.3	69.6	966	5.91446715650096	20.719	4.93248	7.51387664163044	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-72.9819746241292	14.2319723279341	48.7376693862631	ST8	other	adequate_depth	TRUE
LV3003046994	615826	497	0	0	4.72517868734386	497	4.72517868734386	497	497	497	0	1	497	0	0	0	0	ST8		79.5	5.78945872596691	615826	87.72	7.85216378902505	7.51952456393927	57.2	57.9	497	4.72517868734386	15.549	4.63274	7.18672783126745	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	13.7409567976702	-23.9720145029574	-2.15831353816152	ST8	other	adequate_depth	TRUE
LV3003046995	703131	482	0	0	5.25603348336704	482	5.25603348336704	482	482	482	0	1	482	0	0	0	0	ST8		35	5.84703686341278	703131	117	8.25143010582307	8.18238551777362	82.8	85.2	482	5.25603348336704	6.9705	3.36882	6.16359220190688	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-5.49999581649808	51.6507646305295	31.1189461269604	ST8	other	adequate_depth	TRUE
LV3003047009	735476	596	0	0	5.21405819074978	596	5.21405819074978	596	596	596	0	1	596	0	0	0	0	ST8		114.5	5.86656909592246	735476	99.94	7.89365914994526	7.70322034581248	64.3	64.7	596	5.21405819074978	20.142	4.97864	7.48471804810772	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-7.75103871031017	-31.2814100414528	1.85227257549117	ST8	other	adequate_depth	TRUE
LV3003047010	684865	586	0	0	5.50688978855279	586	5.50688978855279	586	586	586	0	1	586	0	0	0	0	ST8		70	5.83560560630494	684865	131.81	8.09357605641619	7.99515473083231	83.1	85.9	586	5.50688978855279	13.676	4.20872	6.95319000495699	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-15.2571070430248	61.8296813137769	42.5059120546241	ST8	other	adequate_depth	TRUE
LV3003047013	607702	477	0	0	4.95445213390339	477	4.95445213390339	477	477	477	0	1	477	0	0	0	0	ST8		30	5.7836913803003	607702	131.96	8.02917205826218	7.93794146352984	79.8	81.7	477	4.95445213390339	5.885	3.32195	6.33782936611152	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4.00192655587517	57.4214322233315	31.0462009638401	ST8	other	adequate_depth	TRUE
LV3003047026	1714271	849	0	0	5.34059339412781	849	5.34059339412781	849	849	849	0	1	849	0	0	0	0	ST8		109.5	6.23407973166362	1714271	12.35	8.97687918844397	8.10079813874253	61.9	64.1	849	5.34059339412781	19.565	4.97695	7.455559454585	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-60.0573638451108	-31.2583953199663	13.5474844017559	ST8	other	adequate_depth	TRUE
LV3003047027	728928	717	0	0	5.69177894043324	717	5.69177894043324	717	717	717	0	1	717	0	0	0	0	ST8		65	5.86268522871595	728928	149.32	8.22047278409608	8.05177970017026	84.4	86.9	717	5.69177894043324	12.877	4.04278	6.85356548641879	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-40.9375344809951	44.9096097657331	33.4309791015768	ST8	other	adequate_depth	TRUE
LV3003047028	11886	38	0	0	3.11840101577944	38	3.11840101577944	38	38	38	0	1	38	0	0	0	0	ST8		25	4.07507226270612	11886	124.79	6.48560900630185	6.45915295656391	78.3	79.3	38	3.11840101577944	4.753	3.26988	6.51953039778323	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	93.7995921280493	-8.72533137962022	33.8511376453568	ST8	other	low_diversity_but_saturated	TRUE
LV3003047041	1504623	945	0	0	5.48239273514723	945	5.48239273514723	945	945	945	0	1	945	0	0	0	0	ST8		104.5	6.1774279848954	1504623	105.88	7.96810430290194	7.71251417387113	73.6	75.3	945	5.48239273514723	19.097	4.96291	7.4319091568924	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-95.420729770064	-41.3992995695522	28.7463533647123	ST8	other	adequate_depth	TRUE
LV3003047044	330929	539	0	0	5.54652020597698	539	5.54652020597698	539	539	539	0	1	539	0	0	0	0	ST8		60	5.51973613930819	330929	46.49	7.80401947004152	7.42824575181643	81.2	83.3	539	5.54652020597698	12.078	3.93092	6.75394096788059	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-6.66480352599734	-21.393328275547	-13.4601212427673	ST8	other	adequate_depth	TRUE
LV3003047045	1001311	507	0	0	5.21826838031503	507	5.21826838031503	507	507	507	0	1	507	0	0	0	0	ST8		20	6.00056942090177	1001311	111.57	8.18091416396213	8.10898287168333	80.4	81.5	507	5.21826838031503	3.5865	3.295865	6.70676913757569	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-14.241439477631	55.8614781280153	29.8030339638104	ST8	other	adequate_depth	TRUE
LV3003047059	79512	169	0	0	4.32228521091505	169	4.32228521091505	169	169	169	0	1	169	0	0	0	0	ST8		609.2	4.90043813955844	79512	57.46	7.70247026740302	6.6868841752809	52.1	54.7	169	4.32228521091505	107.683	4.08781	9.62921190579469	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	75.6997286395172	-7.09931370233049	15.2515389426824	ST8	90-110 kya	low_diversity_but_saturated	TRUE
LV3003047060	46974	162	0	0	4.76321207520094	162	4.76321207520094	162	162	162	0	1	162	0	0	0	0	ST8		604.2	4.67186678877256	46974	70.8	7.16272835608921	6.53486657908937	58.9	62	162	4.76321207520094	106.686	4.02744	9.16482148751936	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	71.8141509705565	-3.89054149963441	13.8064359222595	ST8	90-110 kya	low_diversity_but_saturated	TRUE
LV3003047061	39371	109	0	0	4.09622977301612	109	4.09622977301612	109	109	109	0	1	109	0	0	0	0	ST8		599.2	4.59518747643367	39371	43.21	7.4482587660589	6.46178206121975	61.9	66	109	4.09622977301612	105.689	3.95335	8.70043106924403	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	84.0798744739725	-10.2896441040761	22.9535957355639	ST8	90-110 kya	low_diversity_but_saturated	TRUE
LV3003047062	39336	108	0	0	4.08311291096109	108	4.08311291096109	108	108	108	0	1	108	0	0	0	0	ST8		594.2	4.59480123577839	39336	74.51	7.09569496559726	6.457942421364	64.7	66.7	108	4.08311291096109	104.692	3.87156	8.38459253919963	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	86.6711298088404	-15.010162525012	24.1692199609954	ST8	90-110 kya	low_diversity_but_saturated	TRUE
LV3003047063	24610	57	0	0	3.34362912561279	57	3.34362912561279	57	57	57	0	1	57	0	0	0	0	ST8		589.2	4.3911292604179	24610	26.33	7.55693681901201	6.27782229862708	54.5	59.4	57	3.34362912561279	103.695	3.9078	8.08727062917724	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	95.6677971602877	-14.4322294483024	31.7587385323117	ST8	90-110 kya	low_diversity_but_saturated	TRUE
LV3003047064	21720	35	0	0	2.9606310296169	35	2.9606310296169	35	35	35	0	1	35	0	0	0	0	ST8		554.2	4.33687981559842	21720	31.71	7.57927502583958	6.19909034064697	51.3	57.8	35	2.9606310296169	96.283	3.77264	6.64358420103273	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	99.5531399402386	-12.6909378449398	34.0244728043499	ST8	90-110 kya	low_diversity_but_saturated	TRUE
LV3003047065	139588	270	0	0	4.82656313041764	270	4.82656313041764	270	270	270	0	1	270	0	0	0	0	ST8		374.5	5.14485119602693	139588	140.39	7.76181269003654	7.06006300452821	58.3	61.5	270	4.82656313041764	53.61018	4.4033892	6.44166131978254	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	50.2847406947499	-12.15867378634	2.37872127818799	ST8	40-60 kya	adequate_depth	TRUE
LV3003047067	369122	573	0	0	5.5239177414308	573	5.5239177414308	573	573	573	0	1	573	0	0	0	0	ST8		334.5	5.56717110686425	369122	178.82	7.92269613045094	7.47919300023311	60.2	61.8	573	5.5239177414308	42.86602	4.4653592	8.33857306903406	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-22.4138539892897	-6.35011405147229	-19.5520598287504	ST8	40-60 kya	adequate_depth	TRUE
LV3003047068	296447	437	0	0	5.16334276332428	437	5.16334276332428	437	437	437	0	1	437	0	0	0	0	ST8		294.5	5.47194852470327	296447	99.85	7.65555909311992	7.21106733291829	64.9	69	437	5.16334276332428	37.78969	4.4205155	9.10244349358346	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	5.38638334325355	-11.3564105079855	-23.9295651430801	ST8	other	adequate_depth	TRUE
LV3003047069	265589	451	0	0	5.4392501632791	451	5.4392501632791	451	451	451	0	1	451	0	0	0	0	ST8		249.5	5.42421171893929	265589	233.37	7.82491255476198	7.352425307708	59	61.8	451	5.4392501632791	33.7436870748299	4.5874368707483	8.82643927310517	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	2.19516261212809	-10.2834240098652	-21.5165385208418	ST8	other	adequate_depth	TRUE
LV3003047070	302672	491	0	0	5.40940638627859	491	5.40940638627859	491	491	491	0	1	491	0	0	0	0	ST8		209.5	5.48097368136621	302672	151.38	7.83287075276502	7.25244593785315	53.6	56.6	491	5.40940638627859	30.128	4.62	8.25318031257889	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1.18102084709544	-25.7500992390037	-29.3289224158868	ST8	other	adequate_depth	TRUE
LV3003047071	445326	612	0	0	5.64619854767014	612	5.64619854767014	612	612	612	0	1	612	0	0	0	0	ST8		169.5	5.64867902703227	445326	140.62	7.83252117496555	7.3177505303126	56.3	59.2	612	5.64619854767014	26.141	4.68128	7.78787645806057	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-23.4225275784479	-39.1339992435846	-29.5043331173857	ST8	other	adequate_depth	TRUE
LV3003047073	4586	12	0	0	2.31729212099697	12	2.31729212099697	12	12	12	0	1	12	0	0	0	0	ST8		579.2	3.66152874013198	4586	16.41	6.92397274178271	5.82869726744958	50.9	55.5	12	2.31729212099697	101.685	3.8789	7.56570434574025	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	100.749979533448	-13.7430071230861	37.3638689424294	ST8	90-110 kya	insufficient_for_call	TRUE
LV3003047074	8155	20	0	0	2.6459841973781	20	2.6459841973781	20	20	20	0	1	20	0	0	0	0	ST8		574.2	3.9114772171061	8155	71.25	6.51052771850801	5.96374109096816	51.6	52.8	20	2.6459841973781	100.672	3.88392	7.39278548113664	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	100.233449534461	-13.4963194356515	37.0329246834708	ST8	90-110 kya	insufficient_for_call	TRUE
LV3003047077	46091	117	0	0	4.21240076324656	117	4.21240076324656	117	117	117	0	1	117	0	0	0	0	ST8		569.2	4.6636255532128	46091	39.39	7.54179709780102	6.6010285122959	60	64.6	117	4.21240076324656	99.7145	3.801435	7.22934045363618	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	83.7169171841997	-14.8992818890653	21.6279710828271	ST8	90-110 kya	low_diversity_but_saturated	TRUE
LV3003047078	13396	44	0	0	3.30998870284966	44	3.30998870284966	44	44	44	0	1	44	0	0	0	0	ST8		564.2	4.12700755737133	13396	23.95	7.45915579309656	6.19841760923552	48.2	51.4	44	3.30998870284966	98.757	3.80916	7.06589542613573	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	97.4211839697388	-13.6315049385564	33.5875819874682	ST8	90-110 kya	low_diversity_but_saturated	TRUE
LV3003047079	171510	346	0	0	5.01545237119558	346	5.01545237119558	346	346	346	0	1	346	0	0	0	0	ST8		559.2	5.23429197910824	171510	59.02	7.71104778126797	7.1670618531003	73	78.1	346	5.01545237119558	97.52	3.8664	6.85473981358423	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	45.2026023735247	27.1572430135195	17.8470810950886	ST8	90-110 kya	adequate_depth	TRUE
LV3003047080	360480	462	0	0	5.05525145317152	462	5.05525145317152	462	462	462	0	1	462	0	0	0	0	ST8		524.2	5.55688237914529	360480	86.42	7.6881739577634	7.28735296597502	63.9	67.4	462	5.05525145317152	87.9935	4.110455	8.44662940914954	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	11.7117768757728	22.2635255324435	-20.5405904917275	ST8	other	adequate_depth	TRUE
LV3003047081	284676	541	0	0	5.60903610129061	541	5.60903610129061	541	541	541	0	1	541	0	0	0	0	ST8		369.5	5.45435238047121	284676	90.06	7.75909245780536	7.20194006261283	57.2	58.8	541	5.60903610129061	52.20718	4.3369334	7.53394237030326	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-8.04198606048374	-10.5319972716807	-20.7408429609683	ST8	40-60 kya	adequate_depth	TRUE
LV3003047082	203145	375	0	0	5.16017941651787	375	5.16017941651787	375	375	375	0	1	375	0	0	0	0	ST8		329.5	5.30780827537013	203145	61.65	7.56882947126168	7.28487087406111	59.3	60.4	375	5.16017941651787	41.9168333333333	4.50083166666667	8.48140374041344	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	20.3032742434367	-3.74848560261616	-18.4336534255018	ST8	40-60 kya	adequate_depth	TRUE
LV3003047083	270682	443	0	0	5.34534843089527	443	5.34534843089527	443	443	443	0	1	443	0	0	0	0	ST8		289.5	5.43246098115644	270682	129.5	7.81965582433899	7.2534175863758	60.6	63	443	5.34534843089527	37.30319	4.4448405	9.1756505076159	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	4.52604956827751	-6.92838986938404	-26.2492953947608	ST8	other	adequate_depth	TRUE
LV3003047084	534055	655	0	0	5.6943990814829	655	5.6943990814829	655	655	655	0	1	655	0	0	0	0	ST8		244.5	5.72758679863126	534055	4.13	8.59152293107538	7.49240918071306	56.1	58.4	655	5.6943990814829	33.276	4.58276	8.75228855131429	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-33.3653041967269	10.9166256120898	-13.2904391020942	ST8	other	adequate_depth	TRUE
LV3003047085	442512	606	0	0	5.61417197739752	606	5.61417197739752	606	606	606	0	1	606	0	0	0	0	ST8		204.5	5.64592603378036	442512	130.79	7.86293163449928	7.37509877369652	58.5	60.7	606	5.61417197739752	29.703	4.65267	8.18579752939511	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-17.6138382949433	-42.3865969007897	-22.0854267571609	ST8	other	adequate_depth	TRUE
LV3003047087	45812	142	0	0	4.52561848398975	142	4.52561848398975	142	142	142	0	1	142	0	0	0	0	ST8		549.2	4.66098873187183	45812	1.28	7.98816708128839	6.70482897942603	62.8	70.1	142	4.52561848398975	94.9015	3.776895	6.61928230068734	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	77.6507269111109	-9.76758286040575	19.3486190305708	ST8	90-110 kya	low_diversity_but_saturated	TRUE
LV3003047088	46002	112	0	0	4.01048551842412	112	4.01048551842412	112	112	112	0	1	112	0	0	0	0	ST8		544.2	4.66278615431119	46002	46.2	7.43685559698328	6.57631669724637	58.7	62.9	112	4.01048551842412	93.52	3.8688	6.98472526975806	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	84.5166636030656	0.16239137506452	28.1845191703194	ST8	90-110 kya	low_diversity_but_saturated	TRUE
LV3003047089	141951	206	0	0	4.29148093111365	206	4.29148093111365	206	206	206	0	1	206	0	0	0	0	ST8		539.2	5.15214151579703	141951	1.23	8.67265142265355	7.15896794083345	65.4	86.5	206	4.29148093111365	92.1385	3.96892	7.35016823882878	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	71.0268152654871	16.7125371034192	25.4237180346938	ST8	90-110 kya	low_diversity_but_saturated	TRUE
LV3003047090	110264	161	0	0	3.89653074070307	161	3.89653074070307	161	161	161	0	1	161	0	0	0	0	ST8		534.2	5.04243768180528	110264	58.67	7.73707721321004	6.96726770033963	70.8	80.3	161	3.89653074070307	90.757	4.03729	7.7156112078995	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	77.0345160334591	0.646800709866555	16.6927630031845	ST8	90-110 kya	low_diversity_but_saturated	TRUE
LV3003047091	233626	357	0	0	4.87885666827335	357	4.87885666827335	357	357	357	0	1	357	0	0	0	0	ST8		529.2	5.36852303224776	233626	64.75	7.76492506657205	7.04074371990188	56.8	61.4	357	4.87885666827335	89.37525	4.072495	8.08112030852452	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	38.3700721309127	30.7420978951859	-0.294464023242409	ST8	other	adequate_depth	TRUE
LV3003047093	373747	441	0	0	5.00035730301572	441	5.00035730301572	441	441	441	0	1	441	0	0	0	0	ST8		494.2	5.57257887734242	373747	113.42	7.50587097336113	7.18433121444563	64.3	67.4	441	5.00035730301572	79.675	3.94875	8.33291896762292	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	16.7062349915819	38.5933905879178	-6.61910289197266	ST8	other	adequate_depth	TRUE
LV3003047094	316404	453	0	0	4.94388661357424	453	4.94388661357424	453	453	453	0	1	453	0	0	0	0	ST8		364.5	5.50024333783212	316404	129.24	7.90455566519699	7.33595317525808	61.2	64.2	453	4.94388661357424	50.6848	4.333152	8.71916462667657	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	7.66512186860583	9.54545571981847	-21.5524561727141	ST8	40-60 kya	adequate_depth	TRUE
LV3003047095	317139	423	0	0	4.60806374422421	423	4.60806374422421	423	423	423	0	1	423	0	0	0	0	ST8		324.5	5.50125102185586	317139	76.96	7.74680671500299	7.20215192191216	58.7	60.6	423	4.60806374422421	40.9751666666667	4.51099333333333	8.62310282547109	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	10.4576064198962	1.42447722423504	-23.8262094884299	ST8	40-60 kya	adequate_depth	TRUE
LV3003047096	554559	569	0	0	4.75448708179157	569	4.75448708179157	569	569	569	0	1	569	0	0	0	0	ST8		284.5	5.74394854103382	554559	135.25	7.74884584144943	7.30167203781762	55.6	57.5	569	4.75448708179157	36.89377	4.4589377	9.23725876185055	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-16.3377754568915	-28.9119410251555	-29.3038844329601	ST8	other	adequate_depth	TRUE
LV3003047097	325562	522	0	0	5.54099554522637	522	5.54099554522637	522	522	522	0	1	522	0	0	0	0	ST8		239.5	5.51263504176721	325562	93.56	7.92469999629634	7.23999516951785	56.6	59.5	522	5.54099554522637	32.835	4.5833	8.6823690045283	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-7.59199030669356	-10.8257861928234	-28.5843128922761	ST8	other	adequate_depth	TRUE
LV3003047098	245864	424	0	0	5.32076780299958	424	5.32076780299958	424	424	424	0	1	424	0	0	0	0	ST8		199.5	5.39069670934575	245864	110.66	7.89520685920103	7.15577857969499	57.5	59.5	424	5.32076780299958	29.278	4.69942	8.11841474621133	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	19.0815212105232	-26.0933196070312	-26.63433547548	ST8	other	adequate_depth	TRUE
LV3003047099	501957	626	0	0	5.61611493489588	626	5.61611493489588	626	626	626	0	1	626	0	0	0	0	ST8		159.5	5.70066738023003	501957	89.55	7.46067927302278	7.23470837153319	59.3	60.8	626	5.61611493489588	25.058	4.8113	7.73314724352832	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	-32.6458434098086	-31.31267072657	-11.1757376687595	ST8	other	adequate_depth	TRUE
LV3003047100	317133	448	0	0	5.19834172670938	448	5.19834172670938	448	448	448	0	1	448	0	0	0	0	ST8		519.2	5.50124280532202	317133	84.21	7.97856730970308	7.31662590783904	62.5	66.1	448	5.19834172670938	86.61175	4.13341	8.5396208419164	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	15.1116470734664	31.7649660167852	-11.9162532971231	ST8	other	adequate_depth	TRUE
LV3003047101	208332	340	0	0	4.89123934700211	340	4.89123934700211	340	340	340	0	1	340	0	0	0	0	ST8		514.2	5.31875806775269	208332	13.39	8.10659853460075	7.04462994160658	64.4	71.1	340	4.89123934700211	85.23	3.9753	8.34374151531365	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	35.3851469769623	10.6912380722185	-10.563599332163	ST8	other	adequate_depth	TRUE
LV3003047104	88376	138	0	0	3.78248993207737	138	3.78248993207737	138	138	138	0	1	138	0	0	0	0	ST8		509.2	4.94633925514029	88376	1	8.0545486256001	6.67980878206339	60.2	65.9	138	3.78248993207737	83.84125	3.8215875	8.14686985631632	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	78.5606865314302	-3.58190614156977	16.3496252945705	ST8	other	low_diversity_but_saturated	TRUE
LV3003047105	62015	114	0	0	3.96472112842204	114	3.96472112842204	114	114	114	0	1	114	0	0	0	0	ST8		504.2	4.79250375103465	62015	68.23	7.21737954306536	6.62042756971581	62.3	66.1	114	3.96472112842204	82.4525	3.813575	7.94999819731899	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	83.042975000635	-4.8908596507109	18.5255722508443	ST8	other	low_diversity_but_saturated	TRUE
LV3003047106	180685	275	0	0	4.57578479313663	275	4.57578479313663	275	275	275	0	1	275	0	0	0	0	ST8		499.2	5.25692450364952	180685	62.43	7.80784349757581	7.04453113713117	57.3	60.7	275	4.57578479313663	81.06375	3.818725	7.9892783476803	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	52.5427575210669	10.275916931382	-6.73085226428797	ST8	other	adequate_depth	TRUE
