label	core	flowcell	depth_in_core_cm	y_bp	library_concentration	temp	temp_method	mis	initial	avg_leng_initial	derep	avg_len_derep	sst
LV7001897507	ST5	NA	71.5	13023.5	27.69	4.177830627375212	mgca_jonkers_2013	4.065169999999999	33511565	65.1	15542438	68.8	6.871832059592566
LV7001897495	ST5	NA	76.5	13218.5	27.45	4.055450439274994	mgca_jonkers_2013	4.10807	29319575	65	16860873	67.3	6.896145928322165
LV7001897483	ST5	NA	81.5	13415	31.04	4.673370634331796	mgca_jonkers_2013	4.1513	78355762	65.5	38015456	67.4	6.920646826811222
LV7001897471	ST5	NA	86.5	13617	26.05	4.941608050112433	mgca_jonkers_2013	4.19574	105917283	67.5	29630029	71.8	6.94583350108496
LV3003047010	ST8	NA	70	13676	131.81	5.451365738316348	mgca_jonkers_2013	4.2087200000000005	124044083	83.1	98890535	85.9	6.953190004956992
LV7001897568	ST5	NA	91.5	13816	37.87	4.393918980915352	mgca_jonkers_2013	4.23952	70569175	57	29575147	59.8	6.970646115839781
LV7001897556	ST5	NA	96.5	14012.5	27.81	3.8462299117182712	mgca_jonkers_2013	4.282625	109575032	57.4	35414627	61.3	6.995147014328838
LV7001897544	ST5	NA	106.5	14418.5	14.7	2.710821290596013	mgca_jonkers_2013	4.367885	77844853	58.5	17351125	63.7	7.045769735888925
LV3003061492	ST13	NA	45	14437	376.09	NA	NA	4.371770000000001	119240881	67.3	80494467	68	7.048076436255579
LV7001897532	ST5	NA	111.5	14615	19.22	2.029697278971944	mgca_jonkers_2013	4.40915	47322160	62.8	22673380	64.8	7.070270634377982
LV7001897508	ST5	NA	116.5	14812	22.28	1.646832031753649	mgca_jonkers_2013	4.45052	139311288	67.2	54216602	72.3	7.094833876120193
LV7001897496	ST5	NA	121.5	15007	32.51	1.9599039014821584	mgca_jonkers_2013	4.491820000000001	58394729	63.8	21550727	66.7	7.119147744849791
LV7001897484	ST5	NA	126.5	15210	31.04	2.2017302970517463	mgca_jonkers_2013	4.5446	59058701	63.7	23608360	68.9	7.144459105629835
LV7001897472	ST5	NA	131.5	15405.5	21.07	2.2773172529171837	mgca_jonkers_2013	4.59543	75350186	61.5	16025829	66.2	7.1688353176125865
LV3003046994	ST8	NA	79.5	15549	87.72	4.990397545021239	mgca_jonkers_2013	4.63274	71148178	57.2	33076881	57.9	7.186727831267445
LV7001897569	ST5	NA	136.5	15599	20.09	2.4601640244725096	mgca_jonkers_2013	4.64574	48167327	64.3	22764329	66.1	7.192962156582727
LV7001897557	ST5	NA	141.5	15805	33.32	2.8932836993042415	mgca_jonkers_2013	4.6993	91590246	58.6	35528464	60.7	7.218647576881687
