core	depth_in_core_cm	y_bp	d13c_per_mil	toc_percent_weight	sum_expandable_clays	sum_illites_micas	sum_montmorillonites_smectites	sum_greenland	sum_iceland	ratio_greenland_to_iceland
GeoB25202	545	339399	-24.322	0.109876474625714	10.9	16.94	1.5	38.87	25.06	1.55107741420591
GeoB25202	549	340876	-22.7275	0.0901100281695868	13.06	24.74	1.85	22.79	24.03	0.948397836038285
GeoB25202	560	344447	-24.491	0.0902600192300011	8.42	26.72	4.02	16.14	26.04	0.619815668202765
GeoB25202	575	349929	-23.563	0.0866400426840504	4.8	19.29	1.63	25.56	19.37	1.31956633970057
GeoB25202	592	356063	-23.6345	0.122917624508408	7.15	19.92	2.2	31.42	24.2	1.29834710743802
GeoB25202	610	362210	-22.1575	0.0766694938738598	13.71	8.87	2.42	11.73	27.91	0.420279469724113
GeoB25202	617	364509	-23.161	0.304606151199778						
GeoB25202	625	367136			2.97	1.44	1.62	7.8	35.85	0.217573221757322
GeoB25202	630	368752	-22.761	0.108402251164758						
GeoB25202	635	370539	-22.1845	0.056757380978239	0	2.86	0	10.64	32.64	0.325980392156863
GeoB25202	640	372240	-21.911	0.0421805874575915	0	4.61	0	12.39	8.51	1.45593419506463
GeoB25202	645	374042	-22.5485	0.0353108132769685	0	2.65	0	11.55	8.48	1.36202830188679
GeoB25202	651	376293	-24.08	0.0676339499873219	0	3.29	0	14.62	15.3	0.955555555555555
GeoB25202	657	378354	-23.923	0.0803232951368812	0.72	4.75	0.72	30.22	25.69	1.17633320358116
GeoB25202	664	380909	-24.4325	0.0935416793162795	1.58	32.44	0.82	28.76	14.64	1.96448087431694
GeoB25202	675	384812	-23.36	0.0969721434034019	8.29	17.23	4.7	26.06	31.79	0.819754639823844
GeoB25202	676	385180			6.71	16.02	3.43	22.86	39.44	0.579614604462475
GeoB25202	690	390285	-23.4975	0.119815317506459	9.6	29.54	3.37	36.92	10.3	3.58446601941748
GeoB25202	705	395780	-23.64	0.0970872678654456	2.01	22.87	1.8	19.76	32.18	0.614045991298943
GeoB25202	717	399589			11.78	17.19	1.85	47.57	19.82	2.40010090817356
GeoB25202	731	408790			12.93	12.69	12.93	16.8	30.27	0.555004955401387
GeoB25202	743	422116	-24.45	0.128281871168372						
GeoB25202	761	441175	-23.305	0.131993692793291	4.58	8.93	0	19.87	30.27	0.656425503799141
GeoB25202	775	455261	-22.08	0.0979032830376748	8.35	17.96	1.47	11.33	28.95	0.391364421416235
GeoB25202	784	461089	-21.9285	0.0695162264104707	2.71	1.5	0	5.45	11.25	0.484444444444444
GeoB25202	787	462846	-22.543	0.0525205643596465						
GeoB25202	790	464645	-22.861	0.0694669019851319	0	1.97	0	8.78	8.03	1.093399750934
GeoB25202	795	467160	-24.8325	0.0681630830654514						
GeoB25202	799	469360	-23.3995	0.044608610799738	0	0.97	0	7.63	8.06	0.946650124069479
GeoB25202	804	472594	-23.655	0.0418829713030283	3.21	1.49	0	7.41	6.27	1.18181818181818
GeoB25202	810	478906	-22.051	0.0357170862008663	0	2.34	0	7.12	3.68	1.93478260869565
GeoB25202	815	484212	-24.1775	0.0321722772686542	0	5.59	0	14.5	9.56	1.51673640167364
GeoB25202	820	493327	-22.636	0.0478083931300293						
GeoB25202	825	508191	-24.2035	0.0356108895300604	0	0.88	0	10.46	10.69	0.978484565014032
GeoB25202	830	517202	-23.603	0.0894822920921094	4.48	29.51	2.04	28.65	16.76	1.70942720763723
GeoB25202	835	523293	-23.0055	0.084115769355156	0.96	16.74	0	18.36	33.55	0.547242921013413
GeoB25202	840	528595	-22.337	0.145576618702999						
GeoB25202	846	537937	-23.167	0.554436032218372	7.52	11.39	3.32	43.09	28.03	1.53728148412415
GeoB25202	850	542929	-23.9795	0.106847401540191	0	2.79	0	6.29	35.6	0.176685393258427
