core	depth_in_core_cm	y_bp	benthic_foraminifera_concentration_n_per_gram_gt_150um	g_bulloides_pct	g_glutinata_pct	g_glutinata_with_bulla_pct	g_glutinata_without_bulla_pct	g_inflata_pct	g_scitula_pct	g_truncatulinoides_dex	g_uvula_pct	mg_ca_subsst_degc_jonkers_2013_calibration	mg_ca_subsst_degc_kozdon_2009_calibration	n_incompta_pct	n_pachyderma_d13c_vpdb_corr	n_pachyderma_d18o_vpdb_corr	n_pachyderma_pct	o_universa	p_to_b_ratio	planktonic_foraminifera_concentration_n_per_gram_gt_150um	polar_planktonic_spp_pct	sub_polar_planktonic_species_pct	t_quinqueloba_pct	total_planktonic_foraminifera_count	transitional_planktonic_species_pct
GeoB25202	4	644		30.8383233532934	5.68862275449102			0.598802395209581	1.79640718562874		0			18.8622754491018			20.3592814371257				20.3592814371258	40.7185628742515	21.8562874251497	334	38.9221556886228
GeoB25202	59	16154		2.5089605734767	0.3584229390681			0	0		0			0.716845878136201			95.6989247311828				95.6989247311828	1.4336917562724	0.716845878136201	279	2.8673835125448
GeoB25202	84	27488		3.11418685121107	0.346020761245675			0	0		0.69204152249135			1.73010380622837			90.6574394463668				91.3494809688581	5.19031141868512	3.46020761245675	289	3.46020761245675
GeoB25202	105	36392		4.91228070175439	0			0	0		0.350877192982456			1.05263157894737			90.8771929824562				91.2280701754386	3.85964912280702	2.80701754385965	285	4.91228070175439
GeoB25202	119	42867		0.955414012738854	0			0	0		0.955414012738854			0			97.7707006369427				98.7261146496815	0.318471337579618	0.318471337579618	314	0.955414012738854
GeoB25202	129	50162		2.93333333333333	0			0	0		0.266666666666667			1.06666666666667			94.4				94.6666666666667	2.4	1.33333333333333	375	2.93333333333333
GeoB25202	139	53700		2.24358974358974	0			0	0		0			0.641025641025641			97.1153846153846				97.1153846153846	0.641025641025641	0	312	2.24358974358974
GeoB25202	149	57963		3.7940379403794	0.2710027100271			0	0		0			0.5420054200542			95.1219512195122				95.1219512195122	0.813008130081301	0.2710027100271	369	4.0650406504065
GeoB25202	155	58903		8.94308943089431	0.5420054200542			0	0.5420054200542		0			0.813008130081301			86.1788617886179				86.1788617886179	3.7940379403794	2.9810298102981	369	10.0271002710027
GeoB25202	159	59650		1.52905198776758	0			0.91743119266055	0		0			1.22324159021407			94.8012232415902				94.8012232415902	2.75229357798165	1.52905198776758	327	2.44648318042813
