module	proxy	beta_full	p_full	beta_leave_ST8	p_leave_ST8	beta_leave_ST13	p_leave_ST13	beta_leave_GeoB25202_R1	p_leave_GeoB25202_R1	q_full	sign_preserved_all	all_leave_p_lt_010	stability_flag
MEgreen	ba_ti_z	0.121380787421408	0.110273806207419	0.0202635168169129	0.872845626243061	0.140528895565455	0.103563485844559	0.146945778980294	0.0694731562030771	0.137842257759274	TRUE	FALSE	unstable_or_mixed
MEgreen	ca_ti_z	0.683005775918315	1.90936922589428e-25	0.869988762858644	3.33939430655872e-17	0.620844531599242	2.39837866919146e-16	0.654158595458363	1.16311029673836e-20	4.77342306473571e-24	TRUE	TRUE	stable
MEgreen	zr_rb_z	0.281771440305807	9.05559023659712e-05	0.132488846983714	0.269775545168154	0.288916598826253	0.000461530203911761	0.341330334299622	7.04846154334239e-06	0.00028298719489366	TRUE	FALSE	unstable_or_mixed
MEgreen	ti_al_z	-0.316548545618918	2.96271134771317e-05	-0.216421440205774	0.0958507536100966	-0.260862674712993	0.00225752604186778	-0.404598390173637	4.53918748417411e-07	0.000105811119561185	TRUE	TRUE	stable
MEgreen	mn_fe_z	0.401251224560254	2.18750710459635e-08	0.325361416986905	0.00806661945319096	0.4432674388797	4.10882515038621e-08	0.387289271732442	3.67834071662373e-07	1.36719194037272e-07	TRUE	TRUE	stable
MEyellow	ba_ti_z	-0.521786900673993	7.04291803918384e-16	-0.62187604151949	6.90190831380147e-11	-0.492930584278054	9.45716657638881e-11	-0.504452367794018	1.12128262576252e-12	8.8036475489798e-15	TRUE	TRUE	stable
MEyellow	ca_ti_z	-0.349707557114014	2.00697623620226e-07	-0.470453915925868	9.89476298437052e-06	-0.305000462531841	0.000102046720522094	-0.343438769733071	2.36611056667606e-06	1.00348811810113e-06	TRUE	TRUE	stable
MEyellow	zr_rb_z	0.149732377161596	0.0265876078379967	0.206172774074668	0.0461551463293391	0.111458079845903	0.162094529499758	0.156968194099913	0.0322908710891553	0.0390994232911716	TRUE	FALSE	unstable_or_mixed
MEyellow	ti_al_z	0.432208753859968	2.00592181731224e-10	0.496177907069856	2.82395354056095e-06	0.386803886726725	8.8273468201758e-07	0.449209406681439	1.45746773270503e-09	1.67160151442687e-09	TRUE	TRUE	stable
MEyellow	mn_fe_z	-0.101545925968022	0.14074471889966	-0.0231261582346522	0.833328031505924	-0.134315540588749	0.0944832885668741	-0.10370518281739	0.163647580766161	0.161468243432735	TRUE	FALSE	unstable_or_mixed
MEblue	ba_ti_z	-0.187952234240523	0.00765688793758396	-0.276018977284798	0.0164400230309455	-0.162935773780731	0.0469879302663438	-0.172498775579618	0.0219415945473093	0.0147247844953538	TRUE	TRUE	stable
MEblue	ca_ti_z	-0.103083328965645	0.142092054220807	-0.0607958823061658	0.616093704389627	-0.115971651540236	0.151772833661082	-0.112858785339057	0.129068476986582	0.161468243432735	TRUE	FALSE	unstable_or_mixed
MEblue	zr_rb_z	-0.112645278512963	0.0983496446378461	-0.144827017007616	0.186376789303486	-0.106081306428228	0.184602691349906	-0.103947357231678	0.153995360774343	0.129407427155061	TRUE	FALSE	unstable_or_mixed
MEblue	ti_al_z	0.150365997546815	0.0367258460734129	0.155485131192296	0.199058701696631	0.150593615228158	0.0670937265134524	0.149518239083386	0.0533415909517877	0.0510081195464068	TRUE	FALSE	unstable_or_mixed
