taxon	functional_group	display_category	ecological_role	signal_source	confidence_score	n_samples	total_reads
S__GCA_018899205.1	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	8	1412
S__3300025823_9	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	3	1368
S__3300026031_1	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	5	1365
S__GCA_018702715.1	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.85	8	1349
S__GCA_001751155.1	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.85	6	1319
S__GCA_013202285.1	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	7	1311
S__3300022855_4	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.85	8	1259
S__GCA_016208965.1	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	7	1237
S__GCA_016649475.1	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	8	1201
S__3300000130_7	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	7	1178
S__3300020344_6	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	8	1111
S__3300027868_13	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.85	7	1008
S__GCA_003233115.1	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	4	983
S__3300027858_28	Sediment_heterotroph	Diagenetic	Sediment_resident	benthic_resident	0.85	3	972
S__GCA_016222905.1	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	6	911
S__3300028028_11	Sulfate_reduction_diagenetic	Diagenetic	Diagenetic_SRB	diagenetic_in_situ	0.99	4	905
S__GCA_018650845.1	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	0.85	7	887
