reference_type	taxon	n_taxa
single	S__GCA_003331785.1	1
panel	S__GCA_003331785.1,S__GCA_009392435.1,S__GCF_000315075.1,S__GCA_004357475.1,S__GCA_004356735.1,S__3300024516_14,S__TARA_ARC_108_MAG_00181,S__GCA_002726245.1,S__3300026119_12,S__3300024431_6,S__3300024060_27,S__3300027801_13,S__GCA_009937425.1,S__GCA_004195625.1,S__GCA_905182465.1,S__GCA_905612365.1,S__3300010316_3,S__GCA_018066995.1,S__3300020300_16,S__GCA_013390375.1	20
