variant	PC	covariate	covariate_class	pearson_r	spearman_rho	abs_pearson
current_taxon_centered_log	PC1	log_total_reads	technical	-0.893685515232153	-0.905901656406599	0.893685515232153
current_taxon_centered_log	PC1	total_reads	technical	-0.739724355242772	-0.905901656406599	0.739724355242772
current_taxon_centered_log	PC1	library_concentration	technical	-0.610163119379006	-0.680574449874435	0.610163119379006
current_taxon_centered_log	PC1	log_initial	technical	-0.530342440852533	-0.503924131618662	0.530342440852533
current_taxon_centered_log	PC1	log_derep	technical	-0.817800347914208	-0.822442763514362	0.817800347914208
current_taxon_centered_log	PC1	avg_leng_initial	technical	-0.186199278383195	-0.216868893618496	0.186199278383195
current_taxon_centered_log	PC1	avg_len_derep	technical	-0.104940008818063	-0.136413493228288	0.104940008818063
current_taxon_centered_log	PC1	detected_taxa	technical	-0.987367370050766	-0.979702977294534	0.987367370050766
current_taxon_centered_log	PC1	shannon_raw	technical	-0.776494712906256	-0.774143404220148	0.776494712906256
current_taxon_centered_log	PC1	age_kyr	biological_proxy	0.509921154462916	0.526109496339662	0.509921154462916
current_taxon_centered_log	PC1	mis	biological_proxy	-0.349507367053146	-0.353052425060246	0.349507367053146
current_taxon_centered_log	PC1	sst	biological_proxy	0.293887569304325	0.222186712223938	0.293887569304325
current_taxon_centered_log	PC1	core	core_or_batch	0.294633774918821		0.294633774918821
current_taxon_centered_log	PC2	log_total_reads	technical	0.195092395158463	0.0792791524194067	0.195092395158463
current_taxon_centered_log	PC2	total_reads	technical	0.138390591593018	0.0792791524194067	0.138390591593018
current_taxon_centered_log	PC2	library_concentration	technical	0.00236498955625475	-0.031762863408673	0.00236498955625475
current_taxon_centered_log	PC2	log_initial	technical	0.150327343787056	0.128685435805443	0.150327343787056
current_taxon_centered_log	PC2	log_derep	technical	0.245569174130207	0.122948777210098	0.245569174130207
current_taxon_centered_log	PC2	avg_leng_initial	technical	0.0141588397694083	0.050469168834634	0.0141588397694083
current_taxon_centered_log	PC2	avg_len_derep	technical	-0.0231354468044189	0.0487469184732145	0.0231354468044189
current_taxon_centered_log	PC2	detected_taxa	technical	0.0537893348703573	-0.0367797823247299	0.0537893348703573
current_taxon_centered_log	PC2	shannon_raw	technical	-0.0146246220891527	-0.179017421197474	0.0146246220891527
current_taxon_centered_log	PC2	age_kyr	biological_proxy	0.257370239834584	0.358147785915771	0.257370239834584
current_taxon_centered_log	PC2	mis	biological_proxy	-0.438047866887941	-0.469053300581903	0.438047866887941
current_taxon_centered_log	PC2	sst	biological_proxy	-0.0283962304765135	0.0837436116454483	0.0283962304765135
current_taxon_centered_log	PC2	core	core_or_batch	0.274449847612817		0.274449847612817
current_taxon_centered_log	PC3	log_total_reads	technical	-0.127819060132686	0.0686115388265258	0.127819060132686
current_taxon_centered_log	PC3	total_reads	technical	0.339951955081658	0.0686115388265258	0.339951955081658
current_taxon_centered_log	PC3	library_concentration	technical	0.109860475750554	-0.0259355902027411	0.109860475750554
current_taxon_centered_log	PC3	log_initial	technical	-0.1191516262488	0.0826966581055557	0.1191516262488
current_taxon_centered_log	PC3	log_derep	technical	-0.0752764459063933	0.109521200228977	0.0752764459063933
current_taxon_centered_log	PC3	avg_leng_initial	technical	0.201181755520678	0.205256307180141	0.201181755520678
current_taxon_centered_log	PC3	avg_len_derep	technical	0.174519355878258	0.212055432170126	0.174519355878258
current_taxon_centered_log	PC3	detected_taxa	technical	-0.00309666566116151	-0.0349106097136602	0.00309666566116151
current_taxon_centered_log	PC3	shannon_raw	technical	-0.329409285427161	-0.148780271282116	0.329409285427161
current_taxon_centered_log	PC3	age_kyr	biological_proxy	-0.06653203279841	-0.0855050303314154	0.06653203279841
current_taxon_centered_log	PC3	mis	biological_proxy	-0.31814367959653	-0.264114624573338	0.31814367959653
current_taxon_centered_log	PC3	sst	biological_proxy	-0.0890596189765028	-0.327434692978149	0.0890596189765028
current_taxon_centered_log	PC3	core	core_or_batch	0.199317346305673		0.199317346305673
current_taxon_centered_log	PC4	log_total_reads	technical	-0.0791213857821924	-0.0332744565633313	0.0791213857821924
current_taxon_centered_log	PC4	total_reads	technical	-0.0934268454394499	-0.0332744565633313	0.0934268454394499
current_taxon_centered_log	PC4	library_concentration	technical	0.0930815584811552	0.224277162207377	0.0930815584811552
current_taxon_centered_log	PC4	log_initial	technical	-0.0532985656057507	0.0375221553183478	0.0532985656057507
current_taxon_centered_log	PC4	log_derep	technical	0.0220928345577309	0.0923846928561152	0.0220928345577309
current_taxon_centered_log	PC4	avg_leng_initial	technical	0.614418407435594	0.574439452729607	0.614418407435594
current_taxon_centered_log	PC4	avg_len_derep	technical	0.539580169556708	0.550917506216937	0.539580169556708
current_taxon_centered_log	PC4	detected_taxa	technical	-0.107695508021672	0.0222219092995039	0.107695508021672
current_taxon_centered_log	PC4	shannon_raw	technical	0.111223893791231	0.272170471208035	0.111223893791231
current_taxon_centered_log	PC4	age_kyr	biological_proxy	-0.227037290703933	-0.312422532331672	0.227037290703933
current_taxon_centered_log	PC4	mis	biological_proxy	0.0678171324172629	0.150608648284009	0.0678171324172629
current_taxon_centered_log	PC4	sst	biological_proxy	0.0400291365834595	0.113894666921021	0.0400291365834595
current_taxon_centered_log	PC4	core	core_or_batch	0.431253273362437		0.431253273362437
current_taxon_centered_log	PC5	log_total_reads	technical	-0.212805847620045	0.00137936945734393	0.212805847620045
current_taxon_centered_log	PC5	total_reads	technical	-0.106837817540364	0.00137936945734393	0.106837817540364
current_taxon_centered_log	PC5	library_concentration	technical	-0.0485449571376841	-0.0735755996556916	0.0485449571376841
current_taxon_centered_log	PC5	log_initial	technical	-0.286761530341142	-0.153419801574061	0.286761530341142
current_taxon_centered_log	PC5	log_derep	technical	-0.360227415774188	-0.182095747709469	0.360227415774188
current_taxon_centered_log	PC5	avg_leng_initial	technical	-0.273329509491744	-0.347203905788275	0.273329509491744
current_taxon_centered_log	PC5	avg_len_derep	technical	-0.213768692586543	-0.311048062826881	0.213768692586543
current_taxon_centered_log	PC5	detected_taxa	technical	0.0492259939874378	0.142140383254629	0.0492259939874378
current_taxon_centered_log	PC5	shannon_raw	technical	-0.0802951550024569	0.0183211855352939	0.0802951550024569
current_taxon_centered_log	PC5	age_kyr	biological_proxy	0.426502729938272	0.402374884642533	0.426502729938272
current_taxon_centered_log	PC5	mis	biological_proxy	0.157288808390012	0.00879735142805483	0.157288808390012
current_taxon_centered_log	PC5	sst	biological_proxy	0.259167288602215	0.147452233690762	0.259167288602215
current_taxon_centered_log	PC5	core	core_or_batch	0.159888107074093		0.159888107074093
deseq_length_log	PC1	log_total_reads	technical	-0.876510878328898	-0.79185418968932	0.876510878328898
deseq_length_log	PC1	total_reads	technical	-0.579053569608772	-0.79185418968932	0.579053569608772
deseq_length_log	PC1	library_concentration	technical	-0.56557083841289	-0.655431706782609	0.56557083841289
deseq_length_log	PC1	log_initial	technical	-0.539791743408393	-0.42882227072498	0.539791743408393
