covariate_a	covariate_b	pearson_r	spearman_rho
log_total_reads	log_total_reads	1	1
log_total_reads	total_reads	0.764599780614564	1
log_total_reads	library_concentration	0.533296005492233	0.645559994955287
log_total_reads	log_initial	0.720206764479159	0.610160681541979
log_total_reads	log_derep	0.949470352564111	0.928207891119812
log_total_reads	avg_leng_initial	0.136194710227171	0.123688402881289
log_total_reads	avg_len_derep	0.0599853837765414	0.0386882249001171
log_total_reads	detected_taxa	0.890619199186033	0.915527234659442
log_total_reads	shannon_raw	0.716805780965976	0.540145283787052
log_total_reads	age_kyr	-0.479753344577045	-0.517467095863085
log_total_reads	mis	0.149541761123991	0.130769454486619
log_total_reads	sst	-0.269880536753122	-0.275407638026423
total_reads	log_total_reads	0.764599780614564	1
total_reads	total_reads	1	1
total_reads	library_concentration	0.504394414657701	0.645559994955287
total_reads	log_initial	0.475898977220577	0.610160681541979
total_reads	log_derep	0.716687782425801	0.928207891119812
total_reads	avg_leng_initial	0.100468087111461	0.123688402881289
total_reads	avg_len_derep	0.0246876461917603	0.0386882249001171
total_reads	detected_taxa	0.720415117610532	0.915527234659442
total_reads	shannon_raw	0.298221709772583	0.540145283787052
total_reads	age_kyr	-0.444757312411524	-0.517467095863085
total_reads	mis	-0.0568429974413363	0.130769454486619
total_reads	sst	-0.247055675238794	-0.275407638026423
library_concentration	log_total_reads	0.533296005492233	0.645559994955287
library_concentration	total_reads	0.504394414657701	0.645559994955287
library_concentration	library_concentration	1	1
library_concentration	log_initial	0.210352731011397	0.213584132425437
library_concentration	log_derep	0.540248614697445	0.675877632807987
library_concentration	avg_leng_initial	0.347603292608155	0.38830164267221
library_concentration	avg_len_derep	0.340619219111644	0.312435870631508
library_concentration	detected_taxa	0.577881305384984	0.653397757496104
library_concentration	shannon_raw	0.400615889394472	0.497224116756167
library_concentration	age_kyr	-0.308353547361886	-0.455582035796959
library_concentration	mis	0.143955021465602	0.191806074802222
library_concentration	sst	-0.210884489479379	-0.181895051418833
log_initial	log_total_reads	0.720206764479159	0.610160681541979
log_initial	total_reads	0.475898977220577	0.610160681541979
log_initial	library_concentration	0.210352731011397	0.213584132425437
log_initial	log_initial	1	1
log_initial	log_derep	0.786169734223557	0.694422710038881
log_initial	avg_leng_initial	-0.0662331172014652	-0.0487532896892084
log_initial	avg_len_derep	-0.0531479704574248	-0.054562573580122
log_initial	detected_taxa	0.531501945009986	0.491975659749169
log_initial	shannon_raw	0.496609552418982	0.265407703775358
