covariate_a	covariate_b	pearson_r	spearman_rho
log_initial	age_kyr	-0.274628656564646	-0.369689935244529
log_initial	mis	0.0287392387390653	0.0436782962449833
log_initial	sst	-0.153852010953434	-0.189145695579534
log_derep	log_total_reads	0.949470352564111	0.928207891119812
log_derep	total_reads	0.716687782425801	0.928207891119812
log_derep	library_concentration	0.540248614697445	0.675877632807987
log_derep	log_initial	0.786169734223557	0.694422710038881
log_derep	log_derep	1	1
log_derep	avg_leng_initial	0.198744980862416	0.247483727546195
log_derep	avg_len_derep	0.120247758229796	0.166521112990391
log_derep	detected_taxa	0.802013736670686	0.814024978241486
log_derep	shannon_raw	0.661637303764776	0.478346103572095
log_derep	age_kyr	-0.544033947458817	-0.595140814369009
log_derep	mis	0.0681753979963282	0.067824945103498
log_derep	sst	-0.336688803326391	-0.344971088504237
avg_leng_initial	log_total_reads	0.136194710227171	0.123688402881289
avg_leng_initial	total_reads	0.100468087111461	0.123688402881289
avg_leng_initial	library_concentration	0.347603292608155	0.38830164267221
avg_leng_initial	log_initial	-0.0662331172014652	-0.0487532896892084
avg_leng_initial	log_derep	0.198744980862416	0.247483727546195
avg_leng_initial	avg_leng_initial	1	1
avg_leng_initial	avg_len_derep	0.92365033583429	0.979684563728043
avg_leng_initial	detected_taxa	0.101847732997634	0.119489537165058
avg_leng_initial	shannon_raw	0.205093340303988	0.249349482174471
avg_leng_initial	age_kyr	-0.297812201514167	-0.262976991314399
avg_leng_initial	mis	0.0529987307500857	0.0693604677708165
avg_leng_initial	sst	-0.167755134875757	-0.138759643842504
avg_len_derep	log_total_reads	0.0599853837765414	0.0386882249001171
avg_len_derep	total_reads	0.0246876461917603	0.0386882249001171
avg_len_derep	library_concentration	0.340619219111644	0.312435870631508
avg_len_derep	log_initial	-0.0531479704574248	-0.054562573580122
avg_len_derep	log_derep	0.120247758229796	0.166521112990391
avg_len_derep	avg_leng_initial	0.92365033583429	0.979684563728043
avg_len_derep	avg_len_derep	1	1
avg_len_derep	detected_taxa	0.0272878326318587	0.0411197810146838
avg_len_derep	shannon_raw	0.131122607769015	0.185429802727868
avg_len_derep	age_kyr	-0.114801245150253	-0.17065445638869
avg_len_derep	mis	0.0901331602518255	0.0558037331528189
avg_len_derep	sst	-0.0587665354963464	-0.10680635101673
detected_taxa	log_total_reads	0.890619199186033	0.915527234659442
detected_taxa	total_reads	0.720415117610532	0.915527234659442
detected_taxa	library_concentration	0.577881305384984	0.653397757496104
detected_taxa	log_initial	0.531501945009986	0.491975659749169
detected_taxa	log_derep	0.802013736670686	0.814024978241486
detected_taxa	avg_leng_initial	0.101847732997634	0.119489537165058
detected_taxa	avg_len_derep	0.0272878326318587	0.0411197810146838
detected_taxa	detected_taxa	1	1
detected_taxa	shannon_raw	0.773462390488617	0.764925676991127
detected_taxa	age_kyr	-0.449007348287594	-0.460861105575409
detected_taxa	mis	0.332277443243874	0.326592974257669
detected_taxa	sst	-0.284089483123232	-0.233764997347455
shannon_raw	log_total_reads	0.716805780965976	0.540145283787052
shannon_raw	total_reads	0.298221709772583	0.540145283787052
shannon_raw	library_concentration	0.400615889394472	0.497224116756167
shannon_raw	log_initial	0.496609552418982	0.265407703775358
shannon_raw	log_derep	0.661637303764776	0.478346103572095
shannon_raw	avg_leng_initial	0.205093340303988	0.249349482174471
shannon_raw	avg_len_derep	0.131122607769015	0.185429802727868
shannon_raw	detected_taxa	0.773462390488617	0.764925676991127
shannon_raw	shannon_raw	1	1
shannon_raw	age_kyr	-0.40996673155904	-0.438129173777671
shannon_raw	mis	0.492748293450951	0.543385991575023
shannon_raw	sst	-0.260430346191888	-0.148887939918983
age_kyr	log_total_reads	-0.479753344577045	-0.517467095863085
age_kyr	total_reads	-0.444757312411524	-0.517467095863085
age_kyr	library_concentration	-0.308353547361886	-0.455582035796959
age_kyr	log_initial	-0.274628656564646	-0.369689935244529
age_kyr	log_derep	-0.544033947458817	-0.595140814369009
age_kyr	avg_leng_initial	-0.297812201514167	-0.262976991314399
age_kyr	avg_len_derep	-0.114801245150253	-0.17065445638869
age_kyr	detected_taxa	-0.449007348287594	-0.460861105575409
age_kyr	shannon_raw	-0.40996673155904	-0.438129173777671
age_kyr	age_kyr	1	1
age_kyr	mis	-0.145076982818096	-0.24077901905441
age_kyr	sst	0.538148211138082	0.460601873114477
mis	log_total_reads	0.149541761123991	0.130769454486619
mis	total_reads	-0.0568429974413363	0.130769454486619
mis	library_concentration	0.143955021465602	0.191806074802222
mis	log_initial	0.0287392387390653	0.0436782962449833
mis	log_derep	0.0681753979963282	0.067824945103498
mis	avg_leng_initial	0.0529987307500857	0.0693604677708165
mis	avg_len_derep	0.0901331602518255	0.0558037331528189
mis	detected_taxa	0.332277443243874	0.326592974257669
mis	shannon_raw	0.492748293450951	0.543385991575023
mis	age_kyr	-0.145076982818096	-0.24077901905441
mis	mis	1	1
mis	sst	-0.0785080507990744	0.132234817708123
sst	log_total_reads	-0.269880536753122	-0.275407638026423
sst	total_reads	-0.247055675238794	-0.275407638026423
sst	library_concentration	-0.210884489479379	-0.181895051418833
sst	log_initial	-0.153852010953434	-0.189145695579534
sst	log_derep	-0.336688803326391	-0.344971088504237
sst	avg_leng_initial	-0.167755134875757	-0.138759643842504
sst	avg_len_derep	-0.0587665354963464	-0.10680635101673
sst	detected_taxa	-0.284089483123232	-0.233764997347455
sst	shannon_raw	-0.260430346191888	-0.148887939918983
sst	age_kyr	0.538148211138082	0.460601873114477
sst	mis	-0.0785080507990744	0.132234817708123
sst	sst	1	1
