taxon	prevalence	mean_count	median_count	var_log	cor_depth	cor_age	core_eta2	neutral_score	selected
S__3300028193_38	0.0700934579439252	14.6869158878505	0	2.33202298364567	-0.000596603118840276	0.0174274054344265	0.0164920625155363	0.0345160710688031	not_selected
S__Moniruzzaman_MM15_ERX556043_42_dc	0.0467289719626168	19.7383177570093	0	1.84261101865872	0.0312770458860992	-0.000341589598050533	0.00639580578414811	0.0380144412682979	not_selected
S__GCA_015658265.1	0.0467289719626168	29.9626168224299	0	2.00546575507771	0.0197954453523375	-0.0144373211822596	0.026292849126527	0.0605256156611241	not_selected
S__GCA_014383215.1	0.0700934579439252	72.7523364485981	0	3.3853675319374	-0.0391242446186342	-0.0222734590780079	0.0136457288594023	0.0750434325560444	not_selected
S__IMGVR_UViG_3300049783_000307	0.0514018691588785	20.2897196261682	0	2.12246962606104	0.0543137501376719	0.0200714871606429	0.0123582004824385	0.0867434377807534	not_selected
S__3300005838_29	0.0514018691588785	8.75700934579439	0	1.6499692482577	-0.0145305674213907	-0.0564255819829285	0.0186530883884947	0.0896092377928139	not_selected
S__GCA_019057775.1	0.0700934579439252	39.4532710280374	0	2.87384621986351	0.0830111441894508	0.00385243607437226	0.00906955674047109	0.0959331370042941	not_selected
S__3300027779_34	0.0700934579439252	17.303738317757	0	2.39910924932993	0.0478437618068628	-0.0506924708004243	0.000453427374663034	0.0989896599819502	not_selected
S__3300026264_14	0.107476635514019	67.4439252336449	0	4.44594837970803	0.0770599225939684	-0.0203297929360288	0.00633424534735592	0.103723960877353	not_selected
S__3300002239_5	0.102803738317757	187.733644859813	0	5.38751569873108	0.020939574458429	0.0653587878177855	0.0232334737419784	0.109531836018193	not_selected
S__GCF_000012345.1	0.149532710280374	56.6308411214953	0	5.3841424825688	0.0952342743986214	0.0043225263792166	0.0100122650388935	0.109569065816732	not_selected
S__3300025663_12	0.0981308411214953	27.0747663551402	0	3.41832184059411	0.0850000755569842	-0.013654046028915	0.0201271289337756	0.118781250519675	not_selected
S__GCF_013390125.1	0.0514018691588785	81.8551401869159	0	2.75948721657421	-0.0661054193907921	-0.0195091159127601	0.0331681248380296	0.118782660141582	not_selected
S__GCF_010723735.1	0.0467289719626168	34.6448598130841	0	2.21820450349829	-0.0309018408630158	-0.0687135199303068	0.0276437186859123	0.127259079479235	not_selected
S__3300001835_22	0.0607476635514019	29.5233644859813	0	2.54910937101985	0.025078437955049	0.0879404422642305	0.014410062179627	0.127428942398907	not_selected
S__3300020396_30	0.0560747663551402	14.518691588785	0	1.95102095192681	0.0616085959928818	0.0597316144761109	0.00892555222137561	0.130265762690368	not_selected
S__3300025721_23	0.130841121495327	101.028037383178	0	5.40141141662291	0.00634775514174761	0.123138787639716	0.00297833233890013	0.132464875120364	not_selected
S__GCA_905181835.1	0.0467289719626168	11.3738317757009	0	1.66109387927483	0.119359740828125	0.00861487747049632	0.00904172846112512	0.137016346759746	not_selected
S__GCF_005222675.1	0.0560747663551402	49.1214953271028	0	2.70099245400902	0.0372999052697404	-0.0924390753441641	0.00842036733560579	0.13815934794951	not_selected
S__GCA_002684315.1	0.0514018691588785	10.1401869158879	0	1.69387165769219	0.105085422540168	-0.0231481141035197	0.0109217817668688	0.139155318410557	not_selected
S__GCA_013812485.1	0.0467289719626168	8.45794392523365	0	1.52564747660893	0.0924705655731849	-0.00142280520325734	0.0458399460463792	0.139733316822821	not_selected
S__GCA_014238855.1	0.088785046728972	37.6635514018692	0	3.39677981824949	0.11973370488964	0.00509635418188976	0.0161060559474427	0.140936115018972	not_selected
S__3300027788_48	0.186915887850467	115.5	0	7.22017797403554	0.051624934144816	0.0870335398555293	0.00290392745736244	0.141562401457708	not_selected
S__GCA_015767365.1	0.088785046728972	31.0093457943925	0	3.35072059995984	0.072740049504383	-0.0545858950970479	0.0256753196425134	0.153001264243944	not_selected
