state	sample	core	age_kyr	d18O	sst	PC1	PC2	PC3	core_ord	harmonization_mode	label
1	LV3003047044	ST8	12.078	3.93092	6.75394096788059	0.201730640037473	0.173191274117298	-0.931411764283459	1	corewise_z	G-A
1	LV3003047099	ST8	25.058	4.8113	7.73314724352832	0.882725796461731	-0.0786568202836254	-1.06954986640259	1	corewise_z	G-A
1	LV3003047071	ST8	26.141	4.68128	7.78787645806057	0.430688308479671	0.0835274150668407	-1.21159588036124	1	corewise_z	G-A
1	LV3003047169	ST8	26.6703333333333	4.72362666666667	7.81462622496645	0.734526989121991	-0.170921435735689	-1.17305130314421	1	corewise_z	G-A
1	LV3003047156	ST8	27.1996666666667	4.75	7.84137599187233	0.835311450372887	0.094430505744547	-0.978043905598224	1	corewise_z	G-A
1	LV3003047144	ST8	27.729	4.75	7.87282431997209	1.15027580140178	0.199491880829493	-1.05283876599128	1	corewise_z	G-A
1	LV3003047131	ST8	28.2453333333333	4.74509333333333	7.95468779538517	0.553966475539452	0.572130198570815	-0.630651653335996	1	corewise_z	G-A
1	LV3003047117	ST8	28.7616666666667	4.73476666666667	8.03655127079825	0.335608962793527	0.318716912345876	-0.893825297432574	1	corewise_z	G-A
1	LV3003047098	ST8	29.278	4.69942	8.11841474621133	-0.373980839250568	-0.0356293677993473	-0.819236032100941	1	corewise_z	G-A
1	LV3003047085	ST8	29.703	4.65267	8.18579752939511	0.443665776266259	-0.137229403687651	-1.05950807963546	1	corewise_z	G-A
1	LV3003047070	ST8	30.128	4.62	8.25318031257889	0.0940544341946566	-0.0066655160076659	-1.07158202236022	1	corewise_z	G-A
1	LV3003047168	ST8	30.497	4.62	8.31168442315493	0.54880652859024	-0.159389767349224	-0.929454577316661	1	corewise_z	G-A
1	LV3003047155	ST8	30.9475	4.62	8.38311017332974	-0.650274114908094	-0.0825618304609922	-0.639812033525409	1	corewise_z	G-A
1	LV3003047143	ST8	31.398	4.61204	8.45453592350455	0.501108126905373	0.557044092026574	-0.650891433856842	1	corewise_z	G-A
1	LV3003047130	ST8	31.936	4.60128	8.53983459962896	0.181084569472023	0.272040856825001	-0.833270578980617	1	corewise_z	G-A
1	LV3003047114	ST8	32.3855	4.59229	8.61110180207863	0.0388585083624855	0.384076136137308	-0.605359680286948	1	corewise_z	G-A
1	LV3003047097	ST8	32.835	4.5833	8.6823690045283	0.422980052555448	0.439996279417368	-0.724523363600075	1	corewise_z	G-A
1	LV3003047069	ST8	33.7436870748299	4.5874368707483	8.82643927310517	0.276224725605887	0.177964206545566	-0.920724360069901	1	corewise_z	G-A
1	LV3003047167	ST8	34.67812	4.556094	8.97459148768522	-0.416259962078292	-0.0498286118288485	-0.814380117646625	1	corewise_z	G-A
1	LV3003047154	ST8	35.13012	4.5282892	9.04625505944773	0.127035906324534	0.345002021837186	-0.689310035211435	1	corewise_z	G-A
1	LV3003047142	ST8	35.5823	4.487593	9.11794716980078	-0.182778697031737	-0.0633702662737588	-0.935378711035691	1	corewise_z	G-A
1	LV3003047129	ST8	36.0373	4.450373	9.19008638473871	0.278331740833667	-0.0735213165436671	-1.10774697692625	1	corewise_z	G-A
1	LV3003047113	ST8	36.48927	4.4548927	9.26174520006947	0.815739376752266	-0.0402964751332465	-1.08605989064398	1	corewise_z	G-A
1	LV3003047096	ST8	36.89377	4.4589377	9.23725876185055	0.418149148559962	0.032892623922926	-1.1663832136616	1	corewise_z	G-A
1	LV3003047083	ST8	37.30319	4.4448405	9.1756505076159	0.26646297464661	0.254270035003331	-0.927338926216341	1	corewise_z	G-A
1	LV3003047068	ST8	37.78969	4.4205155	9.10244349358346	0.201992579241597	0.0924224411548065	-1.05147399664425	1	corewise_z	G-A
1	LV3003047166	ST8	38.27343	4.4482802	9.0296517958074	0.52650178129869	0.48895197722139	-0.817399784018637	1	corewise_z	G-A
1	LV3003047153	ST8	38.71393	4.5099502	8.96336671938132	0.571037073792706	0.555594936668377	-0.768499400642313	1	corewise_z	G-A
1	LV3003047128	ST8	39.57797	4.55	8.83334865482924	0.283983309944121	-0.0112117177571923	-1.15688051952209	1	corewise_z	G-A
1	LV3003047112	ST8	40.0335	4.54866	8.76480191052874	0.496372105924118	0.390129074628752	-0.966919283376416	1	corewise_z	G-A
1	LV3003047095	ST8	40.9751666666667	4.51099333333333	8.62310282547109	0.154470223911945	0.366218273323208	-0.590060713527178	1	corewise_z	G-A
1	LV3003047082	ST8	41.9168333333333	4.50083166666667	8.48140374041344	-0.153702234265743	0.193785521684498	-0.638262278801493	1	corewise_z	G-A
1	LV3003047067	ST8	42.86602	4.4653592	8.33857306903406	0.744636741594084	0.559545393124109	-0.541237492106406	1	corewise_z	G-A
1	LV3003047164	ST8	43.93302	4.4786604	8.37946113303367	-0.269939241410292	0.102048810411298	-0.776035062735652	1	corewise_z	G-A
1	LV3003047152	ST8	45.00002	4.3300006	8.47849004532337	0.43207603770714	0.579464592421938	-0.596665735000894	1	corewise_z	G-A
