sample	n_taxa_input	n_taxa_with_comp	n_taxa_with_ko	n_taxa_with_oap	frac_taxa_with_comp	frac_taxa_with_ko	frac_taxa_with_oap	weight_supported_comp	weight_supported_ko	weight_supported_oap	tea_mode	state	state_label	core	age_kyr
LV3003047152	479	462	442	382	0.964509394572025	0.922755741127349	0.797494780793319	0.985464503897198	0.950316524620367	0.819100734451375	ko	1	G-A	ST8	45.00002
LV3003047153	542	522	496	432	0.96309963099631	0.915129151291513	0.797047970479705	0.987331675503214	0.948166056298725	0.847471397491524	ko	1	G-A	ST8	38.71393
LV3003047154	420	415	397	344	0.988095238095238	0.945238095238095	0.819047619047619	0.995295104743689	0.960191082802548	0.82563919813789	ko	1	G-A	ST8	35.13012
LV3003047155	416	411	396	356	0.987980769230769	0.951923076923077	0.855769230769231	0.997480677926667	0.967496019253001	0.917920268727688	ko	1	G-A	ST8	30.9475
LV3003047156	666	641	611	535	0.962462462462462	0.917417417417417	0.803303303303303	0.986899127391452	0.949624375100317	0.843811291061341	ko	1	G-A	ST8	27.1996666666667
LV3003047158	372	366	347	298	0.983870967741936	0.932795698924731	0.801075268817204	0.991846889758194	0.950807710237753	0.794525406895434	ko	1	G-A	ST8	57.70646
LV3003047159	362	349	333	283	0.964088397790055	0.919889502762431	0.781767955801105	0.984631693652505	0.956263991377166	0.840418349580111	ko	1	G-A	ST8	56.7987933333333
LV3003047160	24	24	24	21	1	1	0.875	1	1	0.939871935030455	ko	2	IG-D	ST8	55.8911266666667
LV3003047161	30	30	27	25	1	0.9	0.833333333333333	1	0.930650235972732	0.886601992658626	ko	2	IG-D	ST8	54.98346
LV3003047162	53	53	44	45	1	0.830188679245283	0.849056603773585	1	0.6953483648182	0.940767824497258	ko	2	IG-D	ST8	102.698
LV3003047164	381	375	360	310	0.984251968503937	0.944881889763779	0.813648293963255	0.99313708159594	0.960392642119602	0.82693487506369	ko	1	G-A	ST8	43.93302
LV3003047166	538	517	492	425	0.960966542750929	0.91449814126394	0.789962825278811	0.985595552619991	0.949658740642889	0.838617349185381	ko	1	G-A	ST8	38.27343
LV3003047167	385	378	362	315	0.981818181818182	0.94025974025974	0.818181818181818	0.994744081207868	0.947681381496028	0.83298729688881	ko	1	G-A	ST8	34.67812
LV3003047168	625	611	587	512	0.9776	0.9392	0.8192	0.995328181221616	0.955625748785387	0.848980648475739	ko	1	G-A	ST8	30.497
LV3003047169	673	650	624	548	0.965824665676077	0.927191679049034	0.814264487369985	0.988966339947832	0.95064854133839	0.867252445940051	ko	1	G-A	ST8	26.6703333333333
LV3003061473	164	164	156	133	1	0.951219512195122	0.810975609756098	1	0.969226645670874	0.914146194373016	ko	2	IG-D	ST13	117.088
LV3003061474	658	622	588	505	0.945288753799392	0.893617021276596	0.767477203647417	0.987579110551915	0.937800833216249	0.867801512039643	ko	4	IG-B	ST13	77.7798
LV3003061475	471	454	433	373	0.963906581740977	0.91932059447983	0.791932059447983	0.986153398109661	0.950873539076128	0.832366983488214	ko	1	G-A	ST13	53.844
LV3003061476	677	637	606	517	0.940915805022157	0.895125553914328	0.763663220088626	0.980015529237937	0.925301350139085	0.844886659178458	ko	1	G-A	ST13	37.16
LV3003061477	978	889	833	730	0.908997955010225	0.851738241308794	0.746421267893661	0.980107653116167	0.931057782783622	0.785871278791206	ko	3	IG-A	ST13	16.726
LV3003061485	930	845	800	686	0.908602150537634	0.860215053763441	0.737634408602151	0.97415493724435	0.933812775090595	0.841663530180257	ko	4	IG-B	ST13	75.7796
LV3003061486	312	304	290	254	0.974358974358974	0.92948717948718	0.814102564102564	0.993149627571302	0.950532592335302	0.877455520821273	ko	2	IG-D	ST13	52.105
