module	n_sample_rows	n_samples	mean_module_abundance	median_module_abundance	frac_ko_mode	mean_weight_supported_comp	mean_weight_supported_ko	mean_weight_supported_oap	mean_OAP	median_OAP	mean_MGI	median_MGI	mean_MFI	median_MFI	mean_DCI	median_DCI	mean_MII	median_MII	mean_SRPI	median_SRPI
blue	157	157	0.00472527780075177	0.00216616016402496	1	0.915086513140605	0.894061873258413	0.710259229359815	616.43061117416	660.722222222222	-13.8155105579643	-13.8155105579643	0	0	-1.71670360378125	0	-8.48641145247483	-4.30452307351902	-3.74682652035105	-1.75312711848999
brown	138	138	0.0120664901980834	0.00166911782915934	0.91304347826087	0.985714107005005	0.692990775222044	0.950951334921787	193.891883072952	189.898346835827	-10.1468925098059	-13.8155105579643	-2.07738680940707	0	-6.25066063871968	-2.10679410723177	-2.88434187387635	-1.18417506644798	-1.93275288931797	-0.714564248023138
green	179	179	0.0221467278227239	0.00969887105926693	1	0.992595066182346	0.929630774665909	0.622369292774267	688.6578112662	698.478096732761	-13.8155105579643	-13.8155105579643	0	0	-3.84606917653929	0	-14.7426405920536	-14.7912119746194	-2.87036149872855	-1.56874767046278
grey	214	214	0.331445075148059	0.284602555616986	1	0.967216612867019	0.905325323026017	0.903155037848978	382.122349673183	404.121779079425	-13.3103485069259	-13.8155105579643	0.484673619559939	0	-2.14464918145446	-1.77631114738951	-2.0052001104289	-2.02354467907252	-0.478887075176297	-0.440493372373456
turquoise	214	214	0.582791512525637	0.620605166195879	1	0.999585694250223	0.944607350831272	0.844793985830358	393.443178412689	390.874362013012	-13.8155105579643	-13.8155105579643	0	0	-2.35176263278726	-1.74565742547725	-3.36183311174858	-2.99572911503937	-0.833166003020047	-0.830889158254472
yellow	210	210	0.0570574366452759	0.053011334190938	1	0.983288293130364	0.954962243046672	0.805527688214324	577.037854914918	588.734067348397	-13.8155105579643	-13.8155105579643	0	0	-1.50537329297807	-0.606483668913456	-4.40283238139908	-3.16969337072225	-1.1232721031223	-1.06727613684494
