setting_id	original_rank	original_final_score	original_grey_pct	original_non_grey_modules	original_bootstrap	original_balance	original_pres_strong	original_concordance	filtered_rank	filtered_final_score	filtered_grey_pct	filtered_non_grey_modules	filtered_bootstrap	filtered_balance	filtered_pres_strong	filtered_concordance	rank_change	delta_grey_pct	delta_non_grey_modules	delta_bootstrap	delta_balance	delta_pres_strong	delta_concordance
exp4	2	0.867591571529931	28.6588759042849	9	0.377504628157064	0.459198457199746	7	0.859068064820485	1	0.958181146564603	37.2843628269338	11	0.362598942713879	0.51888033567469	6	0.793611584094736	-1	8.62548692264888	2	-0.0149056854431853	0.0596818784749444	-1	-0.0654564807257489
exp3	1	0.926270697478791	28.6588759042849	8	0.400339052880668	0.517143211701409	6	0.856836697652229	2	0.890526030501758	37.2843628269338	10	0.376505790133669	0.513583369473525	6	0.789720943458732	1	8.62548692264888	2	-0.023833262746999	-0.0035598422278843	0	-0.0671157541934975
opt5	3	0.546184581366946	34.0567612687813	5	0.394588367270918	0.456079779998124	5	0.71359036153329	3	0	37.4513077351141	9	0.276740878300727	0.375139426209934	5	0.767622645432348	0	3.39454646633278	4	-0.117847488970191	-0.0809403537881901	0	0.0540322838990579
