setting_id	power	deepSplit	mergeCutHeight	minModuleSize	non_grey_modules	grey_pct	bio_pres_strong	bio_pres_moderate	mean_concordance_pearson	mean_concordance_spearman	mean_concordance_rmse	mean_bootstrap_jaccard	mean_balanced_jaccard	s_grey	s_boot	s_pres	s_conc	s_balance	final_score	sensitivity_rank
exp4	12	3	0.2	20	11	37.2843628269338	6	5	0.793611584094736	0.62170328558082	0.0952218342204486	0.362598942713879	0.51888033567469	1	0.860603821882011	1	1	1	0.958181146564603	1
exp3	12	3	0.25	20	10	37.2843628269338	6	4	0.789720943458732	0.602216845575446	0.0925568449788873	0.376505790133669	0.513583369473525	1	1	0.666666666666667	0.850296286179814	0.963149209081187	0.890526030501758	2
opt5	12	1	0.2	20	9	37.4513077351141	5	4	0.767622645432348	0.606010426229618	0.103475233909853	0.276740878300727	0.375139426209934	0	0	0	0	0	0	3
