setting_id	mean_module_overlap	median_module_overlap	min_module_overlap
exp3	0.625521901428174	0.679063829787234	0.252747252747253
exp4	0.608568823989682	0.656	0.281345565749235
opt5	0.60989138646392	0.734939759036145	0.279279279279279
