sample	MEblack	MEgreen	MEbrown	MEturquoise	MEred	MEblue	MEyellow	MEgrey
LV3003046953	-0.0250307589473769	-0.0268382330984256	0.098096871706296	0.0144781220391279	0.00971269974518169	0.0220145193762048	0.0104690414183357	-0.0205567545859696
LV3003046939	-0.0280571635757174	-0.0321828142639828	0.150841940184268	0.0032099991438701	0.00185033536225295	0.0200031270186737	0.0148102453605053	-0.0232002028827887
LV3003047045	-0.0280571635757174	-0.0325855039355463	0.152364769192153	-0.00338517208914424	-0.0107211138707027	0.0152929268351078	0.00384997600938075	-0.0281010072078023
LV3003047028	-0.0280571635757178	-0.0360933707551426	-0.0448427044935384	-0.058119347662148	-0.125172035795637	-0.155930634835982	-0.182309136419294	-0.0154979026791306
LV3003047013	-0.0280571635757174	-0.0326120872829475	0.179681121723903	-0.0174170794052003	-0.0414405096168962	0.00221148664050836	-0.0015210768648069	-0.0266346371407706
LV3003046995	-0.0280571635757175	-0.0337745430984603	0.142725440129549	-0.00906235521467767	-0.0198839427290433	0.00682895505113804	0.00309421666449703	-0.0228993328226709
LV3003046980	-0.0280571635757175	-0.0323377835977645	0.206851078160897	-0.00850012486041576	-0.0360133260658305	-0.00182917708464853	-0.0126556197958982	-0.027847317714665
LV3003046952	-0.0240163298758887	-0.0347982107316089	0.22549124194346	0.000137497895272674	-0.0364543399069177	-0.0187872393641482	-0.0196878039236487	-0.0364644283893931
LV3003046938	-0.0280571635757175	-0.0360933707551426	0.24649669290896	0.0128371036989861	-0.00400231851476352	0.00442060104119323	-0.0141794155994851	-0.0463843580209282
LV3003047044	-0.0253278059518334	-0.0254429464557733	-0.0367956995433731	-0.000632329455209417	0.0530022820900259	0.0161429875677823	0.0110392892394627	-0.057423638745054
LV3003047027	-0.0219381285926008	-0.0279888986992395	0.21455759867252	0.0312543704514303	0.0254518024224747	0.0214641850744354	0.00549643231065032	-0.0407756001750398
LV3003047010	-0.0280571635757175	-0.0321896335459995	0.217134641019892	0.00876075793109268	-0.019891972730597	0.00227898286036149	-0.0160654060476119	-0.0330606219392181
LV3003046994	0.258632860563608	0.271515406344029	-0.0435702422289283	-0.0369541683347225	-0.0213118984103616	-0.0352744980193322	-0.00390602754623537	0.0171872011575714
LV3003046979	0.0238027579884232	0.133754217708259	0.0534448369732066	0.00848111077337641	0.0540121117214258	0.0305841887716952	0.0254513608195116	-0.0158558603104289
LV3003046966	0.00565763900665834	0.0532294529597242	-0.0394544006221478	0.0812831412362633	0.0639306692944596	0.0294208556026135	0.0150422021359606	-0.0474283603858109
LV3003046950	0.00109992647589776	0.0369146913221517	-0.0260401343665409	0.126262509038187	0.0830467890724354	0.0364699009231385	0.0220583480491701	-0.0443603771739993
LV3003046937	-0.0147974147585757	0.0237753780234139	-0.0391865041378089	0.0370042225857688	0.0881103682111867	0.047315862456216	0.042843379059236	-0.0290294209254647
LV3003047041	0.0817034610777714	0.147214663922955	-0.018025092740834	0.178060682621515	0.0705018882584705	0.0484929311723762	0.0250746312296278	-0.018748669304885
LV3003047026	0.319585846983303	0.300735277004963	-0.0186412672290219	0.0619559444198698	0.0398703541390415	0.0296302688266526	0.00710055809317807	0.0249118957479708
LV3003047009	0.322250186241001	0.276912178449774	-0.0478654562076708	-0.000243774301296344	0.00751948390022185	0.00183758277777763	-0.00827198142092711	0.0226274769701618
LV3003046993	0.324394741238053	0.265807138765582	0.157781573493764	0.0754865559942904	0.0285057042289905	0.0217686406432446	-0.00578571799125731	-0.00780244234285488
LV3003046978	0.0470335757089266	0.105395386617217	-0.0298702574032556	0.185051594208668	0.066252753765802	0.0458154621744428	0.0141307166416917	0.0101797346112331
LV3003046965	0.042911689472261	0.10239162641753	-0.0106261827284719	0.233714948369918	0.0716317382906872	0.042986414928912	0.0165445211915873	-0.0273597243214012
LV3003046949	0.0174745649818895	0.0200182784019868	-0.026609254234969	0.196402144233588	0.0725016422229505	0.0452941678766825	0.0134693222154931	-0.0190050328766593
LV3003046936	0.021652797659678	0.0693988564636445	-0.0237653112803808	0.219544879399408	0.0696156658414274	0.0464470408121098	0.0164480049911445	-0.0316519850332302
LV3003047145	0.197907451333926	0.187123531693454	-0.0415431038928072	0.0358063534193988	0.0677201452049124	0.0357997744703345	0.0232618219406791	0.0134378265076768
LV3003047132	0.0228011531182275	0.0244601862661449	-0.0102943167245596	0.234108223097546	0.0829990730740823	0.047151165593638	0.0229701390527662	-0.0329578284408289
LV3003047118	0.0019908508405448	0.0201246445718099	-0.0211620624778448	0.181187695425951	0.076008491523134	0.0450668317216768	0.027366536255833	-0.0197192960487905
LV3003047099	-0.0161032757711094	-0.0144102370351683	-0.0436821546172859	0.0506602567600324	0.0704508830022049	0.0369670969044239	0.0277035660925221	-0.023183245216228
LV3003047071	-0.0280571635757174	-0.0233176260045067	-0.0477744194836579	0.0153322231283667	0.0642370291325185	0.0320790685869968	0.0211784181950813	-0.0414307391460076
LV3003047169	-0.0179127914781518	-0.0126974394291974	-0.0529856424111028	0.0431736112191612	0.0629044233405103	0.0251322645759512	0.00931116596655888	-0.0503838770856981
LV3003047156	-0.0232102914975115	-0.0188759396725242	-0.0430042341999067	0.0537575070103929	0.0645544780261962	0.0316896859108264	0.0224855351194123	-0.050960556422176
LV3003047144	-0.0280571635757174	-0.0103911466805076	-0.0389465990907962	0.0656409565152834	0.0721850229299289	0.0391037460913511	0.0240160876091718	-0.057691751572936
LV3003047131	-0.026200347981209	-0.0177127096953785	-0.0130439948848264	-0.0216820193032144	0.0736370466103537	0.0579412775366219	0.0511754733030078	-0.0376533712982145
LV3003047117	-0.0250719889017008	-0.0232778974216076	-0.037256486777771	-0.0276252450068504	0.0668616896499378	0.0476420131804587	0.0543770411739833	-0.0442659206068437
