sample	MEbrown	MEgrey60	MEpurple	MEsalmon	MEmidnightblue	MEyellow	MElightyellow	MEred	MEmagenta	MElightcyan	MEgreenyellow	MEtan	MEblack	MEgreen	MEturquoise	MEpink	MEblue	MEcyan	MElightgreen	MEgrey
LV3003046953	-0.0452012536839709	-0.0715689938537453	-0.02877164528494	-0.0508803370181143	-0.0351780213368898	-0.0356493998432206	-0.0273426325589778	-0.0357300757348124	0.152998555126845	-0.00744155154928469	0.0172646730820618	0.0531833602019747	-0.0404702185767245	0.030848755217999	0.0877606427143097	0.108883324517243	-0.0323214363867059	-0.05142313160637	-0.0777544837241188	0.0114762585538922
LV3003046939	-0.0521296909135461	-0.0635640466300523	-0.00628973438328249	-0.0542349025293275	-0.0454454381517145	-0.0374907283970738	-0.0368547788320394	-0.0385405755200034	0.176002682585651	0.0440099610162893	0.102469208741432	0.147525788276326	-0.079586266672857	0.0208872528036169	0.0818182653421252	0.117833594551296	-0.0496865856921057	-0.0706432462441624	-0.0862596305443447	0.0508136216627562
LV3003047045	-0.0438649743355841	-0.0487458665286364	-0.0206499317937744	-0.0452640884483412	-0.0350536033237666	-0.0311961096199455	-0.0398645903881951	-0.0199198340421338	0.189422936589411	0.0589263510284337	0.0934678700446364	0.126823046118786	-0.0842042297547138	0.0120199845984679	0.0739295593499883	0.128139654477647	-0.044519044454879	-0.0565016678722195	-0.0856806733824257	0.0307539158479554
LV3003047028	0.060111440701907	-0.00757227269453122	0.10649280773322	0.0623300663057579	0.0895839908302709	0.0786473115446076	0.0957069611624267	0.0959030265446382	-0.00155113056511306	0.0699204204903599	0.0696843783877544	0.058162232296231	-0.0567446264882704	-0.13858091906456	-0.169121051624499	0.000265379083381924	0.0982834016884584	0.0575056353024167	0.00998020400994561	0.155831548365195
LV3003047013	-0.0320997628009862	-0.0622630144422654	-0.0175891972250289	-0.0323510547464284	-0.0200950820405731	-0.0174479145521346	-0.0235938178894962	-0.0117032921299011	0.179286261016313	0.0476002315816049	0.219862028361497	0.189720508766867	-0.108263096344592	-0.0224718317068793	0.0487350298696921	0.0608032668017288	-0.0266491562627392	-0.033507328493488	-0.0741998254075019	0.0679161200395301
LV3003046995	-0.0326194927727601	-0.0546548987186023	-0.0153755040166114	-0.0363300745988562	-0.0181511922360208	-0.0215109693819694	-0.00951022209701891	-0.01989230915047	0.181364771798236	0.00560925794659565	0.0928262736181204	0.128835373057176	-0.0688520911639767	-0.00720268874280676	0.0574839516736035	0.0983955269168926	-0.0310667900345427	-0.0434020148498351	-0.077737531810929	0.0344957025024347
LV3003046980	-0.0429380297731168	-0.0784709810014435	-0.0462012085823335	-0.0451278653883717	-0.0295880077475477	-0.0280340395553971	-0.0239722274794784	-0.0332572733206732	0.165320175441446	0.0935037087010015	0.292593249498011	0.237558698914577	-0.127972837051546	0.00272938427049182	0.0380641655388677	0.110681207621781	-0.0522778978474277	-0.0467679235726034	-0.0782060180840835	0.0706932872514989
LV3003046952	-0.0544707778990562	0.0282272808318433	-0.060685709700465	-0.0553212873005909	-0.0296768368569105	-0.0367932225947011	-0.0418487140460404	-0.0453922153747974	0.18985798059016	0.183671346409711	0.287455902413938	0.245146233364587	-0.105234734633036	0.000353206138107645	0.0225620598548482	0.109162911802183	-0.0586069572525576	-0.07367840718882	-0.08711304855566	0.0719527583526194
LV3003046938	-0.0665583587234145	0.0678876887417906	-0.0563621811978045	-0.0408688492098789	-0.0428358091685118	-0.0546390625428383	-0.0448637439142656	-0.0494703808103953	0.178714382260922	0.198681682270449	0.27804054797921	0.241058255237448	-0.0656670964337132	0.0298153915359972	0.0144502187363295	0.12242558783957	-0.0692545924137219	-0.0923984655089845	-0.0920384856244653	0.0338030679147243
LV3003047044	-0.0314472647790312	0.145254347917021	0.0917736535575379	0.0171157537461906	-0.0277006415948934	-0.024481549240894	0.00972336190535977	-0.0111505541854767	-0.0565855269698476	-0.0438176145695528	0.0121821083622854	-0.0153297853283448	0.0757155012298289	0.047046614962076	0.0112502359459498	-0.0362501652494999	-0.0389279426807602	0.0200936316397487	0.127269916871566	-0.00550954365071707
