age_bin_10k	core	n_samples	median_reads	median_observed_taxa	median_shannon	median_chao1	low_detection_n	low_detection_pct	sequencing_attention_n	sequencing_attention_pct	median_PC1	median_PC2	bin_n	bin_low_detection_n	bin_attention_n	core_share_in_bin	expected_low_detection_n	expected_attention_n	low_detection_enrichment	attention_enrichment	fairness_label
[70,80)	GeoB25202_R2	3	1186650	900	5.4589647578697	900	0	0	0	0	-62.9415102926921	46.8534322970204	18	4	0	0.166666666666667	0.666666666666667	0	0		no_low_detection_signal
[70,80)	ST13	4	1387439.5	849.5	5.30232153059177	849.5	0	0	0	0	-73.3285977454958	35.7047029065346	18	4	0	0.222222222222222	0.888888888888889	0	0		no_low_detection_signal
[70,80)	ST8	8	107697	232	4.70571671587336	232	4	50	0	0	57.4998260356677	7.02014182910707	18	4	0	0.444444444444444	1.77777777777778	0	2.25		enriched_beyond_sampling
[80,90)	GeoB25202_R1	2	484921	472	4.80201643355875	472	0	0	0	0	21.8375200255033	30.0131533129894	13	2	0	0.153846153846154	0.307692307692308	0	0		no_low_detection_signal
[80,90)	GeoB25202_R2	2	559272	537	4.84600668999007	537	0	0	0	0	10.181913389251	37.2307357793665	13	2	0	0.153846153846154	0.307692307692308	0	0		no_low_detection_signal
[80,90)	ST13	2	600945.5	624.5	5.1377003785416	624.5	0	0	0	0	-26.4203521091782	35.8955049125611	13	2	0	0.153846153846154	0.307692307692308	0	0		no_low_detection_signal
[80,90)	ST8	7	208332	340	4.87885666827335	340	2	28.5714285714286	0	0	38.3700721309127	10.6912380722185	13	2	0	0.538461538461538	1.07692307692308	0	1.85714285714286		enriched_beyond_sampling
[90,100)	GeoB25202_R1	1	745595	647	5.01886600343781	647	0	0	0	0	-10.6533454843781	48.9513774885632	12	7	0	0.0833333333333333	0.583333333333333	0	0		too_sparse
[90,100)	GeoB25202_R2	1	568907	560	4.92558542007848	560	0	0	0	0	9.33041055516293	38.569889272783	12	7	0	0.0833333333333333	0.583333333333333	0	0		too_sparse
[90,100)	ST13	2	832987.5	710.5	5.3304904820471	710.5	0	0	0	0	-42.8345031662204	35.148856440415	12	7	0	0.166666666666667	1.16666666666667	0	0		no_low_detection_signal
[90,100)	ST8	8	46046.5	129.5	4.11144314083534	129.5	7	87.5	0	0	80.6838220476553	-4.80259574267062	12	7	0	0.666666666666667	4.66666666666667	0	1.5		enriched_beyond_sampling
[100,110)	GeoB25202_R1	3	534951	539	4.84714684284077	539	0	0	0	0	20.5612901903296	43.0517853146641	16	8	2	0.1875	1.5	0.375	0	0	no_low_detection_signal
[100,110)	GeoB25202_R2	3	891911	639	4.96069583130431	639	0	0	0	0	5.40060071316817	50.975735680661	16	8	2	0.1875	1.5	0.375	0	0	no_low_detection_signal
[100,110)	ST13	2	997899.5	758.5	5.12512857276566	758.5	0	0	0	0	-45.7084022387908	48.6984385680454	16	8	2	0.125	1	0.25	0	0	no_low_detection_signal
[100,110)	ST8	8	31975.5	82.5	3.71337101828694	82.5	8	100	2	25	91.1694634845641	-13.0716478053952	16	8	2	0.5	4	1	2	2	enriched_beyond_sampling
[110,120)	ST13	2	203699.5	229.5	3.65315267671902	229.5	1	50	0	0	58.5490992992062	8.18939342984245	2	1	0	1	1	0	1		too_sparse
[120,130)	GeoB25202_R1	2	33051.5	81.5	3.73596443486781	81.5	2	100	0	0	90.9108176320997	-13.0940397823499	6	6	0	0.333333333333333	2	0	1		mixed_or_background
[120,130)	GeoB25202_R2	2	77277	136	3.98710603590771	136	2	100	0	0	81.099798465826	-14.4933002061224	6	6	0	0.333333333333333	2	0	1		mixed_or_background
[120,130)	ST13	2	29977.5	76	3.29093362214457	76	2	100	0	0	88.0659487862554	-14.2280888409362	6	6	0	0.333333333333333	2	0	1		mixed_or_background
[130,140)	GeoB25202_R1	1	282824	366	4.79812812981102	366	0	0	0	0	27.6246232700349	4.57167145053283	5	1	0	0.2	0.2	0	0		too_sparse
[130,140)	GeoB25202_R2	1	149876	265	4.44350428943579	265	0	0	0	0	49.6625290764413	-2.30274721882236	5	1	0	0.2	0.2	0	0		too_sparse
[130,140)	ST13	3	213784	347	4.98019913701503	347	1	33.3333333333333	0	0	23.1636397909296	-7.33808467527838	5	1	0	0.6	0.6	0	1.66666666666667		enriched_beyond_sampling
[140,150]	GeoB25202_R1	1	207636	388	5.24304754053314	388	0	0	0	0	24.4480439209798	-2.59652864419772	3	0	0	0.333333333333333	0	0			too_sparse
[140,150]	GeoB25202_R2	1	282338	473	5.38215838445962	473	0	0	0	0	3.46240203352741	1.18279051532455	3	0	0	0.333333333333333	0	0			too_sparse
[140,150]	ST13	1	511586	501	5.01688536354573	501	0	0	0	0	-1.72211257658819	-16.0946398680468	3	0	0	0.333333333333333	0	0			too_sparse
