sample	core	flowcell	depth_in_core_cm	log_total_reads	total_reads	library_concentration	log_initial	log_derep	avg_leng_initial	avg_len_derep	detected_taxa	shannon_raw	age_kyr	mis	sst	PC1	PC2	PC3	site_group	glacial_class	dedup_fraction	low_reads_50k	low_reads_100k	low_reads_q10	low_reads_q20	low_taxa_150	low_taxa_250	low_taxa_q10	low_taxa_q20	low_reads_or_taxa	low_reads_and_taxa	total_reads_from_counts	observed_taxa	shannon_vegan	vegan_chao1	chao1_gap	rarefaction_slope_per_10k	qc_depth_class	PC1_pc	PC2_pc	PC3_pc	age_bin_10k	focus_age_bin	age_bin_quantile	sequencing_attention
LV3003046967	ST8		45			69.08							9.158	3.40212	6.38985636946814				ST8	interglacial_like																						[0,10)	other	[0.692,19.1]	FALSE
LV3003046978	ST8		124.5	6.15368440402301	1424571	113.8	7.86145443237786	7.69059001026332	55.3	56.1	952	5.57865136199562	21.296	4.90112	7.54303523515316	-92.7487820453787	-41.0952834008316	26.2990775051355	ST8	glacial_like	0.674738629996955	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1424571	952	5.57865136199562	952	0	0	adequate_depth	-92.7487820453787	-41.0952834008316	26.2990775051355	[20,30)	other	(19.1,33.4]	FALSE
LV3003046979	ST8		84.5	5.74591756692192	557079	131.92	7.79887232070529	7.5549205871131	71.5	73.7	708	5.5513328829203	16.461	4.80993	7.29869936048704	-36.1680706462594	7.26357727940252	0.466525989128249	ST8	glacial_like	0.57022763561109	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	557079	708	5.5513328829203	708	0	0	adequate_depth	-36.1680706462594	7.26357727940252	0.466525989128249	[10,20)	other	[0.692,19.1]	FALSE
LV3003046980	ST8		40	5.76070438173389	576373	95.39	7.9276000728071	7.84703720930062	80.9	82.7	540	5.30688669104138	8.056	3.41776	6.25245183951933	-5.87788690216889	61.0925786308524	37.2861642566281	ST8	interglacial_like	0.830686467317904	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	576373	540	5.30688669104138	540	0	0	adequate_depth	-5.87788690216889	61.0925786308524	37.2861642566281	[0,10)	other	[0.692,19.1]	FALSE
LV3003046993	ST8		119.5	6.08809035242446	1224870	108.7	8.3619331483457	8.00165773923495	68.3	69.6	966	5.91446715650096	20.719	4.93248	7.51387664163044	-72.9819746241292	14.2319723279341	48.7376693862631	ST8	glacial_like	0.436239099757505	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1224870	966	5.91446715650096	966	0	0	adequate_depth	-72.9819746241292	14.2319723279341	48.7376693862631	[20,30)	other	(19.1,33.4]	FALSE
LV3003046994	ST8		79.5	5.78945872596691	615826	87.72	7.85216378902505	7.51952456393927	57.2	57.9	497	4.72517868734386	15.549	4.63274	7.18672783126745	13.7409567976702	-23.9720145029574	-2.15831353816152	ST8	glacial_like	0.464901307802996	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	615826	497	4.72517868734386	497	0	0	adequate_depth	13.7409567976702	-23.9720145029574	-2.15831353816152	[10,20)	other	[0.692,19.1]	FALSE
LV3003046995	ST8		35	5.84703686341278	703131	117	8.25143010582307	8.18238551777362	82.8	85.2	482	5.25603348336704	6.9705	3.36882	6.16359220190688	-5.49999581649808	51.6507646305295	31.1189461269604	ST8	interglacial_like	0.853012531796596	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	703131	482	5.25603348336704	482	0	0	adequate_depth	-5.49999581649808	51.6507646305295	31.1189461269604	[0,10)	other	[0.692,19.1]	FALSE
LV3003047009	ST8		114.5	5.86656909592246	735476	99.94	7.89365914994526	7.70322034581248	64.3	64.7	596	5.21405819074978	20.142	4.97864	7.48471804810772	-7.75103871031017	-31.2814100414528	1.85227257549117	ST8	glacial_like	0.645002195346249	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	735476	596	5.21405819074978	596	0	0	adequate_depth	-7.75103871031017	-31.2814100414528	1.85227257549117	[20,30)	other	(19.1,33.4]	FALSE
LV3003047010	ST8		70	5.83560560630494	684865	131.81	8.09357605641619	7.99515473083231	83.1	85.9	586	5.50688978855279	13.676	4.20872	6.95319000495699	-15.2571070430248	61.8296813137769	42.5059120546241	ST8	glacial_like	0.79722089605838	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	684865	586	5.50688978855279	586	0	0	adequate_depth	-15.2571070430248	61.8296813137769	42.5059120546241	[10,20)	other	[0.692,19.1]	FALSE
LV3003047013	ST8		30	5.7836913803003	607702	131.96	8.02917205826218	7.93794146352984	79.8	81.7	477	4.95445213390339	5.885	3.32195	6.33782936611152	4.00192655587517	57.4214322233315	31.0462009638401	ST8	interglacial_like	0.810530579254581	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	607702	477	4.95445213390339	477	0	0	adequate_depth	4.00192655587517	57.4214322233315	31.0462009638401	[0,10)	other	[0.692,19.1]	FALSE
LV3003047026	ST8		109.5	6.23407973166362	1714271	12.35	8.97687918844397	8.10079813874253	61.9	64.1	849	5.34059339412781	19.565	4.97695	7.455559454585	-60.0573638451108	-31.2583953199663	13.5474844017559	ST8	glacial_like	0.133020613749674	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	1714271	849	5.34059339412781	849	0	0	adequate_depth	-60.0573638451108	-31.2583953199663	13.5474844017559	[10,20)	other	(19.1,33.4]	FALSE
LV3003047027	ST8		65	5.86268522871595	728928	149.32	8.22047278409608	8.05177970017026	84.4	86.9	717	5.69177894043324	12.877	4.04278	6.85356548641879	-40.9375344809951	44.9096097657331	33.4309791015768	ST8	glacial_like	0.678120564437876	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	728928	717	5.69177894043324	717	0	0	adequate_depth	-40.9375344809951	44.9096097657331	33.4309791015768	[10,20)	other	[0.692,19.1]	FALSE
