sample	MEblue	MEyellow	MEturquoise	MEred	MEblack	MEpink	MEbrown	MEgreen	MEgrey
LV3003046953	0.0873992728934676	0.00244393731276094	-0.0367824653521466	0.12189290169639	0.0122232390427539	0.0499852520308188	-0.0388544386957371	-0.0452012536839709	-0.0742200711019184
LV3003046939	0.0816100949575876	-0.0153124162469741	-0.0384822437909105	0.154834354611145	0.0914775087358105	0.148328201043935	-0.0550893157282963	-0.0521296909135461	-0.0600996666426346
LV3003047045	0.0736174890168844	-0.0265163817108291	-0.0285496665960126	0.166688738708735	0.0820278558413874	0.122102819046675	-0.047111369712206	-0.0438649743355841	-0.05757440889068
LV3003047028	-0.169110942883652	-0.114127866843968	0.087732492666746	0.0163964015709635	0.0761193107938082	0.0610467083293734	0.0960216971772983	0.060111440701907	0.0612301685987451
LV3003047013	0.0482805053646158	-0.0570802192319074	-0.0165886648489615	0.159413512113855	0.202369580193884	0.184393217801793	-0.0279923211957129	-0.0320997628009862	-0.0265349670607256
LV3003046995	0.0570685382145288	-0.029499658276618	-0.0212952659627574	0.149568491622899	0.0809621659952963	0.12459840270975	-0.032269879727261	-0.0326194927727601	-0.0498979415791547
LV3003046980	0.0376612397606047	-0.0504139285304166	-0.030949900568114	0.158536513964952	0.278853089782741	0.229940242620537	-0.0519366796007888	-0.0429380297731168	-0.0619524445140815
LV3003046952	0.0221707285314715	-0.039443634057028	-0.0408339630646749	0.20001515904314	0.272744948604242	0.237705806474883	-0.0614148038296937	-0.0544707778990562	-0.0602757449475939
LV3003046938	0.0140436328377772	-0.00186322441487539	-0.055937488850202	0.200898092821659	0.261108384690313	0.231549808035831	-0.0744274052014214	-0.0665583587234145	-0.0658464388328146
LV3003047044	0.0109065626762413	0.0637220681831184	-0.0221815050015233	-0.0559450889035934	0.0144831026212113	-0.0161130170969047	-0.0335390578842394	-0.0314472647790312	0.0510873934395126
LV3003047027	0.0264321476967488	0.0246683743346968	-0.0690352666882953	0.169113242369064	0.197849977928872	0.198848021560321	-0.0828376840176075	-0.0749692531860392	-0.0951206712397201
LV3003047010	0.0371116888069702	-0.0334079881697063	-0.0393638256576986	0.178029240415183	0.235973672537102	0.255292590621411	-0.0471581588267992	-0.0544653665633033	-0.0654542417439704
LV3003046994	-0.0132503580126634	-0.0243766779897278	0.0063977267450373	-0.0614440997102643	-0.0174310467073847	-0.0234978449264554	-0.0371361025644506	0.241870770815125	0.0266401472341825
LV3003046979	0.0242085565746297	0.0418934852684076	-0.0542417108457473	0.0468864736192247	0.00812103359816208	-0.0256179811796935	-0.0794438712793093	0.0432720361973411	-0.0297832648782818
LV3003046966	0.016572386213057	0.0811750284828784	-0.0774889651437682	-0.0972005665836638	-0.0859844872022859	-0.0785179410355069	-0.03846466244921	-0.0125037828802236	-0.02085654540162
LV3003046950	0.0222850903250581	0.0859215615979368	-0.0932448615814403	-0.0793022739195159	-0.0898792763013634	-0.0921392844195555	-0.00896877668142379	-0.0314947121505953	-0.109096202608845
LV3003046937	0.048010459882652	0.0982918438968389	-0.0407706374064281	-0.0611639207374188	-0.0436765132083394	-0.0478940945880026	-0.034006265316843	-0.01359154565825	-0.0581180174010745
LV3003047041	0.0243263098577056	0.0753078619406398	-0.136049634736066	-0.0835132153821613	-0.122185271482157	-0.120662334991	0.100554374642878	0.0691641456602396	-0.180940857786249
LV3003047026	0.00580298043995001	0.0403032583592625	-0.0829323005368367	-0.079027543904737	-0.08295537933189	-0.0973078310071039	-0.0705692614501341	0.291310928165681	-0.0753511220469269
