variant	n_samples	n_taxa	cor_PC1_log_total	cor_PC2_log_total	cor_PC3_log_total
current_taxon_centered_log	214	1797	-0.893685515232153	0.195092395158464	-0.127819060132685
sample_clr_raw	214	1797	0.769016800544585	0.393876847764629	-0.0550941219429433
deseq_length_log	214	1797	-0.876510878328898	0.197634506322943	0.118345268543665
log_depth_residualized	214	1797	-1.13363098481356e-13	1.14997098931665e-13	1.04422727532694e-13
