sample	core	age_kyr	d18O	sst	PC1	PC2	PC3	state	label
LV3003046953	ST8	1.5215	3.203925	7.82527505425364	0.82323921185117	-0.485911109090127	-1.77453460193152	1	IG-D
LV3003046939	ST8	2.42	3.2262	6.89400787736814	0.976106823109122	-0.347122145383215	-2.14469730120632	1	IG-D
LV3003047045	ST8	3.5865	3.295865	6.70676913757569	0.709722179108233	-0.343797201769824	-2.10589349426157	1	IG-D
LV3003047013	ST8	5.885	3.32195	6.33782936611152	0.260718135361778	-0.542625285340343	-2.10406223745595	1	IG-D
LV3003046995	ST8	6.9705	3.36882	6.16359220190688	0.423631212912389	-0.456347291985024	-1.96467077736828	1	IG-D
LV3003046980	ST8	8.056	3.41776	6.25245183951933	0.582417241408761	-0.758060595814149	-2.59498623227942	1	IG-D
LV3003046952	ST8	10.26	3.5408	6.52726089941695	1.00972917429724	-0.487256420742102	-2.69172462233946	1	IG-D
LV3003046938	ST8	11.169	3.65408	6.64060093364877	1.59533358521068	-0.028511803423555	-2.66696037202339	1	IG-D
LV3003047027	ST8	12.877	4.04278	6.85356548641879	1.9272252856837	-0.138385455539036	-2.49580179025448	1	IG-D
LV3003047010	ST8	13.676	4.20872	6.95319000495699	1.02106062201442	-0.618129037583764	-2.66749678703257	1	IG-D
LV3003047138	ST8	66.0158	4.567946	8.02669549973556	-0.548456899735381	-0.20111804307489	-0.5818044545639	1	IG-D
LV3003047137	ST8	66.9462	4.446994	8.05521044883768	-0.951305352846015	-0.0457842733718283	0.109874114192324	1	IG-D
LV3003047136	ST8	67.8766	4.422468	8.08372539793979	-0.12035023036655	-0.263809627099354	-1.00209124367463	1	IG-D
LV3003047134	ST8	68.807	4.46035	8.5256420642359	-0.37063464973429	-0.459425573024844	-1.34390194495987	1	IG-D
LV3003047133	ST8	70.162	4.3038	9.41847614468938	-0.462120633988611	0.132503458261613	-0.29211037661546	1	IG-D
LV3003047107	ST8	71.517	4.21483	10.3113102251429	-0.320803207677473	-0.00490672678472957	-0.383799835393489	1	IG-D
LV3003047093	ST8	79.675	3.94875	8.33291896762292	-0.351282043795023	-0.335868426168259	-1.02089867374344	1	IG-D
LV3003047101	ST8	85.23	3.9753	8.34374151531365	-1.01065153888069	-0.160270490027634	-0.32471884723857	1	IG-D
LV3003047100	ST8	86.61175	4.13341	8.5396208419164	-0.414675484250496	-0.297587722301615	-0.766700139067533	1	IG-D
LV3003047080	ST8	87.9935	4.110455	8.44662940914954	-0.374672222915228	-0.21111395849765	-0.535701154740665	1	IG-D
LV3003047091	ST8	89.37525	4.072495	8.08112030852452	-1.03794178308642	-0.323367111662651	-0.538131992891818	1	IG-D
LV3003047079	ST8	97.52	3.8664	6.85473981358423	-1.0211843925844	-0.518053663165159	-0.808347308459091	1	IG-D
LV7001898100	ST13	5.659	3.30613	6.37410536713431	-0.241053096126545	-0.364135730064322	-1.59577613702498	1	IG-D
LV7001898088	ST13	6.031	3.33124	6.31439442739767	1.03443723802357	0.0292350628150193	-0.985541584857578	1	IG-D
LV3003061557	ST13	58.082	4.48508	7.14615019137165	-0.679543342893529	0.0377419677075801	-0.77713633712749	1	IG-D
LV3003061543	ST13	62.293	4.57949	7.91259892566273	1.03609623139371	0.278997512620241	-0.844627235772373	1	IG-D
LV3003061529	ST13	66.015	4.56805	8.02667098129265	1.35113496810169	-0.427396268155036	-0.956174272615999	1	IG-D
LV3003061515	ST13	71.0012	4.219988	9.97144024824405	2.26266401807428	-0.190165397793195	-2.10630498642216	1	IG-D
LV3003061503	ST13	73.1472	4.20056	9.58376845577441	0.886258299920825	0.206510192150103	-1.08584959274513	1	IG-D
LV3003061485	ST13	75.7796	4.035756	7.95056189669746	1.85448655574299	-0.255662456130636	-1.75524390924891	1	IG-D
LV3003061474	ST13	77.7798	4.056606	8.28521641432076	-0.068824139556784	0.0281449637900788	-0.745105040954221	1	IG-D
LV3003061569	ST13	81.6946	3.806108	7.84255695133946	0.219980623133312	-0.151864720753601	-1.29121986242795	1	IG-D
LV3003061556	ST13	86.6174	4.134088	8.5404217959206	-0.774231082075233	0.0630280769220176	-0.605459996731158	1	IG-D
LV3003061541	ST13	91.09	4.0255	7.62752397756975	-0.372032935682766	0.270631443512881	-0.372653582945231	1	IG-D
LV3003061528	ST13	95.118	3.76764	6.56201237466214	0.935745078168857	-0.363013065910534	-1.8407042905549	1	IG-D
LV3003061514	ST13	100.6726	3.883986	7.39288790099721	1.68584845539898	-0.503418226225895	-2.19646341578665	1	IG-D
LV3003061501	ST13	105.5872	3.93808	8.6530138730751	-0.766198606796884	0.0177516311933258	-0.795213785137674	1	IG-D
LV3003061500	ST13	148.086	4.71344	9.56141856461617	-0.85807598260406	-0.581371279832175	0.70761459213319	1	IG-D
LV7008886714	GeoB25202_R1	0.692	3.23	8.77194686709375	0.370223749249526	-0.211485043372245	-1.05280981393595	1	IG-D
LV7008886778	GeoB25202_R1	68.149	4.42745	8.09207392775	1.59968089814903	-0.278212555267583	-1.87839846809417	1	IG-D
LV7008886754	GeoB25202_R1	71.8895	4.211105	10.5567572325	2.46422958750828	-0.190801898930093	-1.84314762444094	1	IG-D
LV7008886730	GeoB25202_R1	75.351	3.98861	7.8788526045	1.61218580848223	0.0948197924031742	-1.19158831903442	1	IG-D
LV7008886706	GeoB25202_R1	79.0255	4.046175	8.49363513875	1.18914742897489	-0.21753701200459	-1.36052267069713	1	IG-D
LV7008886743	GeoB25202_R1	81.6705	3.80659	7.83914049266667	-0.625057478116086	-0.0771230701213176	-0.483598412602117	1	IG-D
LV7008886719	GeoB25202_R1	87.2825	4.160225	8.63470754958333	-1.0139047282001	0.0316086216131882	0.00713599007969955	1	IG-D
LV7008886695	GeoB25202_R1	95.3875	3.76225	6.490722559125	0.135755520438564	-0.0479273793420622	-0.842680175729517	1	IG-D
LV7008886768	GeoB25202_R1	102.2955	3.86591	7.669916553875	0.334104072964099	-0.0140320859888888	-1.02850079493378	1	IG-D
LV7008886744	GeoB25202_R1	105.5785	3.936775	8.648961519375	-1.27181371386435	-0.148333666851251	-0.12471890675656	1	IG-D
LV7008886708	GeoB25202_R1	109.6305	4.06956	10.5363336105	-0.664631654322327	-0.135979572144201	-0.333187853971342	1	IG-D
LV7008886726	GeoB25202_R2	0.692	3.23	8.77194686709375	-0.267615836124828	-0.123211363218854	-1.02717205024616	1	IG-D
LV7008886229	GeoB25202_R2	68.149	4.42745	8.09207392775	2.0046278656096	-0.122560267099403	-1.36905476633629	1	IG-D
LV7008886766	GeoB25202_R2	71.8895	4.211105	10.5567572325	2.17336491493696	-0.336396671108158	-1.80367347450769	1	IG-D
LV7008886742	GeoB25202_R2	75.351	3.98861	7.8788526045	2.54399070881727	0.0202288154737263	-1.06887951547677	1	IG-D
LV7008886718	GeoB25202_R2	79.0255	4.046175	8.49363513875	0.658096141980086	-0.0507965179794184	-0.736199766157089	1	IG-D
LV7008886755	GeoB25202_R2	81.6705	3.80659	7.83914049266667	-0.0801480903412066	-0.122285424879666	-0.906190530512337	1	IG-D
LV7008886731	GeoB25202_R2	87.2825	4.160225	8.63470754958333	-1.08759676548715	0.00632829588428298	0.0217661247949011	1	IG-D
LV7008886707	GeoB25202_R2	95.3875	3.76225	6.490722559125	-0.516022449194481	0.0914626060658887	-0.307265629996612	1	IG-D
