module	proxy	beta_full	p_full	beta_leave_ST8	p_leave_ST8	beta_leave_ST13	p_leave_ST13	beta_leave_GeoB25202_R1	p_leave_GeoB25202_R1	q_full	sign_preserved_all	all_leave_p_lt_010	stability_flag
MEleiden6	ba_ti_z	0.128687973346959	0.0692482620703398	0.279438727022259	0.018026312167437	0.0795467458932482	0.326254919245815	0.107113441504999	0.156638716645633	0.0903238200917475	TRUE	FALSE	unstable_or_mixed
MEleiden6	ca_ti_z	-0.125799397984811	0.072736456882189	0.0486015240813653	0.696234811769496	-0.172212737977771	0.0294743154508504	-0.162423483683009	0.0282104025107977	0.0909205711027363	FALSE	FALSE	unstable_or_mixed
MEleiden6	zr_rb_z	-0.478235621425239	5.57250707917846e-14	-0.429798962194056	6.29901115812767e-05	-0.50685346844944	2.93112411902633e-12	-0.477025933573154	1.8968170558032e-12	5.57250707917846e-13	TRUE	TRUE	stable
MEleiden6	ti_al_z	-0.0772686794843344	0.28513874827213	-0.281275433139991	0.0218217299182867	-0.0366331945722192	0.652174709162352	-0.026528111402572	0.733050069819505	0.305505801720139	TRUE	FALSE	unstable_or_mixed
MEleiden6	mn_fe_z	-0.181965802605785	0.00847057518661924	-0.125074338197374	0.295174819895654	-0.210353404414432	0.0075990164538334	-0.1864991231758	0.0108112590852721	0.0158823284749111	TRUE	FALSE	unstable_or_mixed
MEleiden5	ba_ti_z	-0.532496566691709	1.08546347090933e-16	-0.626491423920664	2.38473866509398e-11	-0.507079907049517	2.30993959161091e-11	-0.514718881298705	2.62639717242031e-13	3.256390412728e-15	TRUE	TRUE	stable
MEleiden5	ca_ti_z	-0.346296191389503	2.49869475080763e-07	-0.435063138841874	4.3876841650306e-05	-0.303388902146931	0.000113951810981198	-0.349988162770881	1.35362370311394e-06	1.24934737540382e-06	TRUE	TRUE	stable
MEleiden5	zr_rb_z	0.138456321433743	0.0398578547712237	0.187424212402139	0.0673387615014087	0.103767395863921	0.193305239368852	0.146128899775736	0.0458186986759963	0.0597867821568356	TRUE	FALSE	unstable_or_mixed
MEleiden5	ti_al_z	0.440007449020153	7.62058313098849e-11	0.509103509864423	1.03837179348005e-06	0.397348085403706	4.27297606606687e-07	0.451953851235212	9.88981796629506e-10	5.71543734824137e-10	TRUE	TRUE	stable
MEleiden5	mn_fe_z	-0.0959907338052951	0.162876632088632	-0.000983447566302931	0.992791733784438	-0.129678361288444	0.106996526453028	-0.103800853036317	0.161992954961549	0.187934575486883	TRUE	FALSE	unstable_or_mixed
MEleiden3	ba_ti_z	0.0381424983137486	0.602008448120196	-0.100881015317211	0.428686221407525	0.0818175337265299	0.312563169761255	0.0582567031413653	0.44796038024135	0.602008448120196	FALSE	FALSE	unstable_or_mixed
MEleiden3	ca_ti_z	0.507857665161725	3.67672553094259e-14	0.746795386613013	5.00974207203976e-11	0.436097696405612	6.27617934888984e-09	0.460741989504485	7.47362247219467e-11	5.51508829641389e-13	TRUE	TRUE	stable
MEleiden3	zr_rb_z	0.163868445300489	0.0187210170915653	0.0296021691425393	0.805103292920439	0.157757270940792	0.0432230527189177	0.227411128556966	0.00181985134435551	0.0310003935572634	TRUE	FALSE	unstable_or_mixed
MEleiden3	ti_al_z	-0.194383645609278	0.00839543006616683	-0.156282552098649	0.235630115823871	-0.142329300862845	0.0782888890995846	-0.250892720759074	0.00120939723307704	0.0158823284749111	TRUE	FALSE	unstable_or_mixed
MEleiden3	mn_fe_z	0.256884508411166	0.000266576448495817	0.237698162531441	0.0581294684363419	0.267623726690703	0.000614906011014207	0.243334103236483	0.000947206985180887	0.000999661681859313	TRUE	TRUE	stable
MEleiden1	ba_ti_z	-0.194096155043499	0.00474086156425707	-0.237608292963759	0.0349329329222045	-0.180913042117056	0.0232081361162617	-0.187304311579531	0.0108694504330923	0.0109404497636702	TRUE	TRUE	stable
MEleiden1	ca_ti_z	-0.134417209025986	0.0493800022538263	-0.0405208507112088	0.731790396554858	-0.15769934109347	0.0445585228316737	-0.156162687812111	0.0312765372694818	0.0705428603626089	TRUE	FALSE	unstable_or_mixed
MEleiden1	zr_rb_z	-0.175663689876684	0.00804279826480472	-0.209328344606861	0.0493029405657111	-0.178971282045361	0.0210713953357371	-0.158384040628965	0.0257846042966044	0.0158823284749111	TRUE	TRUE	stable
MEleiden1	ti_al_z	0.163745740914294	0.0196335825862668	0.105376610796535	0.373295023565317	0.174207369272234	0.0291973182018742	0.180675680265397	0.0167194222460908	0.0310003935572634	TRUE	FALSE	unstable_or_mixed
