module	proxy	n	beta	p_value	beta_ar1	p_value_ar1	q_value	q_value_ar1
MEleiden5	ba_ti_z	188	-0.532496566691709	1.08546347090933e-16	-0.47512054771202	2.42389745207829e-13	3.256390412728e-15	7.27169235623488e-12
MEleiden3	ca_ti_z	188	0.507857665161725	3.67672553094259e-14	0.483225929627613	1.92645632471088e-10	5.51508829641389e-13	2.88968448706632e-09
MEleiden6	zr_rb_z	189	-0.478235621425239	5.57250707917846e-14	-0.340274793151405	4.02095441949696e-07	5.57250707917846e-13	4.02095441949696e-06
MEleiden5	ti_al_z	188	0.440007449020153	7.62058313098849e-11	0.327494031762859	6.74176966986386e-07	5.71543734824137e-10	5.0563272523979e-06
MEleiden2	zr_rb_z	189	-0.298108188138176	1.99873160079359e-07	-0.215609980106377	0.000954568473668631	1.19923896047615e-06	0.00477284236834315
MEleiden5	ca_ti_z	188	-0.346296191389503	2.49869475080763e-07	-0.335112046351194	1.16005874145877e-06	1.24934737540382e-06	6.96035244875261e-06
MEleiden4	ba_ti_z	188	-0.235552049881787	0.000148372442536898	-0.128117982702425	0.0790478306143554	0.000635881896586705	0.158095661228711
MEleiden3	mn_fe_z	188	0.256884508411166	0.000266576448495817	0.182067600549859	0.0150725479157592	0.000999661681859313	0.0411069488611615
MEleiden4	ca_ti_z	188	0.205228643480387	0.000883986164256022	0.228363345808759	0.00177098687442906	0.00273529675026674	0.00664120077910899
MEleiden2	ba_ti_z	188	-0.201001533684494	0.000911765583422245	-0.102299171221637	0.134699254208086	0.00273529675026674	0.232527996155035
MEleiden2	ti_al_z	188	0.17980790725373	0.00366857197822574	0.0816120505377636	0.227565412143363	0.00960569203882131	0.310316471104586
MEleiden2	mn_fe_z	188	-0.172430855745075	0.00384227681552852	-0.11118508927751	0.0788383435739203	0.00960569203882131	0.158095661228711
MEleiden1	ba_ti_z	188	-0.194096155043499	0.00474086156425707	-0.0900397294853544	0.210364803895241	0.0109404497636702	0.300521148421773
MEleiden3	ti_al_z	188	-0.194383645609278	0.00839543006616683	-0.255043217235862	0.00166187196484739	0.0158823284749111	0.00664120077910899
MEleiden6	mn_fe_z	188	-0.181965802605785	0.00847057518661924	-0.100648354335553	0.139516797693021	0.0158823284749111	0.232527996155035
MEleiden1	zr_rb_z	189	-0.175663689876684	0.00804279826480472	-0.196296524466926	0.00542108388692833	0.0158823284749111	0.0180702796230944
MEleiden4	ti_al_z	188	0.159438428655481	0.0125713466343466	0.0810840320334256	0.259842568696944	0.0221847293547293	0.311335408045032
MEleiden3	zr_rb_z	189	0.163868445300489	0.0187210170915653	0.0908224945935413	0.257153261857141	0.0310003935572634	0.311335408045032
MEleiden1	ti_al_z	188	0.163745740914294	0.0196335825862668	0.0689166643603284	0.339997720997509	0.0310003935572634	0.377775245552788
MEleiden5	zr_rb_z	189	0.138456321433743	0.0398578547712237	0.174158003936239	0.0107969185518968	0.0597867821568356	0.0323907556556904
MEleiden1	ca_ti_z	188	-0.134417209025986	0.0493800022538263	-0.0976127787112308	0.174801892302546	0.0705428603626089	0.267971197862049
MEleiden4	zr_rb_z	189	-0.112577684873748	0.0629339166655258	-0.0955173225575948	0.178647465241366	0.0858189772711715	0.267971197862049
MEleiden6	ba_ti_z	188	0.128687973346959	0.0692482620703398	0.135909650917608	0.0693317489490929	0.0903238200917475	0.158095661228711
MEleiden6	ca_ti_z	188	-0.125799397984811	0.072736456882189	-0.0844906737770239	0.269824020305695	0.0909205711027363	0.311335408045032
