module	proxy	beta_full	p_full	beta_leave_ST8	p_leave_ST8	beta_leave_ST13	p_leave_ST13	beta_leave_GeoB25202_R1	p_leave_GeoB25202_R1	q_full	sign_preserved_all	all_leave_p_lt_010	stability_flag
MEleiden5	ba_ti_z	-0.532496566691709	1.08546347090933e-16	-0.626491423920664	2.38473866509398e-11	-0.507079907049517	2.30993959161091e-11	-0.514718881298705	2.62639717242031e-13	3.256390412728e-15	TRUE	TRUE	stable
MEleiden3	ca_ti_z	0.507857665161725	3.67672553094259e-14	0.746795386613013	5.00974207203976e-11	0.436097696405612	6.27617934888984e-09	0.460741989504485	7.47362247219467e-11	5.51508829641389e-13	TRUE	TRUE	stable
MEleiden6	zr_rb_z	-0.478235621425239	5.57250707917846e-14	-0.429798962194056	6.29901115812767e-05	-0.50685346844944	2.93112411902633e-12	-0.477025933573154	1.8968170558032e-12	5.57250707917846e-13	TRUE	TRUE	stable
MEleiden5	ti_al_z	0.440007449020153	7.62058313098849e-11	0.509103509864423	1.03837179348005e-06	0.397348085403706	4.27297606606687e-07	0.451953851235212	9.88981796629506e-10	5.71543734824137e-10	TRUE	TRUE	stable
MEleiden2	zr_rb_z	-0.298108188138176	1.99873160079359e-07	-0.224638417915536	0.0290730087517063	-0.372790059943277	5.05874242250949e-09	-0.267461539942181	5.99361725659244e-06	1.19923896047615e-06	TRUE	TRUE	stable
MEleiden5	ca_ti_z	-0.346296191389503	2.49869475080763e-07	-0.435063138841874	4.3876841650306e-05	-0.303388902146931	0.000113951810981198	-0.349988162770881	1.35362370311394e-06	1.24934737540382e-06	TRUE	TRUE	stable
MEleiden4	ba_ti_z	-0.235552049881787	0.000148372442536898	-0.216047061191815	0.0561690387078255	-0.260403307176869	0.000210067019080384	-0.222825150425535	0.000395850423086467	0.000635881896586705	TRUE	TRUE	stable
MEleiden3	mn_fe_z	0.256884508411166	0.000266576448495817	0.237698162531441	0.0581294684363419	0.267623726690703	0.000614906011014207	0.243334103236483	0.000947206985180887	0.000999661681859313	TRUE	TRUE	stable
MEleiden4	ca_ti_z	0.205228643480387	0.000883986164256022	0.46447059869776	2.99177949232448e-05	0.148548914396451	0.0344362062550986	0.139468603839782	0.0258209208597306	0.00273529675026674	TRUE	TRUE	stable
MEleiden1	ba_ti_z	-0.194096155043499	0.00474086156425707	-0.237608292963759	0.0349329329222045	-0.180913042117056	0.0232081361162617	-0.187304311579531	0.0108694504330923	0.0109404497636702	TRUE	TRUE	stable
MEleiden1	zr_rb_z	-0.175663689876684	0.00804279826480472	-0.209328344606861	0.0493029405657111	-0.178971282045361	0.0210713953357371	-0.158384040628965	0.0257846042966044	0.0158823284749111	TRUE	TRUE	stable
