sample	MEleiden6	MEleiden5	MEleiden3	MEleiden1	MEleiden2	MEleiden4	MEgrey
LV3003046953	-0.043155488252918	-0.0300608955769776	0.0928545780249894	-0.00594231699121728	-0.00721689138686354	0.0490608260185233	-0.0200299599506063
LV3003046939	-0.0213634286255447	-0.0329064985428552	0.130416319077356	-0.014899401934411	-0.0123119444561803	0.04629103127336	-0.0250233234630843
LV3003047045	-0.0245169538203445	-0.0341343005748746	0.124724351256041	-0.0264697725940463	-0.0179590146498536	0.0320780164661067	-0.0237265538651036
LV3003047028	-0.0473857724742114	-0.0351345564866786	-0.055610337246984	-0.0444911103566707	-0.122164302589062	-0.163923365178223	-0.0183216844454355
LV3003047013	-0.0376171277230196	-0.0339699280906683	0.120278627900945	-0.0285225843020019	-0.0480807437851448	0.0123475113788402	-0.0286686722596747
LV3003046995	-0.0353591477330843	-0.0332842464469174	0.110957332580911	-0.0259560145615607	-0.027543682926311	0.0165784668278181	-0.021655555337187
LV3003046980	-0.0458857741120446	-0.0330588028226331	0.161755827588801	-0.0236610592562704	-0.0394220957338812	0.0165276998947802	-0.033789403266047
LV3003046952	-0.011998615780249	-0.0347537472015125	0.187778321436195	-0.0125853058427262	-0.0231116617606695	0.0118330478887168	-0.0324601027901165
LV3003046938	0.0321438970054742	-0.0351345564866786	0.205094338964309	-0.00859697362379498	0.00843145503152599	0.021122709527096	-0.037468519519836
LV3003047044	0.0846710760605112	-0.0279792326375767	-0.0321428965468654	-0.00339519014409024	0.0333695829498783	0.0104918033928875	-0.0216744649676923
LV3003047027	0.0180002414157131	-0.0294832079052863	0.191234857871259	0.00583446845290225	0.0399191449786113	0.035920702773118	-0.0324433542096364
LV3003047010	-0.0268701629295785	-0.0334975837812508	0.180179875783805	-0.00913615245924096	-0.0189206622155185	0.0187836343315765	-0.0324915757848952
LV3003046994	-0.0473857724742114	0.24315053315842	-0.044513202741048	-0.0279539754097436	-0.0177252842936922	-0.00585651580389421	-0.0197463423313719
LV3003046979	-0.00476569225468337	0.0871947703910952	0.0481577439982731	-0.00441769648805412	0.0565687240891608	0.0399484431707937	-0.0164588678433252
LV3003046966	0.0994110592225552	0.0420956508372122	-0.00478554043628936	0.078618174388081	0.0898155514705529	0.0525919284371379	-0.0303826811768129
LV3003046950	0.044581262860434	0.0269062749469529	0.0210402135332665	0.108300551174884	0.104076775089699	0.057184586205815	-0.029407209411563
LV3003046937	-0.0245627814879554	0.00459043913456991	-0.0218053843422256	0.00267248822599818	0.0673088897160789	0.0374014701250082	-0.0230164729398724
LV3003047041	-0.0195520796470619	0.152835130919584	0.0418158084401768	0.173363575471205	0.115208548770331	0.0817257666089354	-0.0261007144663009
LV3003047026	-0.042353946748272	0.340382322198921	0.0147938654254026	0.0736513315683175	0.0730034960047615	0.0603480573398497	-0.0139494190914853
