taxon	module
S__GCA_013216095.1	leiden1
S__GCA_013349585.1	leiden2
S__GCA_013349685.1	leiden5
S__GCA_013375475.1	leiden5
S__GCA_013375485.1	leiden5
S__GCA_013375495.1	leiden5
S__GCA_013390375.1	leiden5
S__GCA_013390475.1	leiden4
S__GCA_013390745.1	leiden2
S__GCA_013390765.1	leiden1
S__GCA_013390785.1	leiden2
S__GCA_013619005.1	leiden5
S__GCA_013619155.1	leiden2
S__GCA_013695465.1	grey
S__GCA_013696595.1	leiden1
S__GCA_013696905.1	leiden1
S__GCA_013697295.1	leiden6
S__GCA_013698525.1	leiden6
S__GCA_013812235.1	leiden6
S__GCA_013812485.1	grey
S__GCA_013813135.1	leiden6
S__GCA_013817555.1	leiden6
S__GCA_013821475.1	leiden4
S__GCA_013911135.1	leiden4
S__GCA_014237605.1	leiden1
S__GCA_014237715.1	leiden1
S__GCA_014237975.1	leiden4
S__GCA_014238125.1	leiden2
S__GCA_014238205.1	leiden1
S__GCA_014238335.1	leiden4
S__GCA_014238785.1	leiden2
S__GCA_014238855.1	leiden3
S__GCA_014238945.1	leiden5
S__GCA_014239225.1	leiden1
S__GCA_014239255.1	leiden3
S__GCA_014239265.1	leiden3
S__GCA_014239335.1	leiden3
S__GCA_014239355.1	leiden1
