state	state_label	n_samples	mean_age_kyr	MEleiden6	MEleiden5	MEleiden3	MEleiden1	MEleiden2	MEleiden4
1	IG-D	60	66.21182	-0.420869782019369	-0.295973537395619	1.9510534835889	-0.453504313110123	-0.0265027071562449	1.69026159985827
2	IG-E	39	89.884882991453	-0.217107418303882	-0.18293766251404	-0.490332743737448	-0.411685889253291	-0.779829463748062	-1.25147138690826
3	IG-A	32	15.72425	-0.211134387203183	1.71891224711408	0.0567135980738501	1.31711786572604	0.439525183805106	0.492630949446241
4	IG-B	48	60.5127021751701	-0.380738438627713	-0.381934233691067	-0.748179515857356	-0.784977751982659	-0.726049589778271	-0.0919558233866277
5	G-A	35	31.8601088571429	0.881093443396872	-0.228322127905948	-0.444986634251877	-0.0818447483136892	0.554422285988659	0.484208453945152
