sample	core	age_kyr	d18O	sst	MEleiden6	MEleiden5	MEleiden3	MEleiden1	MEleiden2	MEleiden4	analysis_partition	harmonization_mode
LV3003046953	ST8	1.5215	3.203925	7.82527505425364	-0.623199756405973	-0.359606961764379	1.68334927432646	0.0304498323347413	0.071712068974532	0.878431589749437	training	corewise_z
LV3003046939	ST8	2.42	3.2262	6.89400787736814	-0.314953184927366	-0.400781105721665	2.26801306333772	-0.103667868810702	0.000923683620001463	0.840916485041079	training	corewise_z
LV3003047045	ST8	3.5865	3.295865	6.70676913757569	-0.359559493187803	-0.418546654262209	2.17941526727974	-0.276915250532826	-0.0775341804209387	0.648410257044706	training	corewise_z
LV3003047028	ST8	4.753	3.26988	6.51953039778323	-0.683036716743389	-0.433019748857837	-0.62756756462232	-0.54675531653838	-1.52531577921196	-2.00630355097666	training	corewise_z
LV3003047013	ST8	5.885	3.32195	6.33782936611152	-0.544860183453942	-0.416168284402295	2.11021577362308	-0.307652749272822	-0.496031993999104	0.381173139352084	training	corewise_z
LV3003046995	ST8	6.9705	3.36882	6.16359220190688	-0.512921275325653	-0.406246888112226	1.96512601772742	-0.269222564050676	-0.210699268638596	0.438478734635625	training	corewise_z
LV3003046980	ST8	8.056	3.41776	6.25245183951933	-0.661819385281031	-0.402984856004499	2.75582527008572	-0.234859360873625	-0.375732616041046	0.437791128880013	training	corewise_z
LV3003046952	ST8	10.26	3.5408	6.52726089941695	-0.182488814809947	-0.427509670144918	3.16087597929349	-0.0690180636548118	-0.149122751592633	0.374205059231956	training	corewise_z
LV3003046938	ST8	11.169	3.65408	6.64060093364877	0.441902750526911	-0.433019748857837	3.4304068406148	-0.00929931006480342	0.289123185474382	0.500027606075034	training	corewise_z
LV3003047044	ST8	12.078	3.93092	6.75394096788059	1.18489460765362	-0.329486565291217	-0.262287297687944	0.0685888920209067	0.635602365394216	0.356038757274596	training	corewise_z
LV3003047027	ST8	12.877	4.04278	6.85356548641879	0.241842112924682	-0.351248172558088	3.21467837589067	0.206787937942262	0.726599046780211	0.700456994233676	training	corewise_z
LV3003047010	ST8	13.676	4.20872	6.95319000495699	-0.392845407979559	-0.409333749568528	3.04260307976178	-0.0173726315053064	-0.0908948809921423	0.468346323180743	training	corewise_z
LV3003046994	ST8	15.549	4.63274	7.18672783126745	-0.683036716743389	3.59359621957182	-0.454836148941594	-0.299138760853131	-0.0742868355364185	0.134611192093487	training	corewise_z
LV3003046979	ST8	16.461	4.80993	7.29869936048704	-0.0801798125106865	1.33701119905059	0.9876248588252	0.0532785314372133	0.957920841869259	0.755010171150756	training	corewise_z
LV3003046966	ST8	17.373	4.93222	7.34478712009314	1.39339024097344	0.684454372562412	0.163541086002805	1.29660492447087	1.41983737079859	0.926258121734014	training	corewise_z
LV3003046950	ST8	18.099	5.01406	7.38147540241116	0.617828085193341	0.464673343013905	0.565529458928925	1.74104998270423	1.61797642439527	0.988462744434828	training	corewise_z
LV3003046937	ST8	18.598	4.98412	7.40669227965178	-0.360207721104827	0.141776773364441	-0.101379712331646	0.159442454250945	1.10713989274594	0.720513044362258	training	corewise_z
LV3003047041	ST8	19.097	4.96291	7.4319091568924	-0.289331829171379	2.28678728735834	0.88891005037443	2.71526238590617	1.77263630217543	1.32085739356812	training	corewise_z
LV3003047026	ST8	19.565	4.97695	7.455559454585	-0.611862029503162	5.00048106161913	0.468302508049956	1.22223457461239	1.1862582020003	1.03130994495119	training	corewise_z
LV3003047009	ST8	20.142	4.97864	7.48471804810772	-0.655312653106154	4.19848514519327	-0.37438941558955	0.229451338570948	0.350405089796564	0.406652221849108	training	corewise_z
LV3003046993	ST8	20.719	4.93248	7.51387664163044	-0.594613267559777	4.87212073940597	2.97728818831079	1.32459074176027	1.14702763262228	0.979751814428889	training	corewise_z
LV3003046978	ST8	21.296	4.90112	7.54303523515316	-0.315782788156311	1.63874782952944	0.787742922902124	3.00300319379608	1.71078467461526	1.27264276599822	training	corewise_z
LV3003046965	ST8	21.8323333333333	4.88503	7.57013874582794	0.386408249538446	1.73267261179355	1.23159587441753	4.47967016621564	2.09872569382722	1.44388544538916	training	corewise_z
LV3003046949	ST8	22.3686666666667	4.87262666666667	7.59724225650273	-0.2254693296853	0.411674013077472	0.77363903321472	3.06261199591871	1.6668453937659	1.16529178333729	training	corewise_z
LV3003046936	ST8	22.905	4.8619	7.62434576717752	0.0190571133700502	1.22301632066894	1.0341051059816	4.04082740240341	2.03101946150502	1.42708614081114	training	corewise_z
LV3003047145	ST8	23.446	4.8377	7.65168510703157	-0.683036716743389	2.84460097034017	-0.029980110964059	0.337698971290639	1.05620129613501	0.829071125569544	training	corewise_z
LV3003047132	ST8	23.987	4.81065	7.67902444688563	1.38605012423317	0.694301029508155	1.30507267709103	4.31808687641767	2.16152662719946	1.50564101058205	training	corewise_z
LV3003047118	ST8	24.528	4.81528	7.70636378673969	-0.319755843821878	0.345302763600009	0.776939934416353	2.62751035135799	1.67414716894417	1.18068937225776	training	corewise_z
LV3003047099	ST8	25.058	4.8113	7.73314724352832	-0.0785666400628426	-0.145343091222118	-0.0707299665150327	0.496697877274185	0.924270847860308	0.728658840882599	training	corewise_z
LV3003047071	ST8	26.141	4.68128	7.78787645806057	1.56375059880577	-0.226815279036811	-0.450293417969676	0.22122684609499	1.12239900223822	0.564573541059403	training	corewise_z
LV3003047169	ST8	26.6703333333333	4.72362666666667	7.81462622496645	2.76810195391319	-0.107708965620771	-0.390382007951321	0.647556660389915	1.22327366852238	0.711312532299702	training	corewise_z
LV3003047156	ST8	27.1996666666667	4.75	7.84137599187233	1.67030323344896	-0.23092009188279	-0.182844760056848	0.685191906350135	1.32659093168764	0.613068910093515	training	corewise_z
LV3003047144	ST8	27.729	4.75	7.87282431997209	2.75837530827347	-0.218914355136052	-0.0105094443537076	0.935814805398863	1.42949906190011	0.868493744628478	training	corewise_z
