sample	core	age_kyr	d18O	sst	MEleiden6	MEleiden5	MEleiden3	MEleiden1	MEleiden2	MEleiden4	harmonization_mode
LV3003046936	ST8	22.905	4.8619	7.62434576717752	2.3166464211853	127.189976394377	113.697828177666	663.122291371683	272.200939927927	204.208695580032	corewise_z
LV3003046937	ST8	18.598	4.98412	7.40669227965178	-25.4420082970573	7.43211631766974	-48.1359895958136	6.88507352951907	137.011748355647	85.3965519595317	corewise_z
LV3003046938	ST8	11.169	3.65408	6.64060093364877	33.265010134379	-56.2322230532703	455.228293401309	-21.644594985077	17.3132280201492	48.3213396542949	corewise_z
LV3003046939	ST8	2.42	3.2262	6.89400787736814	-22.129797593622	-52.6614778623548	289.559303645613	-37.5997659537958	-24.8583482163067	105.642710436596	corewise_z
LV3003046940	ST13	286.502	3.85514	5.39009750554031	-24.121788721321	-15.7478684443153	195.17769898427	29.9543027113425	141.812375579406	170.814853191121	corewise_z
LV3003046941	ST13	277.8975	4.323325	5.99686966172032	-10.5537995051367	-41.7070960768881	-60.4658908611185	-27.7081960984825	22.2932504358737	31.3719732243751	corewise_z
LV3003046942	ST13	255.8555	4.42133	5.90907678650221	-35.9609444325336	-37.8445617797393	-101.803081602666	-75.5605698467042	-94.282716762593	-76.9093424240293	corewise_z
LV3003046945	ST13	219.6394	3.965576	7.4063509745483	-39.0482899289815	-25.2573874237141	-66.7262519576738	-55.3913834263348	27.2827109919684	57.2569219390905	corewise_z
LV3003046946	ST13	205.2922	3.80539	8.20025628035142	-42.5771083035652	-35.9089488329916	-103.6431473012	-78.5223856089564	-125.691155733102	-112.115518754269	corewise_z
LV3003046947	ST13	184.183	4.43477	10.4570057570304	-30.2519064890959	-45.1484162066949	-89.9586876125113	-74.0167416631537	-113.145427769636	-96.2197235094879	corewise_z
LV3003046948	ST13	233.787	3.86769	9.17084295761282	-38.5440819648468	-43.5761121624237	-72.7737198074072	-82.2227230802542	-216.198655283867	-170.290935653762	corewise_z
LV3003046949	ST8	22.3686666666667	4.87262666666667	7.59724225650273	-15.5804125340738	37.3258766312118	76.5751663186152	497.732523189213	218.912178628261	160.187278750627	corewise_z
LV3003046950	ST8	18.099	5.01406	7.38147540241116	46.1411066698202	43.1960710340245	46.91456110514	274.292130045373	211.761293723361	130.453006002423	corewise_z
LV3003046952	ST8	10.26	3.5408	6.52726089941695	-12.4346390175567	-55.6219279182482	416.813681781756	-31.7414210490733	-46.8143010922254	27.163944076471	corewise_z
LV3003046953	ST8	1.5215	3.203925	7.82527505425364	-44.6905766798343	-48.1010385192814	206.230692321546	-14.9240900703816	-14.5000451296393	111.950974975608	corewise_z
LV3003046955	ST13	285.2056	3.835888	5.37741222464105	-35.863066619779	-30.4087040608539	44.5711370573406	8.56160987593687	156.705338980918	148.075688230144	corewise_z
LV3003046956	ST13	276.6475	4.39065	6.52530134283951	-2.07169836587083	-35.8423928940985	-43.1032824997872	-0.0534600403994336	85.9833511343717	77.7108535672648	corewise_z
LV3003046957	ST13	252.6205	4.561745	6.88150893227252	-33.0963402776845	-42.0104964624858	-99.0721825554501	-71.8125979074216	-63.070296285354	-60.1814270816997	corewise_z
