state	sample	core	age_kyr	d18O	sst	PC1	PC2	PC3	core_ord	state_inferred	harmonization_mode	state_main	state_origin	label
1	LV3003061515	ST13	71.0012	4.219988	9.97144024824405	483.559621319298	-52.5371165463139	-332.782043990763	2	1	corewise_z	1	inherited_main_window	IG-D
1	LV3003061528	ST13	95.118	3.76764	6.56201237466214	296.845727927132	-37.0732874674387	-276.329847542942	2	1	corewise_z	1	inherited_main_window	IG-D
1	LV3003061529	ST13	66.015	4.56805	8.02667098129265	358.292689135924	-48.7692439107781	-157.229881962836	2	1	corewise_z	1	inherited_main_window	IG-D
1	LV3003061541	ST13	91.09	4.0255	7.62752397756975	89.8595685768204	39.6453426363389	-77.3031715137711	2	1	corewise_z	1	inherited_main_window	IG-D
1	LV3003061543	ST13	62.293	4.57949	7.91259892566273	299.507222712893	20.9639936769277	-149.017066917277	2	1	corewise_z	1	inherited_main_window	IG-D
1	LV3003061556	ST13	86.6174	4.134088	8.5404217959206	31.267223525774	16.1298469262058	-105.13700255835	2	1	corewise_z	1	inherited_main_window	IG-D
1	LV3003061557	ST13	58.082	4.48508	7.14615019137165	42.4573572360697	9.84183500176919	-128.714480994192	2	1	corewise_z	1	inherited_main_window	IG-D
1	LV3003061569	ST13	81.6946	3.806108	7.84255695133946	185.501532548278	-2.63739633536613	-198.920947894573	2	1	corewise_z	1	inherited_main_window	IG-D
1	LV7001898088	ST13	6.031	3.33124	6.31439442739767	307.622391998584	-3.03690125466705	-163.403934437922	2	1	corewise_z	1	inherited_main_window	IG-D
1	LV7001898100	ST13	5.659	3.30613	6.37410536713431	115.480306884845	-36.3124410294251	-243.134227748537	2	1	corewise_z	1	inherited_main_window	IG-D
1	LV7008867107	GeoB25202_R1	306.1195	4.044025	8.72356062466667	179.365444953611	-24.0461149163575	-117.255347213087	3	1	corewise_z		inferred_extended_only	IG-D
1	LV7008867113	GeoB25202_R1	422.7205	3.99764	7.21069035797222	81.2239758501764	-22.2600706549085	12.2802679225939	3	1	corewise_z		inferred_extended_only	IG-D
1	LV7008867115	GeoB25202_R1	469.6485	4.39327	9.0031061871	144.136340547241	-84.0569342593	-131.739319728638	3	1	corewise_z		inferred_extended_only	IG-D
1	LV7008867119	GeoB25202_R2	306.1195	4.044025	8.72356062466667	2.55019746102042	-0.0723995529727934	-1.12953285730715	4	1	corewise_z		inferred_extended_only	IG-D
1	LV7008867125	GeoB25202_R2	422.7205	3.99764	7.21069035797222	1.63350968213346	-0.581044905944009	0.218487830316724	4	1	corewise_z		inferred_extended_only	IG-D
1	LV7008867134	GeoB25202_R1	370.7045	4.296595	9.4468133647	146.679943298616	-56.9890528917988	-180.905425919866	3	1	corewise_z		inferred_extended_only	IG-D
1	LV7008867135	GeoB25202_R1	376.463	4.20537	13.2842023041667	-143.517029616131	-80.9763414260975	-69.709008058043	3	1	corewise_z		inferred_extended_only	IG-D
1	LV7008867137	GeoB25202_R1	408.3005	3.185025	4.64645324303571	27.2395601765948	-6.88756445339114	-71.0712483129167	3	1	corewise_z		inferred_extended_only	IG-D
1	LV7008867139	GeoB25202_R1	467.422	4.41468	8.464135617625	66.5216236397242	8.13893176988133	-34.1138831167803	3	1	corewise_z		inferred_extended_only	IG-D
1	LV7008867142	GeoB25202_R1	273.1135	4.43319	5.80428117764286	190.927668169192	34.5969945936445	-24.1109962393652	3	1	corewise_z		inferred_extended_only	IG-D
1	LV7008867146	GeoB25202_R2	370.7045	4.296595	9.4468133647	0.402574153059113	-0.270401310453584	-0.910350055735499	4	1	corewise_z		inferred_extended_only	IG-D
1	LV7008867147	GeoB25202_R2	376.463	4.20537	13.2842023041667	-0.510080727054182	-1.1273525392842	-0.489171908220672	4	1	corewise_z		inferred_extended_only	IG-D
1	LV7008867149	GeoB25202_R2	408.3005	3.185025	4.64645324303571	0.825878588166187	-0.160856916196664	-0.560127290473713	4	1	corewise_z		inferred_extended_only	IG-D
1	LV7008867158	GeoB25202_R1	367.2945	4.378835	6.6037421907	88.3034836943474	-33.3310116088971	-56.1947657233041	3	1	corewise_z		inferred_extended_only	IG-D
