sample	MEgrey	MEleiden1	MEleiden2	MEleiden3	MEleiden4	MEleiden5	MEleiden6
LV7008886714	-1.42079330399422	-3.70914457147957	-2.63806981553701	10.7417403957219	9.26575233959097	-1.65592249492226	-2.84961731592467
LV7008886690	-0.839758863568998	-6.08695696318342	-13.8664755875249	-7.7373582524431	-8.10969683732729	20.3380576112891	-3.46819735736922
LV7008886751	1.82408618412542	-3.71849826930993	1.1592185140069	-6.58887197483624	2.35115426581113	27.094990864081	-3.33586679310493
LV7008886727	-1.42431401284333	37.5687281015352	16.9023867555877	5.41704296178616	12.0931647090937	15.2910868903609	-2.89323984302543
LV7008886703	-0.44691346470686	6.67654783188568	12.8260620125923	-1.92114345762947	7.19097217661097	-1.476221993243	20.2609218661685
LV7008886776	0.104692463171082	10.4323929098711	14.6802682186176	6.33103903145542	10.243933735762	-2.97698775673998	14.7734947028655
LV7008886740	0.970701490508261	-4.23622398157563	6.3411463920471	-4.19403148851064	4.07249613352354	-3.2746049253036	0.451107026897175
LV7008886221	1.19751164564649	-5.55740906851365	0.467582887127173	-7.3725439754408	4.6022980616376	-2.66088541096564	-1.57314335850205
LV7008886692	0.467154535962759	-7.16301336103547	-8.84336585693822	-7.66192993038231	-0.973583964463782	-3.07135231193653	-1.8537423815212
LV7008886765	2.27572988297672	-4.33782475906078	4.9673753705539	-5.65670739593356	5.80266499760224	-2.33767194358654	0.323109000113176
LV7008886741	-1.37154654863015	-7.1157127088992	-15.5649860828974	-8.17078851747019	-23.7735103613425	-3.82964054621417	-3.46819735736922
LV7008886705	-1.42079330399422	-6.95026325694309	-14.9845215132947	-8.07450268222028	-11.2928579615465	-2.90769968087621	-0.245137147422848
LV7008886778	22.663275505716	-0.992728442185734	7.99910309349273	23.5791558524029	12.8278158029889	-2.2446008414621	-2.80374321649294
LV7008886754	13.6818941869957	4.65555655566597	9.47880051831127	30.8459718983584	13.1018692811337	0.235999867395316	1.26507307300636
LV7008886730	19.326177575667	-0.463132816017555	9.00629141874807	16.4096422500039	13.3237945895618	-1.3835778305831	-0.438660081917135
LV7008886706	19.5519609009947	-1.99693207901058	6.66046768312238	15.6569483231344	12.0146781619805	-1.84953651016616	-3.21472877121731
LV7008886743	27.779082632561	-6.70551411066693	-8.58208221112678	0.196404843409112	5.73397231745239	-2.44579835937983	-3.46819735736922
LV7008886719	19.615960142749	-6.84625373616037	-11.6168893149413	-6.07133916752286	4.07136245715922	-1.96981373445286	-2.82444140711237
LV7008886695	28.0318433782683	-5.79327204278299	-1.99689594370466	6.17434827357795	9.47841569336534	-2.30288571804635	-3.07126243293149
LV7008886768	25.9167479094477	-6.50613385263319	1.59841529005204	8.85015792134522	8.91399995409136	-2.65593596415584	-3.12244270403484
LV7008886744	25.3683672014226	-6.73510412995726	-14.9010420569805	-3.90434630528329	0.732492263960204	-1.83550994066446	-3.25821505492258
LV7008886708	28.9463059815255	-6.35214434008409	-11.8515359593881	1.09511712589014	4.85588430595008	-0.530364564839054	-2.11858876927828
LV7008886781	-1.44298350982702	-7.48279356235499	-15.7391977053673	-8.56804311565792	-26.6286010133458	-3.89149593175567	-3.46819735736922
