sample	harmonization_mode	state_extended	state_main	match
LV3003061541	corewise_z	1	1	TRUE
LV3003061543	corewise_z	1	1	TRUE
LV3003061544	corewise_z	4	4	TRUE
LV3003061545	corewise_z	5	5	TRUE
LV3003061546	corewise_z	3	3	TRUE
LV3003061555	corewise_z	2	2	TRUE
LV3003061556	corewise_z	1	1	TRUE
LV3003061557	corewise_z	1	1	TRUE
LV3003061558	corewise_z	5	5	TRUE
LV3003061559	corewise_z	5	5	TRUE
LV3003061568	corewise_z	2	2	TRUE
LV3003061569	corewise_z	1	1	TRUE
LV3003061570	corewise_z	1	4	FALSE
LV3003061571	corewise_z	5	5	TRUE
LV3003061572	corewise_z	3	3	TRUE
LV7001898064	corewise_z	3	3	TRUE
LV7001898076	corewise_z	3	3	TRUE
LV7001898088	corewise_z	1	1	TRUE
LV7001898100	corewise_z	1	1	TRUE
LV7008886221	corewise_z	4	4	TRUE
LV7008886222	corewise_z	4	4	TRUE
LV7008886226	corewise_z	4	4	TRUE
LV7008886228	corewise_z	4	2	FALSE
LV7008886229	corewise_z	4	1	FALSE
LV7008886690	corewise_z	3	3	TRUE
LV7008886692	corewise_z	4	4	TRUE
LV7008886695	corewise_z	1	1	TRUE
LV7008886702	corewise_z	4	3	FALSE
LV7008886703	corewise_z	5	5	TRUE
LV7008886704	corewise_z	4	4	TRUE
LV7008886705	corewise_z	4	4	TRUE
LV7008886706	corewise_z	1	1	TRUE
LV7008886707	corewise_z	4	1	FALSE
LV7008886708	corewise_z	1	1	TRUE
LV7008886709	corewise_z	4	4	TRUE
LV7008886714	corewise_z	1	1	TRUE
LV7008886715	corewise_z	4	5	FALSE
LV7008886717	corewise_z	4	4	TRUE
LV7008886718	corewise_z	4	1	FALSE
LV7008886719	corewise_z	4	1	FALSE
LV7008886720	corewise_z	4	1	FALSE
LV7008886721	corewise_z	4	4	TRUE
LV7008886726	corewise_z	4	1	FALSE
LV7008886727	corewise_z	3	3	TRUE
LV7008886728	corewise_z	4	5	FALSE
LV7008886730	corewise_z	1	1	TRUE
LV7008886731	corewise_z	4	1	FALSE
LV7008886739	corewise_z	4	3	FALSE
LV7008886740	corewise_z	4	4	TRUE
LV7008886741	corewise_z	2	2	TRUE
LV7008886742	corewise_z	4	1	FALSE
LV7008886743	corewise_z	1	1	TRUE
LV7008886744	corewise_z	1	1	TRUE
LV7008886745	corewise_z	4	4	TRUE
LV7008886751	corewise_z	3	3	TRUE
LV7008886752	corewise_z	4	5	FALSE
LV7008886753	corewise_z	4	4	TRUE
LV7008886754	corewise_z	1	1	TRUE
LV7008886755	corewise_z	4	1	FALSE
LV7008886756	corewise_z	4	1	FALSE
LV7008886757	corewise_z	2	2	TRUE
LV7008886763	corewise_z	4	3	FALSE
LV7008886765	corewise_z	4	4	TRUE
LV7008886766	corewise_z	4	1	FALSE
LV7008886768	corewise_z	1	1	TRUE
LV7008886769	corewise_z	4	2	FALSE
LV7008886776	corewise_z	5	5	TRUE
LV7008886778	corewise_z	1	1	TRUE
LV7008886780	corewise_z	4	1	FALSE
LV7008886781	corewise_z	2	2	TRUE
