sample	MEblack	MEpink	MEred	MEgreen	MEturquoise	MEbrown	MEmagenta	MEblue	MEpurple	MEyellow	MEgrey
LV3003046953	0.174778549637381	0.107070498853304	0.0563935602084847	0.058860895988347	0.0733073703901869	0.15375996350645	0.192110284283155	0.0863352257187603	0.0143534959635347	0.00358594014554125	0.0747978623312361
LV3003046939	0.179815310404994	0.0944137713680136	0.0268753344294735	0.0372770526250175	0.0566481988769938	0.119783679517416	0.175545397446891	0.0473655522569367	-0.0191688671779013	-0.0363182605400736	0.0389067480962921
LV3003047045	0.200118201832326	0.12701740301015	0.0500153000182531	0.0501355413677162	0.0736900491686709	0.128021462808889	0.187094059800103	0.0644315675878956	-0.00069978879983122	-0.031294242061904	0.063381772033578
LV3003047028	0.0547850971154586	0.0994859747809296	0.12967985995337	0.12580854833892	0.130076664220945	-0.0880091643957456	-0.00116046104009091	0.0808738245542472	0.0628841865414961	-0.0108481203827138	0.13481055934945
LV3003047013	0.193496167388877	0.149019369484723	0.0731163865089648	0.0683166367157909	0.105967381641955	0.118165943031536	0.175767034573957	0.0652305420431943	0.0177382583691934	-0.0289282827598889	0.0951818085119001
LV3003046995	0.163110800235569	0.108144382447609	0.0266612146830659	0.0290142447405269	0.0453930020629651	0.0823999831510162	0.146614938743409	0.0356787173023069	-0.0193397660655214	-0.0351910218830972	0.0303725019549372
LV3003046980	0.176037498691904	0.146465537769813	0.0441074732242352	0.0388315683971365	0.0836340586368257	0.0944543322959145	0.16656778899354	0.053979237285289	-0.00541509901428053	-0.0423487611162953	0.069432962622848
LV3003046952	0.187296116981301	0.208354941726057	0.0405306583698895	0.0387772353511856	0.0874758736243825	0.0934219671595514	0.169529748137804	0.0579596118884146	-0.00826992062735964	-0.0130280205165556	0.0582348859540764
LV3003046938	0.177511715739908	0.198252398144568	0.0250092588770413	0.0444485325610219	0.0775209909454614	0.0900093109047635	0.163300479056561	0.054547795813533	-0.0206582685127926	0.0221177890378148	0.0430594021502688
LV3003047044	-0.024090405745444	0.0133036828051869	0.016980581492585	0.0687742786246943	0.0355772766011244	0.064746643870149	-0.0196370129703754	0.0151458748544414	0.107158613417491	0.103206201031933	0.0265732022622304
LV3003047027	0.137498750199199	0.167632100873707	0.010116103284554	0.0118891456208136	0.060644439044856	0.092097427891485	0.135355670483491	0.0556401502435376	0.0225159786576854	0.0585871014636256	0.0341689312182721
LV3003047010	0.204963665362535	0.191135584322121	0.0544892438155174	0.0493837463483764	0.103944687422307	0.116199003633263	0.184548018774446	0.0762257457230545	0.00287107297754412	-0.0113853971326463	0.0676367144607284
LV3003046994	-0.0457095814376445	-0.018155219138107	0.00801915143387793	-0.00854625348855335	0.0385523770179445	-0.00362013021954295	-0.0825726931705199	-0.0193788867214207	-0.0369949138067773	-0.000133890194010214	0.011453760931375
LV3003046979	0.0384634133001568	-0.0205960176570239	-0.0628020896155489	-0.0622698608842522	-0.0397894712279622	0.000589102982615744	0.0344105367849104	-0.0403537697605317	-0.0139003678355364	0.0282587703389184	-0.051248788755517
LV3003046966	-0.0770307675143319	-0.0573402592870469	-0.0649671867881427	-0.0133730681585686	-0.0254310022267913	0.0246249583914062	-0.021297913590552	0.0187260014258034	0.14316305955337	0.0855951464730828	-0.0630476213737427
LV3003046950	-0.0612716507003658	-0.0593838725183136	-0.0489703534854871	-0.0238247194178064	-0.0119827049475562	0.056736611361391	0.0443224411963988	0.0717176739567212	0.141556646781208	0.104937263293372	-0.0506518890060098
LV3003046937	-0.0635213809768489	-0.0433795708793072	-0.0309734084870891	-0.0333205117680508	-0.0244616404978701	0.0508905911373448	0.0318350285665849	0.00827084216238851	0.032781329212155	0.0852923845404071	-0.049489266047448
LV3003047041	-0.103778033784313	-0.105202715110466	-0.111960885571705	-0.11281434389126	-0.0668475832610234	0.0107192539284913	0.0225603558909101	0.0728374036514922	0.0176801290436896	0.0495082637798818	-0.10530970872378
LV3003047026	-0.0832447881331687	-0.0595198527898821	-0.0691651988435725	-0.0785512022109637	0.00619089466199227	0.00936552432025294	-0.0067432736278328	0.00579899250000237	-0.0948414539772767	0.0290087861011981	-0.0479039039209558
LV3003047009	-0.0446709557084959	-0.00347831241709961	0.00888637685920214	-0.00128925683399072	0.0610400634214461	0.0452145634589038	-0.0687340735603465	0.0120674362818187	-0.0397540180060116	0.0344908264476408	0.0342594828451409
LV3003046993	0.0763453200599992	0.0384067733397778	-0.0702286739911811	-0.0780227254358656	0.0355302226998076	0.0119756752896631	0.0597300488157562	0.0182102743860129	-0.0854356322790254	0.0258439645017965	-0.0611769343006107
LV3003046978	-0.0748062147221907	-0.0596014296298205	-0.0442831507989737	-0.0599641836827797	-0.0177652941736113	0.0500957341405488	0.0543344861839169	0.115146515208879	0.0880617788903071	0.0915832679810502	-0.0308326116993593
LV3003046965	-0.0835361426140347	-0.092642782269234	-0.105129952409446	-0.0666526584235229	-0.0212398051871813	0.0371170075647818	0.0502661565072804	0.11934586016984	0.104836294314504	0.079910974287999	-0.0913490892385441
LV3003046949	-0.0651082313598144	-0.0474224579900578	-0.0563519406964249	-0.0531742005141819	-0.0214038678918702	0.0593107732046908	0.0514280602150034	0.121809463000828	0.118238453226711	0.099577796616742	-0.043736077273985
LV3003046936	-0.0941577433175134	-0.105116901088553	-0.111418099146067	-0.106946077319773	-0.0410568308561503	0.0230841558582166	0.0340133777561214	0.100743497516097	0.0869406872927915	0.0696936136933521	-0.110310458017555
LV3003047145	-0.0829596876589282	-0.0626459274583821	-0.0317747410019196	-0.0595024595024816	-0.0132255277368967	0.0262898224380916	-0.0138558621525247	-0.00149315940425971	-0.037477253262998	0.0592071829848743	-0.0406802462727395
LV3003047132	-0.0765796214268631	-0.102917980426586	-0.102629791827265	-0.0520526582994553	-0.0288853323093342	0.041935665900048	0.0390486406877099	0.121303024531936	0.0992186380697187	0.0839861308354885	-0.070085626478379
LV3003047118	-0.0676113030330012	-0.0605652947301347	-0.0608872264002787	-0.0658228241431999	-0.0322755445624919	0.0611557383765688	0.0608796004392201	0.106550732969643	-0.0153708105217261	0.0825385508482728	-0.0594960265369021
LV3003047099	-0.105114437122841	-0.0868572194492423	-0.0837237530214195	-0.0877253157351942	-0.0772112714913061	-0.0114816608499567	-0.0410971086062604	-0.0298943061283337	0.0622093187881482	0.026679362816814	-0.10279758401156
LV3003047071	-0.088589241630563	-0.0639822540844833	-0.0585275879380127	-0.0134313206607224	-0.0492178605118427	-0.0024555383986503	-0.0677272258281298	-0.0431855322563718	0.132047764788285	0.0730103000489094	-0.0662607622129258
LV3003047169	-0.109264146099705	-0.0954670991825787	-0.0813805474948818	0.0176139690419897	-0.0732845461602804	-0.02643321110091	-0.0684389479012347	-0.0423460075528914	0.109995505049903	0.0492981869374146	-0.106975683022084
LV3003047156	-0.0834385402341198	-0.063243411821587	-0.0499457074110112	0.0202813816679936	-0.0401372917708458	0.0202346152847171	-0.00780107364374445	-0.00203905409880322	0.117070083071547	0.0828888719705896	-0.060136062304958
LV3003047144	-0.0452706364744835	-0.0153237472334287	-0.00196703740110955	0.113467435308452	0.0202483601420732	0.087688091346082	0.0617921424055645	0.0563488996086752	0.177142324460719	0.140156017453299	-0.00494057387878051
LV3003047131	-0.0733187352403247	-0.10301103330928	-0.099369787154598	-0.0699570760788595	-0.105285611907208	-0.0404118393135566	-0.0145244113522432	-0.105733780458102	0.0228467506298376	0.00262362725856704	-0.13103700720298
LV3003047117	-0.0862756308121568	-0.0830962068253464	-0.0765391038964792	-0.0390539918956547	-0.0819579784522336	-0.0247638723789848	-0.0452988430132419	-0.0859844109557849	-0.0504440035606639	-0.00795130797364091	-0.106697769144889
LV3003047098	-0.0916847398691893	-0.0735325396097139	-0.0610779995863476	0.0149294970875617	-0.0635498000358605	-0.0588166024642575	-0.113938165508326	-0.0826633592632029	-0.0198146716627572	-0.0382068809947529	-0.09444484828317
LV3003047085	-0.0969986641187836	-0.0801629448970147	-0.0685572862021259	0.0580007130750549	-0.0564383154655961	-0.0231767832246081	-0.0924405361952791	-0.0503394305876062	0.0997517260952767	0.0387455365793227	-0.100799206209233
LV3003047070	-0.0775593701940662	-0.0559077257471218	-0.0436543671992785	0.0409557556560731	-0.041265055574061	-0.00491170676967005	-0.0553101225248752	-0.0575670864219284	-0.0280746043208752	0.0282117300863331	-0.0630840247633243
LV3003047168	-0.094932045308209	-0.0784879321863294	-0.0746989265835942	0.0357365486171033	-0.0519292181579038	-0.0236291632289341	-0.0702474599351785	-0.0525128929561575	0.108205109128428	0.0299579004513572	-0.0942176262902277
LV3003047155	-0.0672978449962112	-0.0431039920595701	-0.0306635182479897	0.097938575042227	-0.0233660761826329	-0.0400201656461566	-0.120562571798281	-0.050404301890349	-0.0228741769020561	-0.00593101421705983	-0.0423048666027429
LV3003047143	-0.0600427675415774	-0.0663148453085656	-0.0742002370428531	0.00878982413961396	-0.0708226597231557	-0.0151746485084391	-0.0336564643723458	-0.080799643901416	-0.0751640946540493	0.0209476594016898	-0.0849842306486415
LV3003047130	-0.077974720661468	-0.0901297261452812	-0.0887329055915026	-0.0305015563050002	-0.0948840846955163	-0.0518651766813664	-0.0729531227376843	-0.101515088868184	-0.0478561873126361	-0.00277026705541161	-0.121136388089193
LV3003047114	-0.023609141829382	-0.0216801481895447	-0.0316004941016512	-0.0155531364913868	-0.0346602948305701	0.00618369749344082	-0.0491433824421946	-0.0554345768101866	-0.0501464467361538	0.0243798052326117	-0.053083722632841
LV3003047097	-0.0332943278271456	-0.0459579252263901	-0.0375313406096288	0.0269694790850467	-0.0368314921030273	0.0201827231644453	-0.0293079712359777	-0.0498812547827612	-0.0298023329839111	0.0416119505856073	-0.0474878399591126
LV3003047084	0.0333476260989777	0.00461739562908247	-0.0533986836280399	-0.0348641475039946	-0.0550432059536326	0.0152850207571582	0.027886432100045	-0.0332880904822462	-0.077577079213279	0.0196638590161707	-0.0602168386817061
