label	core	flowcell	depth_in_core_cm	y_bp	library_concentration	temp	temp_method	mis	initial	avg_leng_initial	derep	avg_len_derep	sst	age_kyr
LV7008886714	GeoB25202_R1		4.5	692	129.27	8.77194686709375	uk37_alkenone	3.23	360661611	64.2	217864971	64.8	8.77194686709375	0.692
LV7008886726	GeoB25202_R2		4.5	692	204.6	8.77194686709375	uk37_alkenone	3.23	210895995	63.5	141214842	64.2	8.77194686709375	0.692
LV3003046953	ST8		10	1521.5	82.74			3.203925	268907517	82.4	244179416	82.6	7.82527505425364	1.5215
LV7008886690	GeoB25202_R1		20.5	2324	49.49	6.90941715213889	uk37_alkenone	3.21564	490228857	43.4	46279822	44.7	6.90941715213889	2.324
LV7008886702	GeoB25202_R2		20.5	2324	70.74	6.90941715213889	uk37_alkenone	3.21564	331982111	48.7	72925388	49.9	6.90941715213889	2.324
LV3003046939	ST8		15	2420	137.77			3.2262	174832149	79.3	145219212	79.8	6.89400787736814	2.42
LV3003047045	ST8		20	3586.5	111.57			3.295865	151675055	80.4	128523596	81.5	6.70676913757569	3.5865
LV3003047028	ST8		25	4753	124.79			3.26988	3059207	78.3	2878411	79.3	6.51953039778323	4.753
LV7001898100	ST13		5	5659	187.66			3.30613	172884713	66.3	153315655	67.1	6.37410536713431	5.659
LV3003047013	ST8		30	5885	131.96	6.21497035449252	mgca_jonkers_2013	3.32195	106947849	79.8	86684502	81.7	6.33782936611152	5.885
LV7001898088	ST13		10	6031	202.91			3.33124	117014401	60.1	89334062	61.3	6.31439442739767	6.031
LV7001898076	ST13		15	6429	184.76			3.34716	115346098	55.3	78619492	56	6.25051014241062	6.429
LV7001898064	ST13		20	6808	117.6			3.36232	104626976	54	53467555	54.8	6.18967560972194	6.808
LV3003046995	ST8		35	6970.5	117	5.81821372224369	mgca_jonkers_2013	3.36882	178414482	82.8	152189789	85.2	6.16359220190688	6.9705
LV7008886751	GeoB25202_R1		38.5	7133.5	84.76	6.13742853745238	uk37_alkenone	3.376675	167350731	43.1	40174994	44.4	6.13742853745238	7.1335
LV7008886763	GeoB25202_R2		38.5	7133.5	37.96	6.13742853745238	uk37_alkenone	3.376675	153803085	44.3	35210092	46.4	6.13742853745238	7.1335
LV3003061546	ST13		25	7197	267.14			3.37985	57808931	62.4	41212328	62.7	6.14534613060279	7.197
LV3003061533	ST13		30	7912	290.8			3.4156	103171906	59.1	63404336	59.5	6.23449698261132	7.912
LV3003046980	ST8		40	8056	95.39	5.42145708999487	mgca_jonkers_2013	3.41776	84644758	80.9	70313255	82.7	6.25245183951933	8.056
LV3003061518	ST13		35	9804	303.98			3.49256	114542623	68.5	78968770	69.5	6.47040385254158	9.804
LV3003046952	ST8		50	10260	116.29	4.62794382549722	mgca_jonkers_2013	3.5408	88430474	83.4	60192917	86	6.52726089941695	10.26
LV3003046938	ST8		55	11169	92.71	4.63006993265698	mgca_jonkers_2013	3.65408	135351707	83.8	73358025	85.5	6.64060093364877	11.169
LV3003061506	ST13		40	11950	164.07			3.904	63589346	59.2	48096504	60.6	6.73798109507347	11.95
LV3003047044	ST8		60	12078	46.49	4.63219603981674	mgca_jonkers_2013	3.93092	63682406	81.2	26806847	83.3	6.75394096788059	12.078
LV3003047027	ST8		65	12877	149.32	5.04178088906654	mgca_jonkers_2013	4.04278	166139455	84.4	112662581	86.9	6.85356548641879	12.877
LV3003047010	ST8		70	13676	131.81	5.45136573831635	mgca_jonkers_2013	4.20872	124044083	83.1	98890535	85.9	6.95319000495699	13.676
LV3003061492	ST13		45	14437	376.09			4.37177	119240881	67.3	80494467	68	7.04807643625558	14.437
LV3003046994	ST8		79.5	15549	87.72	4.99039754502124	mgca_jonkers_2013	4.63274	71148178	57.2	33076881	57.9	7.18672783126745	15.549
LV7008886727	GeoB25202_R1		59.5	16437.5	79.12	7.29751179212	uk37_alkenone	4.806875	181407355	47.9	57424152	48.6	7.29751179212	16.4375
LV7008886739	GeoB25202_R2		59.5	16437.5	82.56	7.29751179212	uk37_alkenone	4.806875	201287627	49.7	67761404	50.8	7.29751179212	16.4375
LV3003046979	ST8		84.5	16461	131.92	4.74778270644487	mgca_jonkers_2013	4.80993	62932113	71.5	35885630	73.7	7.29869936048704	16.461
LV3003061477	ST13		50	16726	301.74			4.84438	125495327	67.8	84929726	70.8	7.31209108888136	16.726
LV3003046966	ST8		89.5	17373	104.95	4.50516786786849	mgca_jonkers_2013	4.93222	64053262	73.4	33174625	75	7.34478712009314	17.373
LV3003046950	ST8		94.5	18099	104.24	2.39521562696755	mgca_jonkers_2013	5.01406	54550611	72.2	30319286	73.7	7.38147540241116	18.099
LV3003046937	ST8		99.5	18598	100.16	2.93302273038462	mgca_jonkers_2013	4.98412	37032447	66.6	19341245	67.9	7.40669227965178	18.598
LV3003047041	ST8		104.5	19097	105.88	3.47082983380169	mgca_jonkers_2013	4.96291	92918951	73.6	51583899	75.3	7.4319091568924	19.097
LV3003061572	ST13		55	19099	341.81			4.96297	148847098	75.5	75948836	100.4	7.43201022654066	19.099
LV3003047026	ST8		109.5	19565	12.35	2.88473711426933	mgca_jonkers_2013	4.97695	948154669	61.9	126124116	64.1	7.455559454585	19.565
