age_kyr	state_r1	state_r2_interp	match
0.692	5	5	TRUE
2.324	3	3	TRUE
7.1335	3	3	TRUE
16.4375	3	3	TRUE
27.6855	1	1	TRUE
36.607	1	1	TRUE
43.105	1	1	TRUE
50.3555	1	1	TRUE
53.875	1	1	TRUE
58.181	1	1	TRUE
58.997	2	2	TRUE
59.738	2	2	TRUE
68.149	4	4	TRUE
71.8895	4	4	TRUE
75.351	4	4	TRUE
79.0255	4	4	TRUE
81.6705	4	4	TRUE
87.2825	2	2	TRUE
95.3875	4	4	TRUE
102.2955	4	4	TRUE
105.5785	2	4	FALSE
109.6305	4	4	TRUE
120.0235	2	2	TRUE
123.1195	2	2	TRUE
136.2775	1	2	FALSE
147.206	1	1	TRUE
