eigengene	PC1	PC2	PC3
MEbrown	0.267864425070914	-0.700985419014858	0.408000061630559
MEgreen	0.320574135450942	0.579568460936576	0.733630751291689
MEblue	0.43879066661578	-0.354579116222361	0.139276683299329
MEturquoise	0.5648103846807	0.202685218971925	-0.272763827708212
MEyellow	0.560297111994189	0.076890791161527	-0.44891398981515
