sample	MEbrown	MEgreen	MEblue	MEturquoise	MEyellow	MEgrey
LV3003046953	-0.0279890420408935	0.139708570177567	0.00456691082125604	0.0558776440252355	0.024721370820417	-0.00809868951978335
LV3003046939	-0.029484637820138	0.161877541485055	-0.00786137595162928	0.0525741845459467	0.0160482931543757	-0.00214822508313903
LV3003047045	-0.0294846378201383	0.167843872210365	-0.0152440173015168	0.0416178929231714	0.00156204628722996	-0.0121432160948237
LV3003047028	-0.0294846378201382	-0.0564896420225218	-0.0344572624621079	-0.164145838976351	-0.138559764877118	-0.0786844588244192
LV3003047013	-0.0294846378201382	0.146864835754937	-0.0184435431743559	0.0163930329974755	-0.0258625832494967	-0.0238691547668058
LV3003046995	-0.0294846378201382	0.15027677754104	-0.0133339441698078	0.0239305534235442	-0.0088360411998213	-0.0177079073780362
LV3003046980	-0.0294846378201382	0.147276084096408	-0.0180014875615636	0.0231214781933756	-0.0173821644907142	-0.00139815492359687
LV3003046952	-0.0294846378201382	0.167357908235974	-0.00779749018119061	0.016019756559133	0.0019967438868303	0.0166385534983034
LV3003046938	-0.0294846378201382	0.172594633144897	0.000627994767728378	0.0257276621487392	0.0310591468611481	0.037599681199691
LV3003047044	-0.0258662158798568	-0.0472358959388125	-0.0278037447466026	0.00897581450001117	0.0422228763225816	0.0185554015235084
LV3003047027	-0.0258626373212367	0.144785794425129	0.00229852672925066	0.040188544516485	0.0478572681771175	0.061560413781184
LV3003047010	-0.0275968548442838	0.162981496855684	0.00503053698717047	0.0301176515625562	-0.000404725770144366	0.00917519070669487
LV3003046994	0.242303560205824	-0.0533426078737604	-0.0331305730570475	-0.00948255792292383	-0.0174739803870939	-0.0238319089023872
LV3003046979	0.0934404969501583	0.0810704672600168	-0.0203735056054227	0.0375477442273391	0.0514359083977393	0.0389620634044658
LV3003046966	0.0444447887426071	-0.0377162687070511	0.0308962113761049	0.0548168126957628	0.0752720053859626	0.106953875135768
LV3003046950	0.0293051479014079	-0.0134667209625099	0.0875671690593736	0.0623877313041546	0.0873897246454317	0.115058148680675
LV3003046937	0.00831710198458956	-0.032056333337725	0.0044465554138542	0.0431455077260653	0.0647651802863403	0.0199243267308865
LV3003047041	0.15705671962087	0.00497998861465542	0.181631789651063	0.0808038145571324	0.0927632809385421	0.141632294645401
