state	state_label	n_samples	mean_age_kyr	MEbrown	MEgreen	MEblue	MEturquoise	MEyellow
1	G-A	75	44.7585815254422	-0.22116783008018	-0.311401111382755	-0.232463791370249	0.299024965267799	0.151979130065637
2	IG-D	51	91.2622360130719	-0.350430233774281	-0.495152130798381	-0.513218341561326	-1.15715820402318	-1.03137155380977
3	IG-A	32	15.12965625	1.68767719524774	-0.16486613545561	1.03152577077737	0.495913470920371	0.265756811198476
4	IG-B	43	79.5866976744187	-0.544647785757559	1.66050373734844	-0.479479241577634	1.5568099135428	0.186051455172445
5	IG-C	13	6.42034615384615	-0.259039543832733	0.879874031815708	-0.21197934690922	0.55827095067938	-0.152058611453336
