sample	MEpink	MEbrown	MEmagenta	MEblue	MEred	MEturquoise	MEyellow	MEgreen	MEblack	MEpurple	MEgrey
LV3003046953	0.0684931940194154	0.0347288661376867	-0.0153519630074359	-0.072027795255605	-0.0857688158610593	-0.078447778312863	-0.0716541760637331	-0.1796355520554	-0.142863120413636	-0.0741070290540284	-0.0627899315406614
LV3003046939	0.12535143050784	0.11139984155383	0.126955287986274	-0.0673934514942076	-0.0714641749437629	-0.0764410541453583	-0.050694064388586	-0.14898443471734	-0.0984746243810044	-0.0315826324494292	-0.0575395256743713
LV3003047045	0.147224291431119	0.0998091199089504	0.0547759497126823	-0.0591474818158634	-0.0650787355189229	-0.0673292091792483	-0.0418805026537115	-0.14215669828892	-0.078837311932314	0.00526144618480069	-0.057029576963032
LV3003047028	0.0594831250297524	0.0431499058773831	0.0260904095201048	0.0313713358594486	0.0585586793596798	0.0747630613021839	0.00123653071927001	-0.034492283425851	-0.0552097529894464	0.0320579975361513	0.0239580320070051
LV3003047013	0.134128301674858	0.168877373667144	0.213557823017209	-0.0485232722380638	-0.0525944345559567	-0.0661606579478487	-0.0482406098010143	-0.131018918315058	-0.0569002570513218	5.42481218675405e-05	-0.0437424560790235
LV3003046995	0.11910169101291	0.109090961847277	0.0658238598202054	-0.0520755010286569	-0.040798878442351	-0.0587740441742865	-0.0523590779524315	-0.116254149294805	-0.0568453292700706	0.0402478995428538	-0.0442797589540331
LV3003046980	0.137605330687182	0.226066072537155	0.357344809456765	-0.0480984549725797	-0.0501281358879898	-0.0549330038262864	-0.059097222444198	-0.0962678991811116	-0.0477039912735734	0.0162004468927468	-0.0413634979127695
LV3003046952	0.164013472586236	0.275713654860202	0.344845774310096	-0.0474438734097747	-0.0429242276187196	-0.0417306851548676	-0.0189602059522296	-0.0531869192559327	-0.0217061999483985	0.0335782166858083	-0.0461424926015588
LV3003046938	0.157004739396005	0.296042264719269	0.346464271680136	-0.0554086214694348	-0.0459582078143504	-0.0365923407042146	0.0176624690917697	-0.0144248866731079	-0.0243335245295269	0.0213014571114356	-0.0590986057153539
LV3003047044	-0.0514322988834649	-0.02391195145951	-0.0162978418018937	-0.0293268535348118	-0.00623171642070359	-0.00930583706897293	0.0587713235967056	0.0900008966714945	0.0520810239499801	0.0608229745028828	-0.0563645989409539
LV3003047027	0.125096575417582	0.259841476239035	0.288652794582504	-0.0467520472252202	-0.0168911661648743	-0.0142735006419442	-0.00431087675146471	0.0167640217285432	-0.00235822374632977	0.0333740583333908	-0.0544329093703946
LV3003047010	0.142932361898695	0.259760820061628	0.328921791092314	-0.0515991166220799	-0.0495314543018488	-0.0404400614708376	-0.0410321667117138	-0.0883766526184644	-0.0406100023126509	0.035019657891392	-0.0509306861938636
LV3003046994	-0.0826897283451691	-0.0513079712390571	-0.0291848982656863	0.244587403134904	-0.048996344516369	-0.0727503720555115	-0.0601264253691713	-0.0655345343507396	-0.0795069016055492	-0.16170073480897	-0.0038211907296454
LV3003046979	0.0767111766936712	0.0127537624184816	0.0137045703509203	0.0836086289020202	-0.00897968836509085	-0.0181152231647643	-0.0154374414704914	0.0381279462381448	0.0113370511220201	0.0287263165902637	-0.0277896996827706
LV3003046966	-0.0891603630059361	-0.050016977470842	-0.0426615473702733	0.0295452149888984	0.0523981529466767	0.0655537611999799	0.078650949312023	0.0661657399472791	0.0154627521054449	0.0145559841358577	-0.0608849925493011
LV3003046950	-0.0787212718160214	-0.0531379217785249	-0.0380778509072465	0.00909730556814602	0.0446141610888059	0.113154191425405	0.0259083273187077	0.0695962517932826	0.0330614788681933	0.0318320134924267	-0.0625357662064153
LV3003046937	-0.0812712119090392	-0.0516354824244624	-0.034180795191179	-0.00667986071041919	-0.0227218246650543	0.0178847123710151	-0.0278612398608195	0.0618512986411729	0.0438673321533368	0.0368462157386307	-0.0451513166563737
LV3003047041	-0.0757272726317538	-0.0684461812522886	-0.037294384174008	0.129564477781801	0.132383528410508	0.161054884990869	-0.0380757498954136	0.0294228783204615	-0.0180856533776479	-0.0157831587175802	-0.0391949394422725
LV3003047026	-0.107378990123957	-0.0561971650959798	-0.0160386489102404	0.317992070899448	0.0690441820089277	0.00748563617088188	-0.076040724643719	-0.042209491967498	-0.0928975637972587	-0.0909398940415115	-0.00404638476748078
LV3003047009	-0.094975923149761	-0.059077439115455	-0.0236309057737015	0.28433144727256	-0.00579610002658288	-0.0398425675256949	-0.0628864333060902	-0.0499335603090241	-0.0608258542636608	-0.0474163355535115	-0.00277194042542885
LV3003046993	0.0998778148814162	0.204062387586258	0.291783896765679	0.325330534615392	0.0805518201442315	0.040492472187099	-0.067587850337445	-0.0126799113099254	-0.057948659004936	-0.0297486770010431	-0.0294694850136834
LV3003046978	-0.0993829660528154	-0.0725957583129304	-0.0489685768598718	0.0775328036463452	0.0746158901291224	0.174842584025132	-0.04632767539655	0.0340156223513708	-0.0347198119282791	-0.0183770847090378	-0.00486363836050482
LV3003046965	-0.0807396683130542	-0.0564402560444852	-0.0385269494297731	0.0846957158526222	0.333401865601512	0.247852035260327	0.00155314183272951	0.0410610180060333	-0.0162413488435864	-0.0221638103398382	-0.047532056496144
LV3003046949	-0.0801258068727977	-0.0650349042210069	-0.044589954093191	-0.00269857868500905	0.0993984363787348	0.188344774217893	-0.0256797658476403	0.0468167003823228	-0.00883018628700158	-0.00903600443059924	-0.0351300936558662
LV3003046936	-0.0904330967706378	-0.073316792026124	-0.0228277013857015	0.0506059015005935	0.274524484786971	0.222887314019884	-0.0180382320225691	0.0413160673061031	-0.0131227216753473	-0.0189833569983767	-0.0514514393600148
LV3003047145	-0.090631213573728	-0.0527973520207647	-0.03624161042615	0.189384100292993	-0.036067993292514	0.0136227718852117	-0.0608220698002368	0.0391848331845632	0.0156876729221636	0.0121756197463733	-0.00859666096739091
LV3003047132	-0.0853492252590747	-0.0606931407433146	-0.0307597618337927	0.00430682977095862	0.314893529214182	0.236514817438058	0.0753058741468541	0.0386993827679466	-0.0194945609550693	-0.0305946692845878	-0.0476106674937628
LV3003047118	-0.0770258004726214	-0.0654483785898357	-0.0388094851680869	-0.00969628229244877	0.0401216517905331	0.159609477725337	-0.0436982135291407	0.034245964517799	0.0104662139833002	0.000147083506317181	-0.0445637384099842
LV3003047099	-0.0863345782592983	-0.0411227364184882	-0.0319499178831031	-0.0251050148232881	-0.0171745542471796	0.0314318884169642	-0.00532888218243012	0.0670247065497638	0.0390363676427107	0.0337796089772562	-0.0360294706383241
LV3003047071	-0.0818411659123435	-0.0423363053478328	-0.0331458011636204	-0.0327156872715018	-0.0187667004261236	0.00439489671977735	0.122162283705146	0.0800857932718038	0.0303698750054339	0.0276511591704174	-0.0384698771020029
LV3003047169	-0.0907007566871126	-0.0539320973994126	-0.0369396594874444	-0.0270340173393703	-0.00287229236607669	0.0294691690271152	0.207172871979952	0.0708293903278179	0.00951417229905285	0.0138262868423328	-0.0436890991871984
LV3003047156	-0.0834168818638398	-0.0501040959323019	-0.0353909562425334	-0.0330690848737724	0.000837823401038548	0.0472690081540981	0.130652473889702	0.0792637006828392	0.0471280835823588	0.0373293913018194	-0.0487066513393274
LV3003047144	-0.0861500224115316	-0.05770620172674	-0.0365419496354467	-0.033785497012281	-0.00738881913622845	0.0500717858645579	0.189923280119779	0.0767383607609275	0.0316588854051123	0.0199349089296667	-0.0545710026818699
LV3003047131	-0.0231761806595605	-0.0331004171755522	-0.0267315508286177	-0.0260982720166778	-0.0398325469894682	-0.0295466537678077	0.0822637859480566	0.0765113036254379	0.0585126179872652	0.0562066365013705	-0.028754721020898
LV3003047117	-0.0458287473987029	-0.0337058868520894	-0.0262137061925401	-0.0261610215551165	-0.0244434669164911	-0.027094954140173	0.0900995326988409	0.0888066559986154	0.0833782684438715	0.07434607019558	-0.0335372136900203
LV3003047098	-0.0552094435704302	-0.0336916151954596	-0.0234344201060418	-0.0196719538424534	-0.0226153709381612	-0.0318181927871154	0.162193309070274	0.0477075337023218	0.0450505139852581	-0.0368827992976666	-0.0310354175391851
LV3003047085	-0.0815039029190268	-0.0388644742160248	-0.0330421686094284	-0.0165327808884626	-0.0231896614292685	0.00383914581503193	0.219663769085973	0.0735740378155006	0.0258841055400594	0.012082921137784	-0.0517381932503562
LV3003047070	-0.068181202165397	-0.0387847668455238	-0.0203675482372444	-0.0215958889411974	-0.0331274070258381	-0.029616550579659	0.166170314260626	0.0682860932892336	0.0519437455724039	0.0525348482276438	-0.0307585963198749
LV3003047168	-0.0818091858554671	-0.0443899239348323	-0.0349835173662362	-0.0043396045609183	-0.0161297731994461	0.000120997231830049	0.182490769632385	0.0602274217886335	0.0231205472708764	-0.00135033563527499	-0.0375110159735718
LV3003047155	-0.0646538717664406	-0.0364421905617236	-0.0252697113003756	-0.023273483814899	-0.032603371586842	-0.0389472624239192	0.238092370646194	0.0120555866755643	0.0264426951814407	-0.0783916976450625	-0.016510772882359
LV3003047143	-0.0228662591273326	-0.032102172265074	-0.0307817837087173	-0.0311352449510493	-0.0298256829813855	-0.0362342231144172	0.176249128348046	0.0634383390968708	0.0517186034091319	0.0511799824231022	-0.0316011945789575
LV3003047130	-0.0280544478923809	-0.0316367936940278	-0.0239164359570868	-0.0281786735789149	-0.024844485567458	-0.0256909742298999	0.114794464139161	0.0914698159458985	0.0826365027718806	0.0831580603320951	-0.0329793278296754
LV3003047114	-0.00158354785858531	-0.0195412647584241	-0.0180261382136067	-0.029439662998538	-0.0234847256127632	-0.0343988627774734	0.0315915655119018	0.0730423336922892	0.096586233574321	0.0979682363857684	-0.0284310972258042
LV3003047097	-0.0209060204717967	-0.0318868623785538	-0.0233826021278608	-0.0278113544035952	-0.037493213006069	-0.0317240937995114	0.123789926609479	0.072684328619829	0.0648291271389339	0.0595754210190033	-0.0286328621020966
LV3003047084	0.0425112805759146	0.00867152747305233	-0.0168843543148568	-0.0377592421572674	-0.0425586986644143	-0.0213896181390398	0.0133487808984721	0.0518415179761346	0.0518842043878401	0.0433443476754931	-0.0217318456858542
LV3003047069	-0.0495061372789991	-0.033571120373095	-0.0174151900440532	-0.0199502931015483	-0.0288114523945147	-0.0338065051968377	0.00539442307740927	0.0829848865220836	0.0983999243264256	0.0819090951197392	-0.0313916514966614
LV3003047167	-0.0522097455893657	-0.0259314784927833	-0.0168181470639368	-0.0203277460359542	-0.0088745104969391	-0.0222312524477742	0.0125869898003275	0.0858270447811779	0.0766764756762558	-0.00470139193028606	-0.0292525608055572
LV3003047154	-0.0244830631814724	-0.0291343135530185	-0.0191745313773928	-0.0181543221746195	-0.0263417423176397	-0.0398949025067549	-0.0320977557636087	0.0755906885292221	0.100547806786377	0.0941823634458634	-0.0236136469955957
LV3003047142	-0.0517762996906253	-0.0288842103313163	-0.0202267320263134	-0.0136118929880461	-0.0182818094857791	-0.00836794979313195	0.0263998367115681	0.0940415813385773	0.0916805926550399	0.0488790921954544	-0.0368049338914758
LV3003047129	-0.0726971357423277	-0.0395721421517713	-0.0283419934113644	-0.0169961373577236	-0.0231024124199067	-0.00444026149230468	0.11258564641673	0.0796293535599238	0.0673085252827593	0.0545844201113674	-0.0363067768269588
LV3003047113	-0.0851889536131825	-0.0505920949898314	-0.0358337726850718	-0.0220264800572839	-0.0210804547795271	0.00791490826873873	0.140215097725947	0.0538094083950893	0.0403065674733089	0.0250117484274826	-0.0392672756265111
LV3003047096	-0.090874001118104	-0.053621007034638	-0.0367320878592987	-0.0291284238149155	-0.047742524261247	-0.0254735718069026	0.143767189239809	0.045186295791603	0.0107806089118012	0.000674271968220824	-0.0348903034485755
LV3003047083	-0.0394004653398908	-0.0343070890785122	-0.0250065773057408	-0.0292770999724051	-0.017031118553114	-0.0400887854213134	0.0127646214873178	0.0677185500420448	0.0917510753157419	0.0812324607659075	-0.0324697456926434
LV3003047068	-0.0530295642899881	-0.0382755950099916	-0.0264930302760447	-0.0266957661163619	-0.0291774874431307	-0.0411126267675863	-0.0098651305268845	0.0627025088225168	0.077558542944276	0.0662134055871363	-0.0324202709877948
LV3003047166	-0.0192664948949291	-0.0408875019234443	-0.0298203393514495	-0.0354319833227035	-0.0286104180978249	-0.0249322095229548	0.0299872282440611	0.0671077918859561	0.0595755319033514	0.0591530307747455	-0.0388357292289302
LV3003047153	-0.0433976134989446	-0.0418567213891433	-0.0175357801829492	-0.0318530682470474	-0.0409070637959153	-0.0365944529511402	0.0120509295659312	0.0662777315678325	0.0558974922347702	0.0491340434209509	-0.0392016062357833
LV3003047141	0.0627956137291861	0.0538873224235976	0.0350016638467057	0.0445366903406875	0.0743757804089254	0.0989042459742437	0.00970968916095181	0.0214467052606304	0.0309940716215861	0.0930904070241458	0.0320488244776622
LV3003047128	-0.077002782560235	-0.0420183213146632	-0.0174393044689779	-0.0260066843830602	-0.0058020423903277	-0.00450857713687757	0.0901665044092308	0.0708219361023867	0.0337607526431065	-0.0040327974462823	-0.041743270419188
LV3003047112	-0.0497494530883155	-0.039031374783272	-0.0254301832523576	-0.0299085131965939	-0.0308817538984556	-0.0207013345219238	-0.0245961444594853	0.0855225822833587	0.0946512376994014	0.0792321159868583	-0.0378054550174238
LV3003047095	-0.0280908347242178	-0.0366805798770771	-0.0275960815174604	-0.0324473916181652	-0.0300661177507491	-0.0540330512781717	-0.0313371877251736	0.037881933105032	0.0556709048487243	0.0589136193061493	-0.023467476302794
LV3003047082	-0.0263458877906652	-0.0259696842188316	-0.0177805114665986	-0.0220906258256727	-0.0238075508519292	-0.0430496278464945	-0.0233235457704037	0.0683787126721648	0.0967747604902722	0.0608055906323008	-0.019061787656195
LV3003047067	-0.0112691035784353	-0.0400430006179736	-0.0273641161428543	-0.0171824661182745	-0.0371336665666296	-0.0204711510079047	0.00724983755916823	0.0708745138891691	0.0641758303553852	0.0604603587991226	-0.0370458506080383
LV3003047164	-0.0436981889049459	-0.027675911896691	-0.0166987822107123	-0.0245183687004496	-0.0182583969967491	-0.0332954670511689	0.00449327459861581	0.0691311239849935	0.110525241390951	0.0793205546189231	-0.020170504826729
LV3003047152	-0.02047790241518	-0.0275155378160367	-0.0177073420048885	-0.0268202692883265	-0.0238932333538454	-0.0407741336507808	-0.00488875574682256	0.0776310189383024	0.0902221768436329	0.0853651646495646	-0.0321097730631752
LV3003047140	0.0122093990683565	0.0184598041212167	0.0113630414788438	0.0123261078315793	0.03241822146671	0.0355224817907008	-0.00900543158196898	0.0184149538106551	0.0667019868986695	-0.0440447330709559	0.00380684062111914
LV3003047127	-0.0258641686891934	-0.0108538406125673	-0.00819616591957612	-0.00453915941331865	-0.00229854774730106	-0.0169492036257009	-0.0276886727340794	-0.0478565540566663	0.085018871976699	-0.0608450594948901	0.00353360439595425
