module	best_balanced_jaccard
black	0.00323624595469256
blue	0.629090909090909
brown	0.352059925093633
green	0.771653543307087
magenta	0.642857142857143
pink	0.0436681222707424
red	0.25
turquoise	0.67741935483871
yellow	0.00626959247648903
