module	n	jaccard_median	jaccard_p05	jaccard_p95
black	30	0.00831459931235123	0	0.657486377635631
blue	30	0.439834370831481	0.267563324527123	0.602318295739348
brown	30	0.326300549423353	0.181942916513874	0.412018837018837
green	30	0.453983516483517	0.252364149611856	0.710998650472335
magenta	30	0.134386195803173	0.071590174531351	0.730661764705882
pink	30	0.304695878657883	0.148388920293951	0.545361004534356
red	30	0.139901234567901	0.0371276595744681	0.289155370177268
turquoise	30	0.349014037433155	0.00909830816032449	0.659483568075117
yellow	30	0.334237522193727	0.0097097366421879	0.623776340996169
