sample	MEblack	MEgreen	MEpink	MEyellow	MEred	MEturquoise	MEmagenta	MEblue	MEbrown	MEgrey
LV3003046953	-0.0457560349697191	-0.0305487212940014	0.110321642981049	0.0842923501590056	0.0552528555726328	-0.0126400741126455	0.139506511604863	-0.0399777330852821	0.077304316102393	-0.0360317397600232
LV3003046939	-0.0390926829636824	-0.0365424796508158	0.105252093759967	0.139993477005238	0.0538049197832675	-0.0267729315598753	0.105793381317301	-0.0405831995096405	0.07568224289961	-0.041007209393313
LV3003047045	-0.0366064161341108	-0.0357295099130916	0.111903978204787	0.136847984186732	0.0558826687281254	-0.0342094336339983	0.0592739629083945	-0.0633434080540528	0.0684852609639888	-0.0457649188670357
LV3003047013	-0.0419448473092695	-0.0367667867243076	0.0975701143962032	0.155865418894819	0.00503366288979424	-0.0422527083707251	0.0350073630381438	-0.0993956975019385	0.0282171030684371	-0.0466060056627292
LV3003046995	-0.0441890699119565	-0.036977543473531	0.103714532105162	0.121969339955054	0.0323543692323841	-0.038232639657548	-0.0154982717201129	-0.0727382360344712	0.0515842161105132	-0.041181629161217
LV3003046980	-0.0548393337854217	-0.0369422593207797	0.0932109082699566	0.197762898299839	0.0586197739942164	-0.0432378575265848	0.022277191066665	-0.0785572640605648	0.0346647712624914	-0.050228120937241
LV3003046952	-0.0326621874260488	-0.0380076982203977	0.109776925392929	0.236720063031702	0.0701562338705958	-0.0300334615736685	-0.0808322098676614	-0.053630324663305	0.0336004631116619	-0.0510222894798248
LV3003046938	0.00959027417125595	-0.0380076982203977	0.11791076784838	0.249082890170888	0.0911892745981195	-0.0197885245380757	-0.130782320842027	-0.0127515123348982	0.0539901161874678	-0.0555278713344359
LV3003047044	0.041255753711898	-0.030992202941807	-0.0589197360123693	-0.0365930439869648	-0.01346804372173	-0.0118995645382395	-0.0801091113667193	0.0157583623002966	-0.0128849496896637	-0.0453280809336038
LV3003047027	0.00230527525066104	-0.0335154352532623	0.11193946108757	0.217851044191607	0.104825968858572	-0.00194738494473819	-0.05487298950704	0.0172299322846121	0.0600491242496191	-0.0494270221606718
LV3003047010	-0.0403152043815356	-0.0362486684144755	0.110122922826407	0.218081729992162	0.0474576459258108	-0.0183229087725579	-0.0499394117361475	-0.0559399895433008	0.0574177785113875	-0.0526187601749919
LV3003046994	-0.0548393337854218	0.244229179722699	-0.069590759045695	-0.0507156092719542	-0.0611504676402379	-0.0368379346833932	0.0603886972734214	-0.0280334033540783	-0.0931530248968765	0.0084093640112187
LV3003046979	-0.0211174682452846	0.0831994895707426	0.063985770844664	0.0402892811606703	0.0299468685791403	-0.00590921832748303	0.042194124923193	0.0293258168949575	0.0279596663488487	-0.0196192168684596
LV3003046966	0.0758058863064454	0.0378639539997568	-0.0271709840365323	-0.0440304403366035	0.0446445022882808	0.0783154865111389	0.0493924530522775	0.0824928344081965	0.0417648079224208	-0.0398083475589138
LV3003046950	0.0302495623700871	0.0215299710112115	0.0289026666470514	-0.0411774292748575	0.113407175854354	0.111496472339377	0.0406201303364136	0.0911692806337034	0.0666006398086015	-0.0429737761838859
LV3003046937	-0.0369553815263076	0.000356947502387335	-0.00372218457068776	-0.0536021593409237	0.0273708718407354	0.015343351550983	-0.00249076156494772	0.0543982217176494	0.0317325588246346	-0.0303475071812407
LV3003047041	-0.0268608251732312	0.14863010114442	0.0638629472724659	-0.0358176565738315	0.12886772256404	0.177059574151941	0.0915901429139627	0.109130602123684	0.103191867046685	-0.0210582000669648
LV3003047026	-0.0548393337854217	0.330138627475983	0.0264038282117576	-0.0313788382161939	0.0464769480407379	0.0612598250184236	0.134333159998319	0.0625819122358523	0.0374918637426576	0.0197521921659828
LV3003047009	-0.0548393337854217	0.279350950296326	-0.0762628152959117	-0.0546242210301936	-0.0451062376625139	-0.00240543609537976	0.0767746232788296	0.00620805309361242	-0.035587909444556	0.0106932054954523
LV3003046993	-0.0548393337854217	0.33049802978928	0.0909168160661779	0.187583960268975	0.109660121705266	0.0685597315115468	0.0662897373691499	0.0512373831068901	0.0722306710427349	-0.0217257911224893
LV3003046978	-0.0333628610441999	0.0954375546383407	0.0516211286560058	-0.0468001536760924	0.140837908068268	0.185295932315751	0.0687415452037081	0.102544198017094	0.104642900165716	0.00971009829562328
LV3003046965	0.0282636332229592	0.106917378456756	0.0823433541281016	-0.0276913490748322	0.173467346694442	0.273385537123982	0.0763592960587244	0.130322724875435	0.136047368923209	-0.0337446017692367
