sample	MEblue	MEbrown	MEgreen	MEgrey	MEturquoise	MEyellow
LV7008886714	-0.99154758314436	-2.55299878369926	10.273188674982	-3.4596310607496	10.4894361456502	0.479667415978694
LV7008886690	-3.98439130084061	18.5287908800242	-5.63292458983592	-10.2332177953061	-8.95957888291293	-9.96157516483095
LV7008886751	-3.41471101671211	25.6666218139262	-5.02014794578638	-3.25769966264244	2.615732824074	1.46034295315279
LV7008886727	34.4350209552172	15.379745963903	-0.464793480201456	23.6284375404231	12.6525965588007	9.24971569155444
LV7008886703	0.32188967913145	-2.34799997121249	-3.00380460555548	15.7122052331097	7.33568129028552	6.58681384561379
LV7008886776	2.03879029016922	-2.83097136361671	2.632388141697	21.5472904214579	10.0216293722802	7.49888413645958
LV7008886740	-2.99167850094052	-3.0253069097154	-2.87792734984565	-1.1799839303211	4.86685651600235	3.95659130835254
LV7008886221	-4.22199483873379	-2.83028991863275	-4.84052119011187	-5.1988590600445	3.35443933702422	1.03863976166359
LV7008886692	-4.22199483873379	-3.0253069097154	-5.02942164153358	-10.9255898980009	-1.14631248749694	-5.39966782438463
LV7008886765	-4.22199483873379	-2.19665871360617	-1.79903281458298	-1.76464267012544	4.99888636257597	3.18918978155356
LV7008886741	-4.22199483873379	-3.0253069097154	-5.41449651126263	-13.9726342055356	-23.7279710573529	-11.3685354621568
LV7008886705	-4.22199483873379	-2.69061577225434	-5.26929910407545	-12.2482401393603	-11.5269159005881	-11.1677848706437
LV7008886778	-0.852125469389187	-2.82303583449754	11.4922505699281	12.6527569160572	10.3727132790128	5.55360379838429
LV7008886754	1.0835885183899	-1.9464269938457	13.4544196202564	21.3544412806348	10.9354507105449	5.8220472680091
LV7008886730	-2.30224888204288	-2.40574922297065	9.66382471221329	13.7670193683041	10.669065156916	5.39608659943923
LV7008886706	-2.74955212896992	-2.43613069645394	11.3554308762706	8.7822096458544	9.69330102436727	4.58615147443317
LV7008886743	-4.22199483873379	-2.67439369657971	3.25136673062243	-8.32145904504485	3.7944893828492	-5.93725871913312
LV7008886719	-4.10006366625009	-2.82999316672674	-3.92065573437726	-8.85842419264693	0.779639788467489	-9.49487458064709
LV7008886695	-4.04131216150101	-2.81869334299636	6.30262934727702	-1.38101623402087	6.38825945950075	-1.11672528586342
LV7008886768	-4.22199483873379	-3.0253069097154	7.70175826777494	-1.69775389566477	7.5197899448942	3.09267827782361
LV7008886744	-4.22199483873379	-2.66911262351583	-0.467419839500536	-10.6764457093267	-2.71236138236578	-11.3481128520785
LV7008886708	-3.6346285324139	-2.65786653481881	3.87138147691036	-8.31520726027344	1.44127870643395	-8.38959916538685
LV7008886781	-4.22199483873379	-3.0253069097154	-5.63292458983592	-15.0238363746969	-25.8987849346401	-11.9434062266927
LV7008886757	-4.22199483873379	-3.0253069097154	-5.63292458983592	-14.6643745608929	-24.684131794469	-11.2391623434792
LV7008886222	-3.96528488120388	-3.0253069097154	-1.87057686013107	-10.9278816008555	-1.27561843515516	-0.166638746317367
LV7008886709	-3.40273424039839	-2.75446521183193	-4.87918965274207	-9.63795319234814	-0.635070861967174	-0.464946872519581
LV7008886770	-3.52102259721685	-2.86722838597892	-3.2280123054533	-4.19063858438832	2.99543992924077	2.31093324291689
LV7008886746	-4.22199483873379	-2.87744102336162	-5.63292458983592	-11.6637683099162	-15.9246713442967	-8.33657529232817
LV7008886722	-3.91234851962881	-2.86565155512651	-5.63292458983592	-5.39344774081597	-5.26664677763758	-4.17507866397201
LV7008886698	-3.66597551542562	-1.90618083959135	-5.09708111686084	-9.01518120559291	0.338202694208816	-0.809213153597112
LV7008886771	-4.22199483873379	-2.04212011166887	-5.43932503823206	-13.257727319801	-8.06661321723047	-9.94814913676507
LV7008884666	-4.22199483873379	-2.87435137993924	-5.63292458983592	-13.0445786310587	-7.53987427544202	-8.21768128076148
LV7008886711	-3.33155445661319	-2.24612419815156	-2.61199831489279	-0.23122744574953	2.39042129412803	0.0618586124562052
LV7008886784	-4.02955047232124	-3.0253069097154	-1.79103588557752	-11.1448046516439	-1.82807601359466	-6.18804675177667
LV7008886760	-4.22199483873379	-3.0253069097154	-5.26408115438818	-13.8586221028892	-10.4997925499725	-9.53945937175741
LV7008886724	-4.22199483873379	-2.74035005431818	-1.00089916305084	-10.5774575738487	-1.91292403245365	-4.69022745989246
LV7008886700	-4.22199483873379	-3.0253069097154	-3.6500217073321	-14.8751519299499	-14.1513961925308	-11.6625861641692
LV7008867153	-4.22199483873379	-3.0253069097154	-4.37536567005564	-13.7864352336681	-16.576185243778	-11.1174353071813
LV7008867129	-4.22199483873379	-3.0253069097154	-5.63292458983592	-13.5857531295363	-16.5853644799452	-9.5981219503332
LV7008867166	-3.42009638447757	-3.0253069097154	0.511727700733325	-5.2871034411206	2.35344217646846	2.96574448249854
LV7008867142	0.359141102749957	-2.21872062070386	-0.396488275154886	11.1413897239738	8.5056212288359	6.06016954387211
LV7008867118	-1.43505792796374	-0.215768982690121	-1.23129985048146	8.71987978896652	7.91691020975471	3.25777081448432
LV7008867191	-3.01803439418423	-1.8307388019578	4.13462980317925	0.514034861938316	6.74366043580805	2.9023848496484
LV7008867167	0.752594137350042	-1.7822059078973	1.5031011020243	13.8065306241509	9.12425757353808	6.13167479079506
LV7008867131	-3.44915973045093	-2.11590359917142	-3.0323626816436	-4.65015284458542	-1.04765088633199	-3.02409981652144
LV7008867107	-2.34304606644924	-0.450338146109796	6.22658974109487	8.15745779617767	7.66493789651486	3.55607995091497
