state	sample	core	age_kyr	d18O	sst	PC1	PC2	PC3	core_ord	state_inferred	harmonization_mode	state_main	state_origin	label
1	LV7008867148	GeoB25202_R1	384.996	4.13976	9.1812133056	-84.8912916513535	-15.4562175050308	-54.6158817867162	3	1	corewise_z		inferred_extended_only	G-A
1	LV7008867154	GeoB25202_R2	273.1135	4.43319	5.80428117764286	0.750405566676121	-0.148863767660971	-1.19828592247109	4	1	corewise_z		inferred_extended_only	G-A
1	LV7008867166	GeoB25202_R1	266.247	4.5	6.6175651295	9.37658890202251	62.9219807307961	-47.6472854964651	3	1	corewise_z		inferred_extended_only	G-A
1	LV7008867167	GeoB25202_R1	292.808	4.2296	5.4518017491	129.128660586889	58.2615918620675	-68.3857912466506	3	1	corewise_z		inferred_extended_only	G-A
1	LV7008867169	GeoB25202_R1	344.618	4.77854	9.39378769826667	-73.6976910748728	1.59752132772217	-61.7924650474598	3	1	corewise_z		inferred_extended_only	G-A
1	LV7008867179	GeoB25202_R2	292.808	4.2296	5.4518017491	0.604654659544552	0.281410401965477	-0.887713980097578	4	1	corewise_z		inferred_extended_only	G-A
1	LV7008867194	GeoB25202_R1	362.3745	4.511235	5.7208165615	25.740267292543	56.8814476949448	-44.5457536162879	3	1	corewise_z		inferred_extended_only	G-A
1	LV7008886698	GeoB25202_R1	197.845	3.8076	6.73118480607143	-58.4409307368789	-0.168202524618728	-65.7350655645891	3	1	corewise_z		inferred_extended_only	G-A
1	LV7008886711	GeoB25202_R1	215.92	3.5308	8.73138826475	-22.7006755243857	27.6128158552983	-56.0598036335476	3	1	corewise_z		inferred_extended_only	G-A
1	LV7008886723	GeoB25202_R2	215.92	3.5308	8.73138826475	0.233500153844791	0.0607396228465125	-0.878789651000983	4	1	corewise_z		inferred_extended_only	G-A
1	LV7008886770	GeoB25202_R1	156.777	4.74892	11.547983389	-6.56212907684527	34.087379167136	-82.4041784936545	3	1	corewise_z		inferred_extended_only	G-A
1	LV7008886782	GeoB25202_R2	156.777	4.74892	11.547983389	-0.238291370265336	-0.051606094101798	-0.977763018776639	4	1	corewise_z		inferred_extended_only	G-A
2	LV3003046946	ST13	205.2922	3.80539	8.20025628035142	-156.402067522467	-30.9829121429338	-6.28426850744896	2	2	corewise_z		inferred_extended_only	IG-D
2	LV3003046947	ST13	184.183	4.43477	10.4570057570304	-140.33062680267	-14.732905516732	-7.57759363320564	2	2	corewise_z		inferred_extended_only	IG-D
2	LV3003046948	ST13	233.787	3.86769	9.17084295761282	-221.810726876483	-20.5284160131853	71.7154530817935	2	2	corewise_z		inferred_extended_only	IG-D
