module	index	analysis_set	n	median_centered	mean_centered	p_value	status	q_value	direction
brown	DCI	exclude_grey	138	-0.715719662380177	-3.07575676419309	5.60068363866908e-06	ok	1.40017090966727e-05	depleted
green	MII	exclude_grey	179	-7.72722170382183	-7.80137918398589	4.02388815517947e-31	ok	1.00597203879487e-30	depleted
turquoise	MII	exclude_grey	214	3.60609420103302	3.49406222449687	1.45257710020028e-31	ok	7.26288550100139e-31	enriched
yellow	MII	exclude_grey	210	2.35011309754964	2.41643100032444	4.39635817602454e-18	ok	7.32726362670756e-18	enriched
blue	MII	exclude_grey	157	-0.683272516977451	-1.92106599537923	1.2984861832141e-05	ok	1.62310772901763e-05	depleted
brown	MII	exclude_grey	138	3.80837821274607	3.20923484853297	7.25020967061964e-05	ok	7.25020967061964e-05	enriched
green	SRPI	exclude_grey	179	-0.359508060891892	-0.839957728843664	0.000287498509349932	ok	0.000359373136687415	depleted
turquoise	SRPI	exclude_grey	214	0.509475608347337	1.1419730593616	2.99092832564637e-31	ok	1.49546416282318e-30	enriched
yellow	SRPI	exclude_grey	210	0.311945949973506	0.849388103225386	2.5525970884029e-16	ok	6.38149272100725e-16	enriched
blue	SRPI	exclude_grey	157	-0.565021620577601	-1.76445774737763	5.5805987098931e-11	ok	9.30099784982183e-11	depleted
brown	SRPI	exclude_grey	138	0.510746198765119	0.0334678508738451	0.0045199688359048	ok	0.0045199688359048	enriched
