sample	OAP	MGI	MFI	DCI	MII	SRPI	tea_mode	n_taxa_input	n_taxa_with_comp	n_taxa_with_ko	n_taxa_with_oap	weight_supported_comp	weight_supported_ko	weight_supported_oap	nondmg_total_reads	nondmg_n_taxa	core	age_kyr	state	state_label
LV3003046936	-113.669996008418	-13.8155105579643	6.89144304053209	-3.64600280508002	-0.791884995893366	-0.459067914541006	ko	294	218	138	177	0.945377200315931	0.557364101190284	0.854138279839079	866012	294	ST8	22.905	3	IG-A
LV3003046937	79.97242407173	-13.8155105579643	6.9638033978875	-2.53875576062083	-1.53899671348799	-0.398434596719464	ko	205	186	125	157	0.979592495808428	0.697345651934044	0.901380325583523	371579	205	ST8	18.598	3	IG-A
LV3003046938	1.77687353892481	-13.8155105579643	7.43575955468177	-2.58001659771022	0.155500774140632	0.0859138237051002	ko	389	264	201	227	0.939480188393899	0.779091301905544	0.913360411355485	2314300	389	ST8	11.169	1	IG-D
LV3003046939	-4.25867854282421	-13.8155105579643	8.83185644471123	-1.69265267506388	1.01338715409267	0.0225319950858374	ko	782	510	438	428	0.963701391078474	0.772942004281952	0.909281581202451	3326987	782	ST8	2.42	1	IG-D
LV3003046949	-119.485767707936	-5.17612020941174	-1.60081185771433	-3.05076827317091	-0.961444937070873	-0.356914603661464	ko	296	227	145	180	0.951382403624876	0.587651677484217	0.838822909690422	643553	296	ST8	22.3686666666667	3	IG-A
LV3003046950	-16.1721567732881	-13.8155105579643	6.77605303018906	-2.32746141935887	-1.46960130789973	-0.5771973939123	ko	229	196	132	165	0.87256298398526	0.543026769869198	0.817454119135658	559547	229	ST8	18.099	3	IG-A
LV3003046952	-52.2440472333114	-13.8155105579643	7.52770018062027	-2.37866700972871	-1.21679667889551	-0.147304581181277	ko	343	262	191	215	0.933930409236354	0.691831178308789	0.884604984936659	2137640	343	ST8	10.26	1	IG-D
LV3003046953	107.113702546429	-13.8155105579643	8.51670679524992	-1.92595011220956	0.739139070504544	0.134199599287074	ko	826	523	465	438	0.968717322226725	0.867541591836652	0.934521927622677	4443961	826	ST8	1.5215	1	IG-D
LV3003046965	-76.1832094166095	-13.8155105579643	7.24346720581533	-2.72368584083958	-1.49548477260285	-0.374419397148126	ko	333	261	175	211	0.959312900857441	0.59469661058429	0.864246988815127	907118	333	ST8	21.8323333333333	3	IG-A
LV3003046966	-75.077732716585	-3.57108840560494	-1.29331790466179	-1.93637491590431	-1.40482791957893	-0.492341166675393	ko	261	212	148	176	0.952086955824966	0.553672305066547	0.878666896369362	499196	261	ST8	17.373	3	IG-A
LV3003046978	-60.8104632492369	-5.12425456986276	-1.49322104781046	-2.21797494569372	-1.50004559623573	-0.405505363570414	ko	347	263	169	200	0.93610732405069	0.580298873566815	0.835760621773238	715888	347	ST8	21.296	3	IG-A
LV3003046979	-38.0093312610552	-3.2661144475429	-3.16812326214535	-2.41566636474804	-1.50545881513262	-0.417506151505282	ko	291	236	162	188	0.952420189079586	0.670521735267426	0.872271853204178	945422	291	ST8	16.461	3	IG-A
LV3003046980	-40.0532311327027	-13.8155105579643	0	-2.5375320013326	-0.252620676082389	-0.149038485624652	ko	412	308	238	254	0.976512646319468	0.719142445997856	0.847228615739419	2413469	412	ST8	8.056	1	IG-D
LV3003046993	-19.0580818109111	-4.52542319486553	1.30845057754009	-2.12646759320909	-1.38740169559575	-0.126881869074301	ko	423	250	170	197	0.920931285582185	0.613234915737565	0.815227686662165	1780034	423	ST8	20.719	3	IG-A
LV3003046994	45.5437298824123	-13.8155105579643	8.73211326312378	-1.69573211301883	-1.46191692923709	-0.664078701307022	ko	302	236	166	194	0.905652830051455	0.611894242232976	0.83370346993322	384993	302	ST8	15.549	3	IG-A
LV3003046995	-40.3108896422216	-13.8155105579643	9.16771554718943	-0.872219007222467	-1.74810725780794	-0.41422728594625	ko	961	468	382	399	0.898858829525345	0.67838674602	0.862741527798544	7952449	961	ST8	6.9705	1	IG-D
LV3003047009	-96.3580351328727	-4.26135506941541	-1.90796147688712	-2.76929462294653	-1.22237819898487	-0.840558872189168	ko	250	186	116	148	0.901310808800436	0.512898160239351	0.797775096285766	604970	250	ST8	20.142	3	IG-A
